 	cette	femme	lance	des	in	jures	obscènes	parce	qu'	elle	est	folle	</S>
ε	8.99586e-05	2.31389e-07	0.000478066	0.00122109	0.00499461	0.0413645	0.506199	0.124101	0.208715	0.0622747	0.0139772	0.0105252	0.0260598
r	0.000707894	5.64979e-06	0.00295161	0.00666268	0.0210318	0.0603609	0.200341	0.181123	0.257375	0.0513763	0.0142687	0.0435682	0.160228
i	0.000967472	0.000111531	0.00227933	0.00254297	0.00522572	0.110509	0.205541	0.0838816	0.148984	0.0665486	0.0327162	0.0471075	0.293585
m	0.00499855	3.81169e-05	0.00225021	0.00198513	0.00170751	0.0164655	0.0835398	0.336125	0.29476	0.151935	0.0440824	0.00283511	0.0592775
b	0.0104392	0.00375493	0.00193753	0.0011556	0.000152099	0.00264475	0.0274839	0.0375238	0.0880754	0.183274	0.119292	0.0366515	0.487615
é	0.00812826	0.000176218	0.00207959	0.00160217	0.00041502	0.0032538	0.141596	0.0353957	0.13175	0.390475	0.0397838	0.123058	0.122286
á	0.00110607	0.000213896	0.00173558	0.00175715	0.000566405	0.00161013	0.0281488	0.0611685	0.174982	0.553453	0.0714524	0.0122828	0.0915229
l	0.00393089	0.000285231	0.00739	0.00913903	0.0161842	0.00583932	0.0251846	0.238683	0.192741	0.247914	0.165244	0.0135283	0.0739368
i	0.00115213	0.00032862	0.00685685	0.00548156	0.0158273	0.00689075	0.00903377	0.129446	0.112067	0.133684	0.151963	0.0135179	0.41375
n	0.00038286	4.09951e-05	0.0014338	0.00172297	0.00202459	0.00290471	0.0121759	0.103133	0.145413	0.162016	0.2389	0.100967	0.228885
y	0.0148435	0.00176919	0.0028477	0.00308843	0.0178413	0.00240625	0.00965148	0.0937135	0.0779093	0.118443	0.099563	0.391752	0.166172
a	0.00915011	0.00294406	0.000845739	0.00139958	0.00829763	0.00329787	0.0145722	0.0328331	0.0429919	0.0698532	0.0717979	0.662753	0.0792638
m	0.00117178	0.000156443	0.000609082	0.000511027	0.00180058	0.0176343	0.0368692	0.0182072	0.0425466	0.035428	0.0958012	0.420198	0.329067
i	0.00121577	5.09662e-05	0.000529188	0.00109562	0.000482794	0.00159255	0.00801506	0.108104	0.101085	0.146806	0.24588	0.239959	0.145184
</S>	0.00272304	9.67531e-06	0.000747075	0.000624062	0.000487199	0.00103786	0.00152213	0.043099	0.0593453	0.111855	0.306707	0.0722368	0.399606
