 	j'	ai	donné	un	drap	blanc	comme	contribution	à	l'	inhumation	de	ma	belle-mère	</S>
ó	0.0308255	0.0278157	0.00974361	0.0433823	0.0486907	0.0319435	0.0305951	0.724709	0.00775922	0.0100543	0.000554757	0.00127988	0.0270897	0.00208417	0.00347275
o	0.0011973	0.009117	0.0046223	0.0239759	0.0147635	0.0824073	0.050856	0.639342	0.0814267	0.0632415	0.00364695	0.00468729	0.0129796	0.00218039	0.00555636
y	0.000115267	0.00441606	0.0121563	0.0659478	0.071276	0.48583	0.114019	0.0754754	0.0820269	0.0688279	0.00867317	0.00718592	0.00181243	0.000625454	0.00161241
a	0.000506114	0.0112369	0.015409	0.0264785	0.00549934	0.119972	0.179043	0.211739	0.175174	0.185149	0.00274638	0.0179431	0.0204342	0.00415698	0.024512
m	0.00164156	0.0122798	0.0251205	0.0395074	0.0256473	0.128488	0.440321	0.127134	0.0876235	0.0761422	0.00228612	0.00584255	0.00949536	0.00480019	0.0136703
w	3.77113e-05	0.00291416	0.00262061	0.0150497	0.00991905	0.166529	0.175848	0.0492244	0.250832	0.169644	0.0119851	0.0251817	0.0185133	0.00911975	0.0925815
á	0.000200331	0.00161713	0.0013462	0.0129129	0.0684897	0.449886	0.271188	0.0355557	0.118444	0.0121465	0.00929317	0.00105244	0.000806194	0.00658059	0.0104813
s	0.000334444	0.0013587	0.00112836	0.00790015	0.0116215	0.15662	0.520731	0.0241868	0.176726	0.0546181	0.0124625	0.00379708	0.00979141	0.00389108	0.0148324
í	0.00261473	0.00613077	0.00714975	0.0133963	0.0300752	0.0300917	0.148253	0.485955	0.0491746	0.0266056	0.00166181	0.00507884	0.0204354	0.0462112	0.127166
m	0.000251498	0.00269815	0.00442032	0.00719884	0.00232164	0.0443383	0.106556	0.0487366	0.327144	0.348702	0.0444129	0.036044	0.0125098	0.00348137	0.011185
é	3.15374e-05	0.00102247	0.00100144	0.00178547	0.000563405	0.0147762	0.0715903	0.0127432	0.347794	0.199099	0.0262621	0.100821	0.0452601	0.00720466	0.170045
b	1.60148e-05	0.00157477	0.00241825	0.0065635	0.00150972	0.028326	0.0229329	0.0127433	0.273574	0.252461	0.204745	0.113743	0.0272935	0.0109619	0.0411364
ω	4.86383e-05	0.000714879	0.00084568	0.00239341	0.00184099	0.0249215	0.00260294	0.00129849	0.0463964	0.0289955	0.802232	0.0387891	0.00268492	0.0131426	0.0330927
ω	9.67289e-06	6.07469e-05	9.43431e-05	0.000597696	0.000404984	0.00965756	0.00255079	0.00682439	0.0360277	0.019647	0.867506	0.0303322	0.00245166	0.0171189	0.00671671
y	1.04334e-05	0.00117761	0.00208293	0.00360217	0.000838221	0.00387064	0.00688643	0.00240756	0.174686	0.167521	0.058232	0.327327	0.0494252	0.0192865	0.182647
á	9.14727e-05	0.00213738	0.00459409	0.00631292	0.00060493	0.00541757	0.0123779	0.00963434	0.148557	0.194155	0.00826546	0.197695	0.166527	0.0850788	0.158551
m	0.000237534	0.00283618	0.00130165	0.00208455	0.000738818	0.00186602	0.0313684	0.00398341	0.0878712	0.127817	0.0024307	0.0777726	0.458615	0.171629	0.0294478
b	2.32456e-05	0.000611026	0.000117859	0.000381656	0.00015251	0.0018445	0.0045021	0.00062234	0.0843873	0.0535745	0.00647911	0.0676305	0.234389	0.414987	0.130297
e	6.53815e-06	4.39636e-05	2.48195e-05	0.000202649	0.000474529	0.00133266	0.0010753	0.000369237	0.0175537	0.00668938	0.0225355	0.00534896	0.0281566	0.889457	0.0267297
n	6.40564e-06	0.000173194	0.000191555	0.000294398	0.000276966	0.00150812	0.00155795	0.000198188	0.0143143	0.00334929	0.304644	0.0189677	0.00717216	0.608635	0.0387107
d	7.53639e-05	0.0005061	0.000578683	0.00296868	0.00219924	0.00115384	0.00174903	0.00347551	0.0561339	0.0547591	0.00375423	0.119129	0.133769	0.387127	0.232621
z	1.53886e-05	4.30824e-05	5.83399e-05	0.000901389	0.00346063	0.000490347	0.000900036	0.00491944	0.0196377	0.0160588	0.00363827	0.0217114	0.084171	0.411361	0.432633
a	4.68544e-05	7.75286e-05	0.000258235	0.00316155	0.0143949	0.00175025	0.00150708	0.00403141	0.0409603	0.0315755	0.0075731	0.0437383	0.0753043	0.450444	0.325176
</S>	1.31626e-05	0.000381282	0.000778369	0.00156684	0.000482361	0.00252394	0.00288062	0.000908652	0.0330984	0.0242806	0.0227482	0.106733	0.0434276	0.121243	0.638934
