 	mon	coeur	palpite	parce	que	la	nourriture	que	j'	ai	mangée	était	trop	salée	</S>
é	0.0147973	0.0184489	0.0462347	0.0139938	0.0649384	0.0216755	0.00286565	0.0191022	0.169478	0.0641589	0.0917944	0.379651	0.0309991	0.0102029	0.0516594
n	0.000778993	0.000333202	0.00158298	0.00799651	0.0111355	0.0151648	0.0141541	0.0441446	0.0629316	0.068512	0.049306	0.321774	0.291327	0.0203139	0.090544
g	0.00143286	0.000395307	0.00415163	0.0174534	0.0230218	0.0148244	0.0145301	0.0366592	0.293978	0.403451	0.0378429	0.04635	0.0424472	0.0037967	0.0596656
á	0.00116288	0.000513038	0.0162656	0.0137622	0.0243609	0.0208832	0.00453536	0.0306291	0.520143	0.185625	0.0116857	0.0446709	0.0555406	0.0119978	0.0582251
í	0.00015158	0.000126716	0.00097571	0.00612191	0.01215	0.0170631	0.0128348	0.0427762	0.0657634	0.104949	0.0611846	0.123075	0.26996	0.151261	0.131608
p	0.00065788	0.00322368	0.015757	0.00945855	0.0178978	0.0116684	0.00229796	0.0145744	0.0340714	0.0371089	0.0240184	0.359302	0.267211	0.134939	0.0678134
é	3.28686e-05	0.000319927	0.00337937	0.00435786	0.00267367	0.00405412	0.00105616	0.00839113	0.00964871	0.00890352	0.0185302	0.152433	0.172552	0.50044	0.113227
n	3.09669e-05	8.81041e-05	0.000642347	0.0019728	0.0012328	0.00203509	0.00126685	0.00823884	0.0107688	0.0111117	0.0115036	0.119459	0.280008	0.298254	0.253387
d	7.24183e-05	0.000535973	0.00245934	0.0068103	0.00517939	0.00636764	0.00348755	0.0134036	0.0298722	0.0300036	0.0274014	0.137591	0.27879	0.203136	0.25489
i	5.25956e-05	0.000811762	0.00621753	0.00680017	0.00889367	0.0142851	0.0028717	0.0237421	0.0404678	0.0172048	0.0123855	0.0635999	0.105882	0.324273	0.372512
o	0.00076967	0.000242711	0.000854826	0.00842541	0.0131374	0.0173171	0.0156148	0.0447586	0.0765605	0.124217	0.0216457	0.0192752	0.0855181	0.0624822	0.509181
k	0.000114486	0.00416901	0.0307133	0.0128881	0.0296585	0.0122963	0.0018695	0.0107405	0.0216569	0.0242005	0.0135895	0.189662	0.114009	0.145745	0.388687
w	3.61112e-06	0.000819891	0.00504271	0.00104607	0.000933151	0.0031446	0.000360085	0.00220541	0.00322246	0.00122864	0.00284607	0.0512941	0.0889761	0.512599	0.326278
á	0.000842643	0.00287725	0.0107213	0.0198581	0.00969279	0.0188982	0.0138319	0.0247616	0.0174908	0.0340618	0.0405458	0.0386551	0.078081	0.317663	0.372019
</S>	0.000342353	0.000716617	0.00169457	0.00334156	0.00445219	0.00572407	0.00836226	0.00890325	0.011815	0.04307	0.0302226	0.0469723	0.0297247	0.234569	0.570089
