 	mon	père	ne	peut	pas	faire	de	longues	distances	parce	qu'	il	est	atteint	de	hernie	</S>
o	0.0015859	6.39639e-06	0.00343379	0.00338392	0.0470687	0.0714673	0.27065	0.426717	0.0836195	0.0216192	0.0262093	0.0119015	0.0079812	0.00336914	0.00589852	0.00253781	0.0125501
s	0.000250401	3.41352e-05	0.0118276	0.0252876	0.0262765	0.0852735	0.0720268	0.119685	0.426327	0.134862	0.0181225	0.0112846	0.0196826	0.0166145	0.00428627	0.0117477	0.0164107
i	0.000426072	6.5586e-05	0.0197652	0.00821865	0.0381986	0.0382244	0.0748233	0.143799	0.493511	0.063166	0.00436363	0.00271677	0.00898103	0.0181634	0.0042195	0.0187265	0.0626317
á	0.000286597	0.000237592	0.0162606	0.00214499	0.0558997	0.0438835	0.155831	0.0572126	0.521266	0.025347	0.00410925	0.00217219	0.005738	0.0080112	0.00436737	0.00526793	0.0919648
k	0.00219627	3.45081e-05	0.00541021	0.00109463	0.0184498	0.0168261	0.0714161	0.407245	0.0884349	0.111623	0.122205	0.0718383	0.0456197	0.010258	0.00838257	0.00289523	0.0160701
á	0.000185543	8.39909e-05	0.00202219	0.00616221	0.0145448	0.102904	0.0643323	0.003268	0.0270545	0.480795	0.0731785	0.0601959	0.0420405	0.0432153	0.00921078	0.0334237	0.0373823
a	0.00182016	0.00120804	0.00187807	0.00367941	0.010885	0.0495161	0.0508467	0.00490428	0.0356879	0.444065	0.126576	0.123181	0.0342633	0.0152659	0.00415617	0.0117317	0.0803352
t	0.000290175	4.08543e-05	0.000723243	0.000588561	0.00523915	0.00845696	0.0229734	0.027461	0.0102817	0.201327	0.279231	0.232074	0.126205	0.034291	0.0320466	0.00431882	0.0144521
s	0.00137288	0.000118048	0.0016237	0.00174902	0.00882971	0.0244393	0.0328014	0.00820836	0.00338534	0.158177	0.180005	0.209912	0.0870059	0.0846969	0.0678937	0.0326464	0.0971365
i	0.000253584	4.15953e-05	0.000398735	0.00265452	0.00309687	0.0143354	0.0170715	0.00298433	0.0107964	0.368037	0.165582	0.141561	0.0490924	0.0614959	0.0235815	0.0196541	0.119363
n	0.00433181	0.000125497	0.00267049	0.0015594	0.00792527	0.0162995	0.0248726	0.028173	0.0275852	0.287514	0.171946	0.136123	0.0779731	0.051379	0.0129531	0.0178317	0.130737
a	0.04586	0.000197319	0.00205991	0.000480879	0.00618524	0.00522148	0.0359605	0.445165	0.0116107	0.097307	0.124331	0.0365648	0.00770215	0.0195857	0.00774219	0.0136724	0.140353
w	0.00185576	2.31646e-05	0.00213175	0.00032702	0.00377673	0.00341086	0.0122013	0.0347428	0.0302662	0.110703	0.224045	0.2053	0.215073	0.0818544	0.0394333	0.00328066	0.0315754
a	0.0128499	0.00028961	0.0100632	0.00465196	0.0115822	0.0193998	0.0272806	0.0336621	0.00449641	0.146794	0.16161	0.182874	0.0853035	0.0530732	0.0691301	0.0440877	0.132852
a	0.00175648	7.91076e-05	0.00314199	0.000494709	0.00325328	0.00244225	0.00763748	0.0248189	0.00540598	0.088344	0.196672	0.225296	0.22474	0.0730577	0.0552897	0.0069767	0.0805947
d	0.000182092	6.15294e-05	0.0605043	0.00924993	0.014121	0.0108116	0.00664917	0.0284091	0.0193362	0.0836295	0.0269054	0.0497228	0.265214	0.227907	0.0724092	0.011305	0.113582
í	2.64365e-05	7.9275e-06	0.0110535	0.00341121	0.007854	0.00474761	0.0108461	0.0376021	0.297083	0.0648448	0.0154827	0.0179514	0.140099	0.0866204	0.0473972	0.0248745	0.230098
l	0.000111115	8.67262e-07	0.00226764	0.000541547	0.00500161	0.00387886	0.0146938	0.0490144	0.0188638	0.0359893	0.0484063	0.0640796	0.233171	0.12318	0.1359	0.0186763	0.246223
a	0.000508879	3.99463e-05	0.00107771	0.000836815	0.0022581	0.00260591	0.00334852	0.0104167	0.00702415	0.0469047	0.0574058	0.0663118	0.120499	0.197366	0.0943501	0.0544122	0.334633
p	0.000768048	4.36678e-05	0.00122207	0.000260701	0.0033569	0.00261829	0.00795838	0.0262737	0.00905773	0.0429901	0.0622526	0.0508186	0.0472604	0.144298	0.103443	0.372702	0.124676
é	3.94291e-05	0.000102394	0.000509804	0.000367878	0.00130106	0.00370071	0.00390304	0.00145308	0.00517476	0.097966	0.032659	0.0572872	0.0655767	0.244338	0.0460113	0.370473	0.0691364
é	1.12366e-05	3.40251e-05	8.60121e-05	0.000259155	0.000262432	0.00129053	0.00070075	0.000168993	0.00182786	0.0474298	0.0434941	0.0732926	0.0983128	0.352615	0.0979994	0.0977569	0.184459
</S>	8.23985e-05	1.90305e-06	0.00104942	0.000811084	0.00222034	0.00257792	0.00277118	0.00336069	0.0024288	0.015988	0.0257406	0.035949	0.104598	0.120699	0.365925	0.0753437	0.240453
