 	c'	est	avec	des	tiges	de	bois	ou	de	métal	que	l'	on	renforce	le	manche	d'	une	hache	</S>
b	0.0193151	0.0135112	0.0926832	0.121577	0.0182285	0.118119	0.0587368	0.133168	0.164048	0.0326673	0.0917899	0.0354462	0.0224377	0.0142617	0.00795015	0.00495171	0.00812498	0.00412492	0.000733604	0.0381246
á	0.0149559	0.00675062	0.0671776	0.146787	0.0331994	0.0781778	0.116749	0.11286	0.0814344	0.0725786	0.0988558	0.0664184	0.0303502	0.0143174	0.0148372	0.00745184	0.0077683	0.00227307	0.000145604	0.0269127
a	0.00914164	0.0057908	0.0513658	0.0820694	0.003778	0.091916	0.11906	0.0964861	0.210547	0.12488	0.0720737	0.031181	0.038889	0.0183349	0.0130739	0.00496669	0.00744971	0.00458716	0.000617541	0.0137912
b	0.00379077	0.0166814	0.0424043	0.0455602	0.00615311	0.0233601	0.0844557	0.0447729	0.0820847	0.169447	0.163177	0.15899	0.0407115	0.0796158	0.00879397	0.00803402	0.00605382	0.00282389	0.00134646	0.0117433
h	0.00343083	0.0303236	0.0745034	0.0635159	0.00232475	0.00997596	0.0244008	0.00675116	0.030109	0.520631	0.0603037	0.112463	0.0327223	0.00846614	0.00460395	0.00250477	0.00273474	0.00121763	0.00089869	0.00811816
á	0.00318917	0.0245532	0.0994593	0.126398	0.0143894	0.0150267	0.0310856	0.00600147	0.0127436	0.394375	0.048566	0.149673	0.0410891	0.00817072	0.00448576	0.00406887	0.00445688	0.0016477	0.00141975	0.00920018
m	0.000470099	0.00176023	0.00646001	0.0121005	0.00473339	0.00866581	0.0320938	0.021682	0.0314784	0.311615	0.115677	0.192698	0.0739357	0.0194057	0.0235143	0.0341957	0.0258695	0.0131562	0.00379835	0.0666911
b	0.00115877	0.0010413	0.00809659	0.0339203	0.00864085	0.0362068	0.0101815	0.0179605	0.0709616	0.0423497	0.122667	0.215947	0.135703	0.248833	0.0333758	0.00144023	0.0017	0.00221135	0.000949361	0.00665441
í	0.000316413	0.000442219	0.00687999	0.0464796	0.0182639	0.0313176	0.00844554	0.0102415	0.0328806	0.0358569	0.0431411	0.32931	0.209726	0.146308	0.0314595	0.00515979	0.00388469	0.00290831	0.00347768	0.0335001
s	0.00017748	0.000309603	0.002459	0.00459196	0.00144295	0.0181254	0.0255814	0.0147645	0.0405372	0.0694271	0.120817	0.193999	0.33009	0.0613138	0.0683292	0.0128106	0.00757993	0.00386479	0.00112179	0.0226575
á	0.000209543	0.00033646	0.00286384	0.0117299	0.0171024	0.0261767	0.0154244	0.0306597	0.0142305	0.00163508	0.11491	0.308763	0.0744418	0.168166	0.079399	0.0280251	0.0073746	0.00579321	0.00777484	0.0849839
m	0.00180394	0.000852955	0.00333656	0.00728829	0.0019265	0.0227069	0.0176843	0.0188694	0.0327832	0.00435368	0.130478	0.158459	0.172719	0.195744	0.126579	0.0196454	0.0042754	0.00712779	0.0514802	0.0218862
í	0.00260889	0.00276356	0.0163062	0.0312766	0.00177	0.013969	0.00242435	0.00417638	0.0186479	0.00673974	0.055378	0.091438	0.124634	0.444229	0.085146	0.0147882	0.00920284	0.0121543	0.00774249	0.0546041
l	0.00190238	0.00144349	0.0177146	0.0321871	0.00122937	0.0340619	0.0171829	0.00917759	0.0211341	0.00360144	0.0307282	0.0552534	0.0853439	0.393033	0.175151	0.0329782	0.0121706	0.0151232	0.0403474	0.0202366
ώ	0.000262829	0.000385452	0.00130092	0.00446811	0.00300418	0.0101674	0.00754751	0.00342973	0.0049095	0.00122474	0.0221443	0.0633845	0.0502123	0.506761	0.181995	0.025894	0.0191881	0.0141527	0.0231278	0.0564406
n	4.69753e-05	8.71608e-05	0.00081815	0.00171267	0.000683647	0.00303634	0.00529696	0.00271236	0.00782692	0.000594005	0.0209791	0.0572893	0.103487	0.107607	0.265164	0.0846279	0.0422224	0.0401337	0.113424	0.14225
d	7.06066e-05	0.000397405	0.00116169	0.00241727	0.00266052	0.00562157	0.00686404	0.00460328	0.00429041	0.000382692	0.0256372	0.0771623	0.0517791	0.199669	0.272224	0.105566	0.0729147	0.0581491	0.0360209	0.0724077
z	8.77418e-05	0.000177314	0.000938096	0.00362679	0.00651216	0.00472786	0.00268827	0.00874891	0.00361982	6.0287e-05	0.0137578	0.0465032	0.0114275	0.138384	0.248397	0.155685	0.0572004	0.0583724	0.0614079	0.177678
ώ	0.000101048	0.000195934	0.000865888	0.00763399	0.0591059	0.00578655	0.00379897	0.0393299	0.00460084	0.00014252	0.0171757	0.0744449	0.00440652	0.0714026	0.0966199	0.204388	0.0392161	0.0463593	0.0797496	0.244675
</S>	6.89846e-05	0.000215239	0.00110727	0.00315271	0.00178759	0.00384418	0.003167	0.0128434	0.0137002	0.000282184	0.0226382	0.0402031	0.0240887	0.0161594	0.104391	0.0917746	0.184122	0.142249	0.0366281	0.297577
