 	je	n'	ai	plus	mangé	du	poisson	d'	eau	douce	depuis	que	mon	époux	est	mort	</S>
y	8.20081e-05	0.000444602	0.00333602	0.0134569	0.00319489	0.0499384	0.0293492	0.210041	0.101083	0.462859	0.0424442	0.0221404	0.0113521	0.00678041	0.00770205	0.00441308	0.0313831
i	9.00996e-05	0.000254534	0.000653431	0.00352243	0.00179652	0.0702344	0.0892042	0.210444	0.108198	0.321247	0.0526928	0.0124866	0.00390731	0.00669602	0.00468818	0.00359669	0.110288
l	3.21122e-05	0.000821734	0.00136008	0.00217173	0.000190189	0.0131329	0.0256619	0.111973	0.23784	0.148942	0.260287	0.119633	0.0405886	0.00596086	0.00985362	0.00121961	0.0203312
a	0.000534794	0.000873964	0.00567214	0.00364956	0.000530616	0.0157241	0.0307932	0.0697204	0.141909	0.140854	0.157911	0.150177	0.117995	0.0160987	0.0239517	0.0148999	0.108705
a	0.000425662	0.000520805	0.00116112	0.000193975	9.42364e-05	0.00238077	0.0112662	0.016799	0.0759207	0.0985802	0.279843	0.258314	0.199962	0.0250194	0.0149331	0.0037614	0.010825
w	0.000329022	0.00357813	0.020135	0.00806598	0.0045091	0.0179738	0.0130283	0.0312286	0.0886842	0.025421	0.0493345	0.109766	0.170218	0.376844	0.0471421	0.0187344	0.0150081
á	0.00022692	0.00201129	0.0179392	0.0044193	0.000537502	0.0130404	0.0173577	0.0367289	0.0749227	0.0612462	0.045077	0.104648	0.0615787	0.316409	0.0583817	0.057484	0.127991
á	7.64461e-05	0.000200194	0.000630999	0.000581144	0.000226918	0.00341953	0.0153224	0.0214093	0.0726582	0.165807	0.180324	0.214828	0.0784994	0.0573664	0.0162739	0.0254748	0.146902
l	0.000531902	0.00171159	0.00502257	0.00164431	0.00142872	0.00349379	0.0091987	0.00703394	0.0325258	0.015881	0.102444	0.246654	0.439125	0.0635111	0.0523502	0.00701604	0.0104274
í	0.00104297	0.00137317	0.00666388	0.000729159	0.000809905	0.00508954	0.00703706	0.00897301	0.032845	0.0195026	0.0705502	0.222066	0.236501	0.0937559	0.0509942	0.0312207	0.210846
n	0.000528046	0.000454112	0.00107093	0.000205527	6.53429e-05	0.00123048	0.00523981	0.00528446	0.0283038	0.0444089	0.169791	0.246515	0.286372	0.0955753	0.0586061	0.0271925	0.0291569
g	0.00314747	4.70933e-05	0.000359534	5.69409e-05	0.000142548	0.000550578	0.00155876	0.00220328	0.00984838	0.0131452	0.0352879	0.109217	0.800137	0.00655415	0.00419638	0.00252448	0.0110231
á	0.00139917	0.000208823	0.00164287	0.00033912	0.000569168	0.000879393	0.00159651	0.00402146	0.01723	0.0399021	0.0340699	0.0644425	0.703959	0.091883	0.0110608	0.00932843	0.0174675
o	2.14774e-05	0.000141664	0.000241126	0.000157116	3.4572e-05	0.00158042	0.00273127	0.00790575	0.0214771	0.0279968	0.148842	0.241189	0.251629	0.0441775	0.202235	0.0195296	0.0301106
l	8.76882e-07	0.000181471	0.000287697	0.00112079	0.000741353	0.00312368	0.000725321	0.00301306	0.00247527	0.00267447	0.00282844	0.00650908	0.0129783	0.706765	0.0777365	0.160688	0.0181514
ó	7.23919e-07	0.000343779	0.00288822	0.00419398	0.00124076	0.00466458	0.00151294	0.00134991	0.00162003	0.00220141	0.000449749	0.00348615	0.0310651	0.54318	0.0277708	0.303252	0.0707801
m	2.12565e-06	0.000197378	0.000738318	0.00123753	0.000558632	0.00498663	0.00381759	0.00215415	0.0027322	0.0119273	0.00162431	0.00367174	0.0110203	0.798383	0.0268051	0.0793166	0.050827
i	3.88452e-07	1.08944e-05	2.79819e-05	0.000267804	0.000703924	0.00845479	0.0098773	0.0150408	0.0176117	0.0207222	0.0140063	0.0115606	0.0135	0.484782	0.103941	0.167972	0.131521
</S>	0.000152985	0.000447793	0.00166446	0.000348529	2.10804e-05	0.0022653	0.00393122	0.0053309	0.0133668	0.0133616	0.051941	0.0929229	0.0664976	0.028668	0.368857	0.102992	0.247231
