 	la	manière	dont	il	voulait	nous	faire	traverser	le	fleuve	était	suicidaire	</S>
n	0.000348046	0.000638578	0.00425124	0.0174979	0.030501	0.0754834	0.145058	0.157677	0.206021	0.114791	0.146069	0.0144819	0.0871824
í	0.00574417	0.00505205	0.00790022	0.0336124	0.0297588	0.106307	0.0883117	0.342637	0.161356	0.146332	0.0236969	0.0059896	0.0433034
s	0.000182619	0.000811996	0.00582435	0.0642533	0.0226533	0.199558	0.0664298	0.168579	0.112301	0.309732	0.0384493	0.00485661	0.00636813
á	0.0149009	0.00395618	0.020182	0.0213341	0.0614245	0.185809	0.056684	0.356099	0.0907714	0.139725	0.0280673	0.00149415	0.019553
e	0.00480125	0.00350513	0.00757226	0.0457968	0.0184935	0.192935	0.0432458	0.178586	0.0832502	0.338199	0.0725654	0.00654986	0.00449946
b	0.00121974	0.000540917	0.000516101	0.00377878	0.010947	0.0503727	0.0730965	0.13459	0.0774406	0.0660173	0.23625	0.296461	0.0487698
a	0.000383886	0.000514323	6.81439e-05	0.00100519	0.000441287	0.0820513	0.0214166	0.0426576	0.0303117	0.00889987	0.0108655	0.794766	0.00661822
a	0.00021394	9.1751e-05	9.96475e-05	0.000543751	0.000401762	0.0308093	0.0473504	0.104626	0.131281	0.0391659	0.0884606	0.48073	0.0762262
é	0.000690649	0.000410126	0.00323406	0.0146327	0.00300242	0.143962	0.0567579	0.176172	0.121572	0.324993	0.0751677	0.0404648	0.0389407
d	0.000854277	0.000849235	0.00159966	0.00502048	0.00838418	0.0297912	0.0782978	0.0611318	0.0463653	0.0315091	0.290963	0.260107	0.185126
z	0.000106761	0.000105676	0.000541135	0.000554165	0.000520492	0.0131422	0.0165321	0.0341307	0.00973287	0.00375366	0.469954	0.0813011	0.369626
e	0.00171594	0.000637815	0.00391176	0.00311023	0.0034306	0.0203871	0.0707771	0.106589	0.0314299	0.0382937	0.604122	0.0228007	0.0927944
i	0.00382654	0.00159704	0.00491319	0.00478205	0.00274229	0.0607826	0.0406904	0.0745728	0.0736605	0.0363746	0.136732	0.290732	0.268594
b	0.000521721	0.000625695	0.000884125	0.00360199	0.00371962	0.00682713	0.00885002	0.0178514	0.00794544	0.00775701	0.0502996	0.58974	0.301377
o	0.000154389	0.000613817	0.000147778	0.00212034	0.000452704	0.0563722	0.0120781	0.0462289	0.0205889	0.0048732	0.00479034	0.824088	0.0274918
m	1.33898e-05	1.20559e-05	3.86114e-05	6.38121e-05	0.000131762	0.00219426	0.00568607	0.0155374	0.0124465	0.00121056	0.00293758	0.841664	0.118064
a	0.0435413	0.000956645	0.000952381	0.000767743	0.00044444	0.00493699	0.0130744	0.0232302	0.0228197	0.0100703	0.011231	0.606662	0.261313
l	0.000193121	3.93534e-05	0.00055248	0.000285228	0.000494642	0.00379867	0.00865615	0.0131352	0.0166956	0.00426706	0.0513455	0.188169	0.712368
á	0.00153137	0.000617988	0.00207403	0.0045677	0.00556853	0.034703	0.0203841	0.0388418	0.0198547	0.00662547	0.0694061	0.15049	0.645336
b	0.00486353	0.00748496	0.0243333	0.0368715	0.00937194	0.0671519	0.0299908	0.0581123	0.0500946	0.030856	0.0331971	0.162164	0.485508
í	0.000403393	0.00134184	0.00035733	0.0198941	0.00125911	0.44578	0.0229708	0.103046	0.0446892	0.0198343	0.00616226	0.297821	0.0364405
i	0.00162709	0.00629355	0.00519221	0.0586734	0.00259989	0.263547	0.019672	0.0976973	0.0520214	0.0611692	0.00852198	0.302018	0.120967
s	0.000100993	8.18448e-05	0.000919179	0.00173468	0.00211206	0.00460622	0.00958946	0.00879073	0.00994045	0.00769101	0.0174935	0.156811	0.780129
í	0.00108775	0.000851099	0.002079	0.00137535	0.00413409	0.0261564	0.0390963	0.0749466	0.044851	0.00403347	0.0621155	0.277879	0.461394
</S>	0.000747735	0.00064605	0.00474409	0.00310962	0.00215237	0.0189145	0.014288	0.027439	0.026501	0.0057319	0.0709759	0.155983	0.668767
