 	il	a	versé	les	arrhes	sur	la	dot	de	sa	femme	</S>
á	0.0137986	0.0297544	0.0117706	0.0537219	0.0205947	0.310437	0.39254	0.0685732	0.0301602	0.042233	0.00995006	0.0164665
m	0.00666295	0.0110061	0.00818395	0.0486389	0.00915024	0.289483	0.432594	0.0547575	0.0173219	0.0977013	0.0183164	0.0061839
b	0.00181018	0.00429252	0.00720867	0.0145552	0.0464859	0.283061	0.266292	0.0459764	0.0144777	0.00619381	0.244808	0.0648384
ώ	0.00024907	0.000488543	0.000469486	0.00779576	0.0391501	0.405288	0.428098	0.0707067	0.0165485	0.00237122	0.0176327	0.0112014
n	6.47018e-05	0.000492372	0.000610791	0.0151062	0.0652806	0.50257	0.263575	0.0903303	0.0239756	0.00125385	0.00885331	0.0278874
g	0.000271048	0.000909882	0.00259574	0.0175325	0.0559181	0.405959	0.396566	0.0262419	0.0264477	0.00881656	0.00340222	0.0553393
ω	0.000713516	0.000439914	0.000508578	0.00388469	0.0215051	0.494276	0.393938	0.0253222	0.0274711	0.00260459	0.00137949	0.0279568
y	0.000948348	0.00358695	0.00337099	0.0223641	0.0044592	0.217288	0.393506	0.215112	0.0984242	0.0078283	0.00320594	0.0299065
i	0.00566444	0.0115539	0.00629	0.011435	0.00193097	0.129749	0.444664	0.178925	0.0801041	0.073501	0.0237206	0.0324628
t	0.00270369	0.00593413	0.00475332	0.00960167	0.000508878	0.0519095	0.272936	0.0808442	0.0947276	0.435081	0.0258646	0.0151355
ώ	0.00306512	0.00356322	0.000952565	0.00280564	0.00148022	0.0891365	0.190615	0.471439	0.147843	0.0191431	0.00719173	0.0627656
ω	7.59223e-05	0.000122482	0.000334032	0.00085052	0.00456551	0.0984411	0.14647	0.394328	0.225997	0.0221008	0.00882274	0.0978923
l	0.000835861	0.00210911	0.00185402	0.00391463	0.000694298	0.024966	0.0656473	0.166948	0.454633	0.127267	0.0366242	0.114506
á	0.00110036	0.00375811	0.0218873	0.00749933	0.00217323	0.0221817	0.0303542	0.120839	0.341818	0.079239	0.0230263	0.346123
m	0.000157302	0.000486843	0.00136793	0.0014453	0.000117802	0.00657953	0.0144109	0.00261503	0.0269848	0.914288	0.0163611	0.0151858
w	0.0001595	0.000328125	0.000165649	0.00104495	0.00023086	0.00700792	0.0120031	0.00245041	0.0109268	0.107847	0.836173	0.0216622
á	0.00340243	0.00157808	0.000963145	0.00659305	0.00428201	0.0257622	0.0214695	0.0086947	0.0254974	0.0447657	0.838042	0.0189495
s	0.00836504	0.00525008	0.00845889	0.0188849	0.000740899	0.0195616	0.0333079	0.00776466	0.0499844	0.771386	0.0291327	0.0471633
í	0.00284244	0.00327424	0.0121988	0.00311841	0.00780298	0.0196873	0.0310654	0.0610646	0.264762	0.0738873	0.0790765	0.44122
y	0.00116968	0.00139062	0.00208384	0.00188758	0.000396626	0.0132069	0.0417228	0.0445239	0.30247	0.192966	0.0387995	0.359383
a	0.000459145	0.00171353	0.00163875	0.00158281	0.000630353	0.0134062	0.0250231	0.0467307	0.301633	0.50266	0.0144427	0.0900792
w	7.56216e-05	0.000154832	8.02025e-05	0.000261249	6.14107e-05	0.00245417	0.00593982	0.00180885	0.0187995	0.943586	0.0160946	0.0106836
a	0.00128297	0.00144249	0.00232124	0.00197502	0.00101155	0.0102571	0.0225115	0.0389102	0.246413	0.573462	0.016645	0.0837679
</S>	0.000348563	0.000363308	0.00109428	0.000648295	0.000194732	0.00342506	0.0108791	0.025828	0.203041	0.218961	0.0268394	0.508377
