 	la	manière	dont	son	pied	s'	est	gonflé	me	rend	triste	</S>
e	0.0302169	0.0161508	0.00773816	0.0402647	0.00332261	0.0198481	0.0492561	0.00437025	0.182253	0.14144	0.268398	0.236742
p	0.000875852	0.000699781	0.000754831	0.00290462	0.00857634	0.0114023	0.0172933	0.0276449	0.0492445	0.434996	0.14777	0.297837
έ	8.45738e-05	0.000344878	0.0001623	0.000815514	0.00803774	0.00202621	0.00330857	0.0779323	0.0120978	0.629485	0.027943	0.237762
n	0.0071179	0.00444232	0.00346906	0.0285847	0.0287139	0.0207651	0.0165835	0.0965315	0.164177	0.392225	0.059126	0.178264
g	0.0154072	0.00618073	0.00290597	0.025742	0.0084612	0.00556952	0.00625538	0.0168128	0.215584	0.167444	0.452063	0.0775736
á	0.0148094	0.0260266	0.0175195	0.0739514	0.00448313	0.00335221	0.00251746	0.00502842	0.228085	0.0814084	0.437285	0.105533
n	0.00466116	0.000950076	0.00257702	0.00545539	0.0023492	0.00174142	0.000703185	0.00371504	0.0567646	0.0841151	0.59429	0.242677
y	0.00404149	0.00240439	0.0202012	0.0217353	0.000368819	0.000299587	9.90473e-05	4.75267e-05	0.232775	0.00882712	0.657143	0.0520577
i	0.000981567	0.00110612	0.00309999	0.00590438	0.00052962	0.000676599	0.000501148	0.000717525	0.282503	0.0317362	0.556904	0.11534
n	0.000147818	0.000161459	0.000151097	0.00100169	0.000164343	0.000364733	0.00104521	0.000256117	0.0404127	0.0501566	0.566602	0.339536
g	0.0149363	0.00137963	0.00050537	0.000778676	0.00127278	0.000631439	0.00158149	0.00191552	0.0390554	0.163286	0.288002	0.486655
a	0.00268555	0.00570854	0.00194252	0.003089	0.00124476	0.000879128	0.00108719	0.0014468	0.0939855	0.170846	0.323551	0.393534
</S>	0.00318331	0.00141413	0.00169343	0.00384297	0.00175527	0.00491333	0.00616911	0.00117456	0.0509413	0.0903018	0.0555662	0.779045
