 	la	belle	famille	m'	implique	dans	des	affaires	que	je	ne	connais	pas	</S>
á	0.00649159	0.0358203	0.0209473	0.7366	0.0146658	0.00873211	0.0246026	0.0183753	0.0106863	0.110712	0.00131901	0.000593823	0.00117747	0.00927646
p	0.00305714	0.00256718	0.00458251	0.00524933	0.00316847	0.207796	0.293648	0.262637	0.156615	0.0289693	0.0180964	0.00596016	0.00454924	0.00310323
ώ	0.0102801	0.0156219	0.0218064	0.0059955	0.0142319	0.0610987	0.214264	0.445596	0.106395	0.0248009	0.024058	0.0107944	0.0313069	0.0137502
ω	0.00020569	0.00038906	0.00367581	0.00234541	0.00725869	0.0378999	0.155889	0.219927	0.161542	0.111857	0.0591724	0.0640396	0.0673471	0.108451
y	0.00141084	0.00149847	0.0016684	0.000975648	0.00192857	0.10167	0.197623	0.209543	0.315458	0.074518	0.0709748	0.0113985	0.00608441	0.00524858
é	0.0197173	0.0281395	0.0126403	0.00476112	0.00723191	0.0787937	0.14439	0.106796	0.300063	0.159632	0.0729648	0.0133464	0.0240567	0.0274669
é	0.00891491	0.0113231	0.0109038	0.0157564	0.00453683	0.0706815	0.0989491	0.0758417	0.262358	0.318317	0.0606218	0.0203686	0.0252447	0.0161827
d	0.00338594	0.00207313	0.00415483	0.0047934	0.0131414	0.0599379	0.0447703	0.0155037	0.0822659	0.231628	0.190148	0.288352	0.0441774	0.015668
i	0.00316439	0.000865234	0.000451494	0.00171032	0.0427182	0.177324	0.0550655	0.00501796	0.0450937	0.0747475	0.0782097	0.195283	0.0792827	0.241067
n	0.00122422	0.000582365	0.000314658	0.000877652	0.00406732	0.270523	0.0813383	0.0175252	0.0862806	0.0754855	0.125418	0.215033	0.0661328	0.0551969
g	0.00163091	0.00363924	0.000311095	0.00354187	0.000278246	0.0100932	0.0179804	0.00724002	0.0492824	0.813962	0.035676	0.00906628	0.00838116	0.0389168
á	0.000438889	0.00231431	0.0012695	0.00522934	0.000246546	0.00237833	0.0141254	0.0214022	0.0682978	0.804274	0.0331346	0.0111817	0.0128749	0.0228328
o	0.000901937	0.000271241	0.000461203	0.000102654	9.11929e-05	0.012378	0.0206201	0.0268823	0.101206	0.129507	0.277076	0.161468	0.194176	0.0748587
y	0.000184152	0.000246344	0.000179932	6.54533e-05	0.000561016	0.00362515	0.00250614	0.000570779	0.00339163	0.0209897	0.0662382	0.577218	0.283997	0.0402265
é	0.000558106	0.000557027	0.00068855	0.000117333	0.00174796	0.0175197	0.00314547	0.00130034	0.0127243	0.0484649	0.0568087	0.608261	0.153479	0.0946283
b	0.000391893	0.000325306	0.000217427	0.000171966	0.000808792	0.00413626	0.00260277	0.001842	0.0103727	0.0515924	0.0489512	0.378055	0.211	0.289533
h	0.000168193	0.000239077	0.000600641	0.000106168	0.000531364	0.00893275	0.0129249	0.0134462	0.0260811	0.0433242	0.145423	0.379799	0.225004	0.14342
a	0.00298118	0.00326517	0.00239295	8.8458e-05	0.00453532	0.0151902	0.0500825	0.0355013	0.0724571	0.0850612	0.0573369	0.0507593	0.0909859	0.529362
έ	0.00358567	0.00705476	0.00515371	0.00157575	0.000911993	0.0133855	0.0140438	0.011813	0.0297271	0.0533274	0.140291	0.0719814	0.149891	0.497258
</S>	0.00152849	0.000589809	0.000922524	0.00255659	0.000845444	0.00801634	0.0103123	0.00681262	0.0154169	0.0481013	0.145364	0.201063	0.154821	0.403649
