 	les	hommes	apportent	de	longs	fagots	de	bois	là	où	il	y	a	une	veillée	mortuaire	</S>
y	0.0162457	0.00516704	0.0264322	0.107806	0.100735	0.111799	0.114887	0.211261	0.0337742	0.0422481	0.0235871	0.0166068	0.00540012	0.0127646	0.0164902	0.0067251	0.148071
i	0.00740547	0.000975828	0.0098215	0.0994763	0.0998374	0.0664276	0.264537	0.197508	0.0424448	0.0237196	0.0182922	0.0101991	0.00404044	0.00887552	0.0049812	0.00785362	0.133604
e	0.00177408	0.00125197	0.00953925	0.0473495	0.18226	0.150038	0.231041	0.119864	0.0522582	0.0614816	0.041736	0.0298345	0.0121253	0.00911393	0.0271637	0.000529385	0.0226392
b	0.00194276	0.000546193	0.0113284	0.0309587	0.0617568	0.0316953	0.145111	0.177048	0.179573	0.0879443	0.0743854	0.075401	0.0620605	0.0218232	0.0235652	0.00276349	0.0120974
é	0.00141985	0.0283892	0.019612	0.0652025	0.0233694	0.0174828	0.113348	0.378414	0.165556	0.0413761	0.0245801	0.0212628	0.0261794	0.00963567	0.0496902	0.00272845	0.0117538
e	0.000425762	0.00123713	0.0112931	0.05946	0.0333393	0.0168449	0.114216	0.174892	0.158119	0.0572818	0.0874505	0.0625384	0.0442322	0.016965	0.0398672	0.00680223	0.115035
y	0.000632358	0.000156072	0.00245742	0.00912373	0.0303637	0.0199149	0.0822671	0.0663694	0.172706	0.128701	0.129791	0.131139	0.123747	0.0446049	0.038183	0.00379833	0.0160452
é	0.00208508	0.000230408	0.00359214	0.0240999	0.0997199	0.0619554	0.138816	0.0979224	0.0900662	0.13108	0.0771925	0.0561538	0.0584524	0.081333	0.0125922	0.0290398	0.0356693
é	0.000320299	0.000145171	0.00141362	0.0103027	0.0323956	0.0231634	0.0555067	0.0629655	0.105084	0.20389	0.135202	0.137658	0.0887769	0.0965647	0.019639	0.0150752	0.0118972
d	0.000802015	0.00057485	0.0088791	0.0151743	0.0182197	0.0152158	0.0262043	0.0401929	0.042577	0.0335934	0.0230902	0.0526684	0.301493	0.192984	0.192453	0.0147032	0.0211751
i	0.000479405	6.91185e-05	0.0017087	0.0112893	0.0313544	0.00777116	0.0523888	0.0592469	0.093299	0.0225503	0.0125413	0.0142435	0.164135	0.158561	0.195822	0.00316915	0.171371
o	0.000249503	3.47264e-05	0.000666474	0.00794344	0.0221616	0.0132419	0.0487265	0.062265	0.0998958	0.0317583	0.014212	0.0278093	0.150009	0.264672	0.223378	0.00365024	0.0293259
l	0.000314535	0.00127624	0.00364709	0.00492339	0.002744	0.00505098	0.00272497	0.0152813	0.0101988	0.0077656	0.00338127	0.00598606	0.0391679	0.144686	0.650103	0.0688566	0.033892
e	0.00115931	0.00037472	0.0037585	0.0171744	0.0633917	0.0986957	0.00939607	0.0134601	0.00437522	0.00402137	0.00180099	0.00367623	0.0292284	0.215873	0.368236	0.0392574	0.126121
e	1.00364e-05	1.38792e-05	0.000339084	0.00237822	0.00198969	0.00273398	0.00652073	0.0194581	0.0222735	0.00383767	0.00205311	0.00504771	0.037711	0.199661	0.482524	0.0086592	0.204789
l	0.000165138	5.64124e-05	0.00026404	0.00151429	0.00317177	0.00404894	0.00986098	0.011046	0.0473102	0.0584825	0.0697987	0.120032	0.0992347	0.161937	0.165861	0.0568727	0.190344
a	0.000454756	0.000290745	0.00182762	0.00626946	0.00680032	0.00799384	0.0124197	0.0163637	0.0223999	0.0364258	0.0397914	0.0472223	0.0567318	0.147984	0.101567	0.302448	0.19301
t	0.000123199	0.000142325	0.000517644	0.00199769	0.00269927	0.00398778	0.00547107	0.00693729	0.0216559	0.040464	0.0472044	0.0795083	0.0822269	0.202821	0.176551	0.128906	0.198787
á	0.000150547	0.0004356	0.00126016	0.0041531	0.002544	0.00251102	0.012653	0.0173462	0.0362026	0.0140548	0.0339803	0.0647939	0.0792909	0.0931478	0.0185924	0.593896	0.0249884
n	0.000127581	0.000337674	0.000904904	0.00251027	0.00247827	0.00331311	0.0071615	0.0081632	0.0396317	0.0194048	0.0605493	0.0582172	0.0829054	0.0905022	0.0654809	0.329155	0.229157
g	0.000170616	0.000110342	0.00114854	0.00394541	0.00451616	0.00983374	0.0112731	0.0141062	0.012905	0.0210854	0.0358265	0.0512363	0.0458095	0.146308	0.079498	0.327303	0.234924
a	0.000722355	0.000483334	0.000470367	0.00314524	0.0234679	0.166173	0.0131947	0.0144506	0.0090107	0.0801797	0.0461132	0.034138	0.00650241	0.0654394	0.0150868	0.271813	0.24961
</S>	0.000484417	0.000180359	0.000763072	0.00407538	0.00239261	0.00400663	0.00768184	0.00980525	0.019229	0.0474803	0.0353429	0.0562314	0.0389459	0.135317	0.156126	0.143466	0.338472
