 	la	femme	a	porté	une	robe	noire	car	elle	est	en	deuil	</S>
á	0.00334504	0.00030003	0.0726657	0.195415	0.301809	0.149679	0.0489925	0.0576289	0.0338601	0.0104717	0.00489643	0.00474889	0.116186
m	0.00674041	0.000243586	0.0142691	0.0290012	0.139186	0.387856	0.218545	0.106946	0.0471599	0.0123463	0.0160704	0.00409177	0.0175429
á	0.00239496	0.000241076	0.0087764	0.0117363	0.0209121	0.387644	0.17742	0.098126	0.117287	0.0600399	0.032962	0.00475834	0.0777017
p	0.00602538	0.000189744	0.00365123	0.00628243	0.0198527	0.193646	0.32136	0.28784	0.0880962	0.0266869	0.0160332	0.019343	0.0109931
i	0.000692537	4.44058e-06	0.000414042	0.000773227	0.0309168	0.137848	0.609986	0.154072	0.0240667	0.0139598	0.00439202	0.0187922	0.00408178
t	0.000635581	6.64933e-06	0.00114148	0.00208664	0.0240243	0.170781	0.456876	0.220587	0.0634925	0.0226497	0.00792731	0.00981391	0.0199775
s	0.00317334	2.75342e-06	0.000735645	0.000444875	0.0247541	0.0987606	0.531524	0.193099	0.0806528	0.029003	0.00421064	0.0160794	0.0175601
í	0.000765974	2.81636e-07	0.000612069	0.00325903	0.0332617	0.10125	0.341666	0.399174	0.0317989	0.0171998	0.00586869	0.00963626	0.0555075
n	0.00211378	1.76605e-05	0.00174815	0.000884641	0.00360329	0.043808	0.245364	0.461508	0.13954	0.0196812	0.00711727	0.00876171	0.0658523
a	0.00767711	0.000154979	0.0118659	0.0097662	0.0155976	0.0376292	0.0796068	0.31742	0.139719	0.0356208	0.014987	0.0306531	0.299302
a	0.00253477	8.66431e-06	0.00375576	0.00199752	0.00299556	0.0237508	0.0812475	0.373679	0.327789	0.0962294	0.0345804	0.00843761	0.042994
d	0.00234411	4.39128e-05	0.013847	0.0274394	0.0082097	0.0197899	0.0179491	0.0919276	0.1481	0.325423	0.286798	0.0331171	0.0250112
i	0.00097646	6.43396e-05	0.00262365	0.00938534	0.00342618	0.00313124	0.00367679	0.0456694	0.0675153	0.287698	0.170962	0.0286673	0.376204
m	0.000135093	4.69374e-06	0.000866062	0.00150992	0.00196875	0.0088352	0.0194338	0.084426	0.0580839	0.265797	0.441036	0.0300616	0.0878419
í	0.000358691	2.96554e-05	0.00139414	0.0016102	0.00299543	0.0134726	0.0146712	0.035088	0.09238	0.219299	0.345726	0.0924048	0.18057
l	0.000619255	7.21493e-06	0.0010191	0.00161796	0.00156702	0.0079363	0.0119479	0.0346726	0.0752464	0.150413	0.316886	0.288998	0.109069
y	0.000544172	2.15352e-05	0.00108379	0.011617	0.0041869	0.0065631	0.00848647	0.0258686	0.0385313	0.115511	0.121034	0.320702	0.34585
ε	0.00137178	0.000581831	0.00112098	0.00364582	0.0092747	0.00355795	0.0073597	0.0199303	0.0247962	0.120458	0.117949	0.493872	0.196083
b	0.000522196	7.02921e-06	6.14526e-05	0.000123416	0.00104525	0.00125354	0.00459144	0.0195317	0.0127004	0.0418061	0.0619118	0.741555	0.114891
h	0.000605279	1.38737e-06	0.000194876	0.000245671	0.00100374	0.0064694	0.0169207	0.0659143	0.0878175	0.209377	0.201478	0.271283	0.138689
ω	0.000596317	6.9549e-07	0.000311923	0.000198848	0.00363025	0.0173062	0.042024	0.122432	0.0737849	0.118179	0.150784	0.329875	0.140877
</S>	0.00598079	1.34622e-06	0.000370776	0.000311174	0.0022281	0.00587624	0.00627554	0.0140624	0.0338253	0.0661386	0.112597	0.075948	0.676384
