 	a87	a23	a30	a93	a70	a62	a61	a34	a47	a70	a61	a75	a66	a0	a96	a24	a47	a83	a38	a90	a76	a98	a85	a43	a75	a73	a56	a96	a93	a56	a96	a75	a85	a47	a36	a57	a87	a10	a87	a23	a40	a5	a62	a31	a47	a93	a34	a56	a93	a96	a62	a83	a71	a0	a75	a93	a13	a53	a93	a70	a61	a62	a34	a75	a92	a70	a75	a56	a25	a90	a4	a20	a26	a82	a57	a87	a23	a87	</S>
a	0.00373324	0.00643685	0.00354359	0.006205	0.00796447	0.0178594	0.0137701	0.013726	0.0202501	0.0226124	0.0170526	0.0132239	0.0113518	0.0195202	0.0189709	0.017778	0.014244	0.0181729	0.0158339	0.0150361	0.0152698	0.0140449	0.0154194	0.0245051	0.0285838	0.0261268	0.0242098	0.0424585	0.0450203	0.0434132	0.030276	0.0164944	0.0146039	0.0138915	0.018583	0.0116554	0.0105704	0.0121002	0.0140357	0.0216744	0.0114655	0.0162756	0.0102989	0.00983412	0.0128063	0.0215751	0.0124631	0.0255905	0.0160805	0.0242411	0.0235578	0.0132858	0.0135359	0.0084078	0.00623171	0.00289865	0.00297738	0.00225335	0.00166254	0.00158222	0.00153763	0.00132442	0.00121222	0.00140181	0.00083523	0.00143339	0.000984563	0.0010616	0.000953396	0.00138254	0.00227396	0.00224259	0.00232916	0.00318069	0.00448044	0.00356904	0.00305724	0.00413867	0.00535547
laissé	0.0140543	0.0202392	0.0196051	0.0311176	0.0230371	0.0238502	0.017348	0.0207006	0.020973	0.0113647	0.00544142	0.00645328	0.00642512	0.0101395	0.00870786	0.0129643	0.00930101	0.014478	0.0103336	0.0111121	0.0142082	0.0176385	0.0217106	0.0317589	0.0250663	0.022979	0.0199862	0.0302697	0.0319166	0.0369738	0.0201093	0.0103066	0.00870839	0.00780603	0.0114656	0.00651114	0.00530023	0.00452929	0.00773611	0.0107741	0.00484191	0.0114349	0.00407602	0.00510835	0.0144474	0.028748	0.0081863	0.0274537	0.0209046	0.0280725	0.0290225	0.0260818	0.0259842	0.0226201	0.0174994	0.0101475	0.00996838	0.00615183	0.00527001	0.00276438	0.00335666	0.00229158	0.00233019	0.00273586	0.00121702	0.00257958	0.00223679	0.00242117	0.00131188	0.00143496	0.00153998	0.00202578	0.00299752	0.0022375	0.00330504	0.0023814	0.00292365	0.00368717	0.00480193
des	0.00845831	0.00708145	0.00783908	0.0124266	0.01687	0.0264619	0.0173867	0.0152801	0.0203649	0.0112364	0.00684157	0.00688395	0.00570382	0.0102399	0.010407	0.0147465	0.011122	0.0154871	0.0129047	0.0142553	0.0161297	0.0122577	0.0140683	0.0154901	0.026203	0.0234718	0.017702	0.0286482	0.0272912	0.034265	0.0186153	0.015698	0.0142373	0.0136269	0.0144087	0.0110636	0.0129866	0.0133432	0.0172034	0.0226759	0.0224368	0.0265057	0.0182052	0.0145133	0.0156498	0.026803	0.0214272	0.0340281	0.0178198	0.0273229	0.0222812	0.0156005	0.0233433	0.0134328	0.0105757	0.00511775	0.00581935	0.00345905	0.00442543	0.00219702	0.00254912	0.002101	0.00222314	0.00257929	0.00119216	0.00210294	0.00169425	0.00140183	0.00132589	0.0012689	0.00121283	0.00181516	0.00272949	0.00287523	0.00457196	0.00309067	0.00311755	0.00493986	0.00486161
traces	0.0111372	0.00829681	0.00975952	0.0145193	0.0180011	0.0209355	0.0141343	0.0186644	0.0202685	0.0153632	0.0138761	0.0125435	0.0111789	0.014126	0.0141837	0.0159796	0.0149454	0.0191623	0.0147739	0.0184597	0.0185607	0.0178559	0.0179314	0.0162724	0.0246429	0.0204806	0.0161216	0.0205561	0.024183	0.0250799	0.0232436	0.0160971	0.0147198	0.0132645	0.0160005	0.0088451	0.00846828	0.00525797	0.00765343	0.0109714	0.00635966	0.0120515	0.00526075	0.00580801	0.0146713	0.0231833	0.0084863	0.0195857	0.0219234	0.0220969	0.0190724	0.0167055	0.0221737	0.01705	0.0161117	0.0136742	0.011028	0.00830542	0.00823384	0.0032533	0.00417084	0.00426002	0.00429476	0.00352351	0.0019631	0.004264	0.00291858	0.00239484	0.00350869	0.00304205	0.00256775	0.00361924	0.00491238	0.00611471	0.00819196	0.00814444	0.00594156	0.0109768	0.0136407
sur	0.00725456	0.0103455	0.010605	0.024303	0.036341	0.0398093	0.0220645	0.0288036	0.0310242	0.0167393	0.01399	0.0135856	0.0120638	0.0153394	0.0164871	0.0208814	0.0231319	0.0160962	0.0152634	0.0167167	0.0127614	0.0160571	0.0126338	0.0180757	0.0251597	0.0193889	0.0212219	0.0273737	0.0245301	0.0246199	0.0160551	0.00675354	0.00536772	0.00433516	0.0105429	0.0022843	0.00208008	0.00261218	0.00352898	0.00688628	0.00412823	0.00567631	0.00351624	0.00296442	0.00594936	0.0126792	0.00301701	0.016987	0.0090655	0.00862054	0.0123614	0.0140274	0.0141576	0.0133238	0.0118925	0.00698451	0.00717668	0.0055177	0.00433404	0.00501645	0.0059312	0.00638794	0.00755099	0.00750021	0.00534599	0.010323	0.00808615	0.00640179	0.0081738	0.01108	0.0100282	0.0131061	0.0160106	0.0143122	0.0101317	0.0128571	0.00623717	0.0113181	0.00870823
le	0.00955773	0.012262	0.0142937	0.0180754	0.024799	0.034743	0.0210318	0.0250807	0.0265155	0.0128991	0.0114739	0.00855222	0.00864069	0.00998585	0.0130793	0.0141394	0.0157469	0.0144776	0.011955	0.0141238	0.010204	0.0101438	0.00806445	0.0109389	0.0178704	0.0183325	0.0133935	0.0209951	0.0163329	0.0184587	0.0133606	0.0119019	0.0108186	0.0105955	0.0111091	0.00787656	0.00656382	0.00725946	0.00768789	0.014995	0.0135107	0.013725	0.00785556	0.00810731	0.0126006	0.0187312	0.0132525	0.0278375	0.0195278	0.0258741	0.0199755	0.0156233	0.0180932	0.0159957	0.016282	0.0086388	0.0105403	0.00774679	0.00707785	0.00747564	0.00769169	0.00721217	0.00790211	0.0058855	0.00587933	0.00877585	0.00639079	0.00601869	0.00691024	0.00676459	0.0058491	0.00817126	0.00961128	0.00837935	0.00680177	0.00857187	0.00592167	0.00968014	0.0107762
chemin	0.0103454	0.0136048	0.0138756	0.0236381	0.027673	0.0234707	0.0179814	0.0221643	0.0222985	0.0157638	0.016071	0.0120125	0.0146508	0.0131049	0.0158039	0.0128232	0.015329	0.0208499	0.0125505	0.0147852	0.0162779	0.0157861	0.0136455	0.00992212	0.0188908	0.0170552	0.0135075	0.0138438	0.0155331	0.0186744	0.0129579	0.006139	0.00511815	0.00483285	0.00953219	0.0022608	0.00206522	0.0012002	0.00186245	0.0029483	0.00169406	0.00311756	0.00179051	0.00172285	0.00531174	0.00923854	0.00240122	0.0087615	0.0100434	0.0082335	0.012269	0.0144259	0.0151895	0.0154858	0.0163152	0.0137647	0.0108987	0.0102075	0.00661269	0.00702176	0.00712719	0.00734352	0.0080141	0.00858498	0.00782049	0.0136223	0.0134833	0.012729	0.0140405	0.019042	0.0172575	0.0223886	0.0192558	0.0209646	0.0181916	0.0211203	0.0157355	0.0238704	0.0140529
pour	0.0134879	0.0139814	0.014795	0.0247136	0.0280633	0.0325677	0.0259547	0.0303669	0.0259653	0.0201159	0.0183996	0.015326	0.016602	0.0174936	0.018976	0.0194956	0.0248393	0.0213752	0.0176872	0.0201413	0.0200772	0.0153811	0.0155197	0.0124703	0.0226839	0.0128374	0.0139198	0.0171787	0.0204863	0.0199556	0.0158474	0.0109044	0.010162	0.00785073	0.011186	0.00283211	0.00422238	0.00241189	0.00466292	0.00823199	0.00408786	0.00792911	0.00415187	0.00316078	0.0085934	0.0119326	0.00325169	0.0149841	0.0113868	0.0126029	0.0154082	0.0154882	0.0182731	0.0157103	0.0140018	0.00879878	0.00825015	0.00574873	0.00645528	0.00302862	0.0045084	0.00530722	0.00610178	0.00508838	0.00316994	0.00709138	0.00571136	0.00467372	0.00539049	0.00475735	0.00563338	0.0056398	0.00695101	0.00843488	0.0103145	0.0099921	0.00981449	0.0138063	0.0152001
permettre	0.00856778	0.00861441	0.00802085	0.0148038	0.0165172	0.0185293	0.0138406	0.0156841	0.0237484	0.0231566	0.02345	0.0172994	0.0159428	0.0165703	0.0196047	0.0170082	0.0217157	0.0196288	0.0161196	0.0171109	0.0158591	0.0148443	0.0113015	0.0149397	0.0223846	0.0187218	0.0205753	0.0246865	0.0239478	0.0227628	0.0220144	0.0139162	0.0116201	0.0128537	0.0159326	0.00635	0.00754371	0.0062185	0.0100701	0.015825	0.00944804	0.0155172	0.00806669	0.00645866	0.0136375	0.0214362	0.00916362	0.0271149	0.018666	0.0227695	0.0170703	0.0151565	0.0135913	0.0126778	0.0132554	0.00707361	0.00890642	0.00604602	0.00721748	0.00424916	0.00512422	0.00473951	0.00445376	0.00393609	0.00236598	0.00466745	0.00423397	0.00381994	0.00403253	0.00512921	0.00508681	0.00596332	0.00536348	0.00584402	0.00610558	0.00562286	0.00419101	0.00670036	0.00679641
à	0.0101376	0.0111671	0.0132677	0.0209217	0.021801	0.0236795	0.0176313	0.0187427	0.0224717	0.0224674	0.0217097	0.0177378	0.0157644	0.0153271	0.0176483	0.0157042	0.0190088	0.0178752	0.0135792	0.0131792	0.0140584	0.0139405	0.0124432	0.013454	0.0183494	0.0186497	0.0181183	0.0199622	0.0211918	0.0229845	0.0185651	0.0129897	0.0102692	0.0125842	0.0155741	0.00633764	0.00672038	0.0057158	0.0105382	0.0124661	0.00857625	0.016177	0.00793989	0.00462974	0.0122014	0.0189079	0.00675962	0.0223969	0.0162041	0.0178665	0.0169987	0.0156223	0.0130552	0.0127941	0.010389	0.00678561	0.00752652	0.00552724	0.0066751	0.00384635	0.00512866	0.00572066	0.00557957	0.00590391	0.00280322	0.00620723	0.00630799	0.00580581	0.00537923	0.00687425	0.00708698	0.00869513	0.00731336	0.00937484	0.00960477	0.00896938	0.00782193	0.0105343	0.00927529
son	0.0107387	0.0132058	0.0152442	0.0244732	0.0266911	0.0276593	0.0233062	0.0232865	0.0237262	0.0188135	0.017476	0.015798	0.0148826	0.017452	0.0168388	0.0180073	0.0224266	0.0158241	0.016414	0.0171989	0.016712	0.0142851	0.0131064	0.0145513	0.0214031	0.0138802	0.0170139	0.0209037	0.0225845	0.0224981	0.016787	0.011123	0.0109719	0.00868863	0.0135926	0.00382744	0.00563987	0.00391616	0.00804176	0.0125481	0.00603469	0.0122417	0.00644004	0.00427481	0.0108474	0.0157026	0.00450514	0.0202721	0.0126928	0.0149255	0.0169395	0.0163869	0.0169663	0.0142989	0.0116744	0.00702839	0.00709679	0.00469958	0.0054819	0.00325046	0.004768	0.00635113	0.00642028	0.00595592	0.00336887	0.00692507	0.00637362	0.00632153	0.006722	0.00728926	0.00745205	0.00778219	0.00738833	0.00832177	0.00921683	0.00852469	0.00775396	0.00997476	0.00979202
mari	0.00619103	0.0122465	0.0144067	0.0267632	0.031029	0.0230604	0.0220756	0.0139765	0.0210921	0.0172098	0.0245026	0.0188852	0.0214484	0.0200103	0.0228482	0.0167997	0.0191773	0.0276304	0.0207933	0.0210301	0.0257571	0.0227643	0.0224843	0.0174048	0.026098	0.0205772	0.0213383	0.0194032	0.0187345	0.0243596	0.0154476	0.0060211	0.00573376	0.00423763	0.00958965	0.00259804	0.00268509	0.00149595	0.00233073	0.00392138	0.00189412	0.00317078	0.00262385	0.00279408	0.00581144	0.00954475	0.0034501	0.0113057	0.00994806	0.00806821	0.0107746	0.0133545	0.00981427	0.00804725	0.00777745	0.010159	0.00575859	0.00629924	0.00477666	0.00417723	0.00421874	0.00711071	0.00664059	0.00604574	0.00522963	0.00787287	0.00875446	0.00999939	0.0113906	0.013548	0.0131508	0.012194	0.00972599	0.0126859	0.0125338	0.0120865	0.0112378	0.0135361	0.0083298
de	0.00545454	0.00970989	0.0145495	0.0241421	0.0226602	0.0243705	0.0196456	0.0161135	0.0196965	0.0193483	0.0207647	0.0190577	0.0183345	0.0206583	0.0220858	0.0192849	0.0229594	0.0156245	0.0183995	0.0157821	0.0178441	0.0127232	0.0157478	0.0157816	0.0229947	0.0168705	0.0217504	0.0241311	0.0245147	0.0249555	0.0195885	0.0118014	0.0114577	0.00850994	0.0147399	0.00308566	0.00478097	0.00350317	0.00701568	0.0120226	0.00584081	0.011064	0.00605264	0.00388766	0.00971207	0.0148165	0.00373211	0.020793	0.0119466	0.0133071	0.014184	0.0114019	0.0102522	0.00700682	0.00577417	0.0039448	0.00343247	0.00289243	0.00262085	0.00271355	0.00321193	0.00563853	0.00563534	0.00671478	0.00357832	0.00753666	0.00702304	0.00725097	0.00801794	0.00904743	0.00979273	0.0106835	0.00985885	0.0123099	0.0147529	0.0119827	0.0126883	0.0143682	0.0120713
la	0.00840991	0.0137831	0.0159164	0.024368	0.0266429	0.0309904	0.0237527	0.023654	0.0242258	0.0186105	0.0207178	0.0175261	0.0163346	0.0195046	0.020963	0.0176704	0.0248778	0.017344	0.0201664	0.0202203	0.0171904	0.0163787	0.0155794	0.0163487	0.0238779	0.0143446	0.02065	0.0247153	0.022707	0.0221763	0.0166657	0.00893479	0.00799941	0.00545254	0.0112097	0.00219154	0.00292489	0.00216252	0.00425452	0.0090632	0.00409562	0.00714895	0.0045851	0.00331372	0.00684574	0.0119408	0.00286468	0.0180016	0.00973407	0.0109096	0.0135185	0.0137381	0.0133851	0.0104069	0.00821128	0.00579778	0.00503467	0.00390909	0.00400659	0.00370629	0.00475487	0.00604958	0.00586558	0.00632782	0.0039444	0.0081972	0.00732951	0.00706484	0.00766323	0.00880474	0.00963626	0.0106892	0.0103078	0.0122931	0.0133844	0.0118477	0.00895476	0.0138506	0.0113744
suivre	0.00496993	0.0103324	0.0101407	0.0273709	0.0381446	0.0341237	0.0321976	0.0219054	0.0228022	0.0183826	0.0265499	0.020222	0.021549	0.0229005	0.0252786	0.0171717	0.02279	0.0237296	0.024314	0.0229638	0.0261164	0.0210756	0.0226052	0.0169625	0.0272642	0.0165824	0.0209202	0.0175478	0.0162758	0.0211601	0.0115417	0.00428092	0.00415031	0.00267934	0.00530209	0.00160151	0.00208455	0.00131315	0.00214129	0.00402252	0.00237439	0.00306485	0.003535	0.00326737	0.00350274	0.00528053	0.00302952	0.00807766	0.00513102	0.00508476	0.00560095	0.00749961	0.00567389	0.00386126	0.00394755	0.00457666	0.00237495	0.00348924	0.00192811	0.00292397	0.0027091	0.00510943	0.00634744	0.00713054	0.00507649	0.0122757	0.0115466	0.0120739	0.0150552	0.015444	0.0164219	0.0140752	0.0122096	0.0155902	0.014998	0.01629	0.0142212	0.0171242	0.00861058
</S>	0.0124391	0.0213187	0.0279556	0.0321715	0.0308063	0.0210992	0.0264442	0.0148227	0.0167854	0.00874288	0.00942061	0.00784909	0.00869222	0.0116882	0.0116155	0.0125502	0.0142816	0.0141216	0.0132434	0.0152809	0.0138161	0.0119577	0.0121317	0.0113028	0.0205775	0.0129226	0.0146592	0.0207643	0.0192441	0.0218949	0.0133807	0.0120898	0.0142218	0.0102083	0.0159556	0.00734172	0.00827785	0.00473194	0.00941128	0.0153809	0.00623207	0.0127296	0.00867076	0.00802775	0.0186615	0.0203324	0.00837285	0.0234806	0.0160584	0.0148862	0.019261	0.0178867	0.0177851	0.0153686	0.0107645	0.00782378	0.00808506	0.00504156	0.00561884	0.00525133	0.00653981	0.00869698	0.00769864	0.00669838	0.00723226	0.00663366	0.00608373	0.00675126	0.00758478	0.00709381	0.00694681	0.0094727	0.00940617	0.00926115	0.00892108	0.0080599	0.00649111	0.00869486	0.00979455
