 	la	manière	dont	il	a	renversé	l'	assiette	montre	qu'	il	n'	y	a	pas	de	nourriture	</S>
a79	0.00206831	0.002843	0.00611111	0.0162072	0.0463652	0.0767572	0.080124	0.0843497	0.0952626	0.102288	0.101852	0.0890812	0.055828	0.0474596	0.0367027	0.0388118	0.046361	0.0715279
a56	0.00181757	0.00244621	0.00601238	0.0180829	0.0533604	0.085879	0.0907614	0.0944348	0.0961233	0.102474	0.10833	0.0924683	0.0563862	0.045592	0.0311844	0.0287743	0.034043	0.0518294
a75	0.00244873	0.00289677	0.00624434	0.0180511	0.0534432	0.0945503	0.0977114	0.0865027	0.0935505	0.0959444	0.0950094	0.083955	0.0501492	0.0414355	0.0323119	0.0334196	0.0431742	0.0692017
a85	0.00198159	0.00258084	0.00580575	0.0174346	0.0453301	0.0694974	0.0693086	0.0676519	0.0795277	0.0938955	0.0948997	0.0893763	0.0587994	0.0532544	0.0446884	0.0481217	0.0603379	0.0975084
a37	0.00290765	0.0035571	0.00761645	0.0188474	0.0431697	0.0630566	0.0668925	0.0712093	0.0775914	0.0854271	0.0879749	0.0826163	0.0496507	0.0467696	0.0429646	0.0527838	0.0725613	0.124403
a70	0.00425101	0.0039609	0.0077798	0.0218676	0.0581481	0.0982313	0.10071	0.0881481	0.0850618	0.0805237	0.0772199	0.0730302	0.0411924	0.0345068	0.0292316	0.0345931	0.0534743	0.108069
a66	0.00866894	0.00730778	0.0123151	0.0232794	0.0518316	0.0892419	0.0963411	0.0910027	0.0988312	0.0882218	0.0744453	0.0704856	0.0391443	0.0310995	0.0255391	0.0320665	0.0529706	0.107208
a3	0.0182328	0.0152164	0.0244186	0.0356625	0.0650421	0.086166	0.0905201	0.0962831	0.106967	0.103291	0.0841897	0.0769101	0.0419158	0.0273475	0.0197806	0.021889	0.030611	0.0555563
a99	0.031923	0.0169665	0.0211082	0.0284415	0.0502613	0.0599891	0.0713209	0.0842098	0.0873869	0.109301	0.0942256	0.0941027	0.0646555	0.0455195	0.0314056	0.028615	0.0341672	0.0464005
a87	0.0356199	0.0109434	0.00973181	0.0138708	0.0256107	0.0324498	0.0440377	0.0615666	0.0668952	0.0882416	0.0825085	0.0959037	0.0903161	0.0795676	0.0630014	0.0521449	0.061723	0.0858671
a23	0.056581	0.0193151	0.0172362	0.0225661	0.0431316	0.0454311	0.0586335	0.0713515	0.0590157	0.0590981	0.0657451	0.0835168	0.0914547	0.0865718	0.0704735	0.0512195	0.0480177	0.050641
a3	0.0183331	0.00800683	0.00851452	0.00959173	0.0176379	0.0209301	0.0347077	0.0501887	0.0477361	0.0548242	0.0552883	0.0821156	0.0905561	0.0999388	0.0961621	0.0889829	0.0999165	0.116569
a87	0.017033	0.00616163	0.00759652	0.0132777	0.0253937	0.0254182	0.0339574	0.0438034	0.0354482	0.0394387	0.0407557	0.0634227	0.0728474	0.101324	0.125781	0.113658	0.116004	0.118679
a83	0.0306379	0.0110287	0.0134018	0.0247415	0.0456436	0.0427774	0.05304	0.0608257	0.0413387	0.0391	0.0399923	0.0585476	0.0695844	0.088425	0.108089	0.0930086	0.0897288	0.0900891
a62	0.00493676	0.00208139	0.0025528	0.0044058	0.0119109	0.0156974	0.0235367	0.0275681	0.0231221	0.0276713	0.0357079	0.0621524	0.0756136	0.125006	0.162317	0.139941	0.126933	0.128846
a21	0.000461908	0.000319261	0.000472519	0.00118223	0.00407312	0.00657386	0.00944918	0.0130587	0.0169357	0.0236026	0.0234116	0.031892	0.0327794	0.0570026	0.125262	0.198636	0.220566	0.234322
a12	0.000509405	0.000466196	0.000660069	0.00121958	0.00265111	0.00341184	0.00418798	0.0054794	0.00715891	0.0109282	0.0107147	0.0156042	0.0198248	0.0358716	0.0975023	0.204865	0.283028	0.295917
a31	0.000529246	0.000535904	0.000774904	0.0016087	0.00391845	0.00606483	0.00812616	0.0115651	0.0156358	0.0219565	0.0210036	0.0291469	0.0352437	0.0555259	0.110985	0.184337	0.238832	0.25421
a47	0.000531792	0.000530995	0.000793547	0.00183169	0.00467053	0.00713648	0.00931226	0.0128046	0.0168469	0.0233767	0.0221698	0.0311748	0.0389314	0.0612316	0.113451	0.17802	0.233281	0.243905
a56	0.000940213	0.00101366	0.0015103	0.00339971	0.00852555	0.0140915	0.017893	0.0236155	0.0311551	0.0381321	0.0362612	0.0446704	0.0528263	0.07321	0.121301	0.167061	0.185614	0.178779
a93	0.000370119	0.000370271	0.000542878	0.00131375	0.00369782	0.00691763	0.00902011	0.0128975	0.0189353	0.0253478	0.0244371	0.0310128	0.0353102	0.0507528	0.0980342	0.17321	0.233853	0.273977
a70	0.000236563	0.000258243	0.000418945	0.00107448	0.00339039	0.0068627	0.00900816	0.0126552	0.0176563	0.021819	0.0208548	0.0261545	0.0269739	0.0376198	0.0777637	0.169485	0.24422	0.323548
a62	0.000305965	0.00031584	0.000518531	0.00114043	0.00312427	0.00638817	0.00832829	0.011872	0.0184198	0.0252062	0.0229648	0.029454	0.029814	0.0401359	0.0767325	0.161139	0.236001	0.328139
a88	0.000422652	0.000401761	0.000610174	0.0012471	0.00321446	0.00607996	0.00790762	0.0119298	0.019566	0.0305981	0.0274616	0.0340898	0.034475	0.0444443	0.0792531	0.154589	0.228507	0.315202
a62	0.000351177	0.000326999	0.000543477	0.00114561	0.00313856	0.0060241	0.00760274	0.00990901	0.0167109	0.0274883	0.025592	0.0335032	0.0310352	0.0410646	0.0760121	0.150218	0.225272	0.344062
a83	0.000395272	0.000358856	0.000572209	0.00119009	0.0030524	0.00558461	0.00723267	0.0104627	0.0171884	0.0285627	0.025378	0.0317256	0.0298373	0.0379092	0.0692235	0.142709	0.227323	0.361295
a34	0.000321652	0.000284955	0.000465295	0.000952365	0.00266658	0.00529192	0.00672026	0.00880071	0.0149224	0.0259208	0.0246391	0.0326161	0.0290615	0.0382363	0.0700243	0.144925	0.225521	0.368631
a54	0.000271818	0.000217612	0.000349289	0.000700562	0.00172644	0.00307787	0.00407075	0.00581493	0.00932937	0.017057	0.016076	0.0215567	0.0213199	0.027648	0.0523274	0.126438	0.24651	0.445508
a36	7.22833e-05	5.71543e-05	0.000118753	0.000291668	0.000928576	0.0018362	0.0021519	0.00269108	0.00325883	0.00539305	0.00563183	0.00845055	0.00711815	0.0108903	0.0292976	0.103101	0.240065	0.578646
a2	0.000567182	0.000372197	0.000601751	0.0010886	0.00256771	0.00368588	0.00392879	0.00414156	0.00463133	0.00652547	0.00601588	0.0090117	0.00747646	0.0112126	0.0292944	0.101799	0.251021	0.556059
a57	0.0208708	0.0158956	0.0147685	0.0142766	0.0204917	0.0182461	0.0205797	0.020985	0.0189143	0.023035	0.0255843	0.0310273	0.0254117	0.0350216	0.0678494	0.132655	0.199442	0.294945
a87	0.0605352	0.0236471	0.0182509	0.0176077	0.023934	0.0194304	0.0254374	0.0285868	0.0240237	0.0329695	0.0401205	0.0550665	0.0514671	0.0611002	0.0787132	0.104541	0.141636	0.192933
a99	0.0672923	0.0166179	0.0134811	0.0150492	0.0239163	0.0205437	0.0312821	0.0371175	0.0306875	0.0442724	0.0503061	0.0700071	0.0659177	0.0649841	0.069236	0.0845783	0.127135	0.167576
a82	0.026799	0.00550493	0.00342974	0.00367118	0.00775328	0.00887655	0.0171999	0.0274017	0.0185216	0.0263414	0.0216458	0.0334984	0.0310213	0.0416952	0.0700482	0.125854	0.229768	0.30097
a87	0.0231977	0.00418502	0.00382233	0.00637317	0.0178914	0.0210855	0.0340574	0.0480058	0.0293624	0.0346021	0.0281444	0.0369514	0.0326947	0.0339394	0.0469378	0.0855112	0.185736	0.327502
a23	0.0495428	0.0130492	0.0106983	0.0139279	0.0293021	0.030412	0.0467241	0.0589385	0.036185	0.0361529	0.029716	0.0375609	0.0353076	0.0356922	0.0463217	0.0760807	0.15273	0.261658
a99	0.0228008	0.00776245	0.005937	0.00637154	0.0139936	0.0139334	0.024523	0.0340151	0.018244	0.0236829	0.0219421	0.0374787	0.0372087	0.0576512	0.0900472	0.129939	0.197754	0.256716
a3	0.0160058	0.00478869	0.00454264	0.00670685	0.0156078	0.0163995	0.0245912	0.0334547	0.0211338	0.024608	0.0216965	0.0301658	0.0293097	0.0417134	0.0703226	0.119821	0.21249	0.306641
</S>	0.0209728	0.00584304	0.00699516	0.013412	0.0295489	0.033494	0.0461918	0.0624237	0.0422916	0.0390106	0.0302331	0.0349732	0.0328174	0.0306627	0.0391288	0.0704837	0.158373	0.303144
