 	en	ce	temps	là	ma	machine	était	encore	intacte	</S>
a47	0.00377462	0.00389386	0.00652233	0.0131087	0.0276332	0.0786174	0.126228	0.162589	0.225776	0.351856
a36	0.00258593	0.00268353	0.00458081	0.00794703	0.0153442	0.0459722	0.0829222	0.134879	0.244384	0.458702
a2	0.00182592	0.0014521	0.0022874	0.00312394	0.00491263	0.0194921	0.0393695	0.0769724	0.228234	0.62233
a57	0.0180545	0.0125914	0.0153622	0.0154392	0.0187183	0.0525542	0.0879411	0.137524	0.246888	0.394927
a87	0.0880668	0.0470489	0.0530502	0.0447257	0.0472706	0.104773	0.132395	0.147659	0.163718	0.171293
a40	0.172778	0.0972916	0.0931623	0.0687063	0.0626116	0.117865	0.115568	0.0994453	0.0854595	0.0871133
a36	0.102103	0.0536645	0.0553452	0.03922	0.0370806	0.0789142	0.0868338	0.119035	0.159131	0.268673
a11	0.0124468	0.0072919	0.00910267	0.0107223	0.0168299	0.0546484	0.0893156	0.150213	0.245275	0.404154
a54	0.00241395	0.00150412	0.00244125	0.00377221	0.00645639	0.03034	0.072376	0.138852	0.272803	0.469041
a47	0.000476216	0.00042042	0.000937092	0.00169094	0.00284911	0.0140549	0.0344067	0.0871051	0.27958	0.57848
a15	0.000215531	0.00017701	0.000370952	0.00068966	0.00109183	0.00594192	0.0174632	0.0536555	0.228961	0.691434
a7	0.00048125	0.000414797	0.000798137	0.00106819	0.00139303	0.00601705	0.0173614	0.0457717	0.186843	0.739851
a84	0.00117298	0.000910329	0.00123517	0.00127071	0.00131835	0.00448711	0.0137082	0.0358018	0.156396	0.783699
a53	0.0129833	0.00870262	0.0100597	0.00895309	0.00868533	0.0203816	0.0516677	0.0996964	0.228568	0.550302
a69	0.00117821	0.000784901	0.00104056	0.00101394	0.00109927	0.00366609	0.0140794	0.0399104	0.176335	0.760893
a44	0.000575592	0.000423044	0.00063784	0.000691981	0.000726224	0.00256137	0.0100455	0.0319428	0.163237	0.789158
a79	0.000466485	0.000319991	0.000444799	0.000509928	0.000630705	0.00241575	0.0107609	0.0373596	0.181376	0.765716
a7	0.00019536	0.000170751	0.000326142	0.000477199	0.000567302	0.00248134	0.0102987	0.0320572	0.160237	0.793189
a44	0.000751012	0.000580343	0.000826356	0.000895979	0.000833402	0.00237296	0.00996702	0.0332071	0.159303	0.791263
a37	0.00124161	0.000899686	0.00115237	0.00115009	0.00113478	0.00283949	0.0108709	0.0381788	0.186669	0.755863
a66	0.000674684	0.00049873	0.000669787	0.000732378	0.000743571	0.00190828	0.00810126	0.0312692	0.16909	0.786312
a18	0.00821558	0.00633119	0.00677369	0.00539791	0.00446594	0.00842936	0.0218127	0.0533977	0.177688	0.707488
a25	0.0560606	0.0362447	0.0324392	0.0217229	0.0183469	0.0279921	0.0424407	0.0693928	0.169507	0.525853
a87	0.0608777	0.0391257	0.0397382	0.0306911	0.023554	0.033304	0.0495286	0.0771263	0.191242	0.454812
a23	0.130847	0.085282	0.0883785	0.0647547	0.0476183	0.0560108	0.0566359	0.067371	0.135746	0.267357
a87	0.125814	0.0680187	0.060351	0.0497587	0.0396581	0.058792	0.082335	0.103359	0.15624	0.255674
</S>	0.0509973	0.0384486	0.0409055	0.0326813	0.0275757	0.0574244	0.0760266	0.0903059	0.157763	0.427871
