 	le	cabri	broute	l'	herbe	mais	moi	je	ne	mange	pas	les	cabris	</S>
a36	0.00170485	0.00293287	0.00832456	0.0111643	0.027687	0.0566971	0.053349	0.0509787	0.067117	0.0923964	0.0916792	0.13602	0.176555	0.223394
a85	0.00162879	0.00231208	0.00527129	0.00718198	0.0185364	0.0400118	0.0415655	0.0387291	0.0583825	0.0834983	0.09135	0.152159	0.197058	0.262315
a5	0.000983495	0.00129229	0.00408187	0.00641706	0.0179969	0.0377298	0.0337018	0.029134	0.0561482	0.0889129	0.100457	0.161539	0.205491	0.256114
a61	0.00127589	0.0014677	0.00355234	0.00531315	0.0149049	0.029877	0.0281269	0.0298588	0.0628179	0.096908	0.114725	0.186797	0.207611	0.216766
a88	0.00151661	0.00151456	0.00291494	0.00435925	0.0120773	0.0264328	0.0266823	0.0290028	0.0556095	0.0891119	0.108955	0.201843	0.213531	0.226449
a62	0.00178613	0.00169151	0.00324396	0.00538907	0.0161054	0.031764	0.0338805	0.0330075	0.0515291	0.0704155	0.0860428	0.168508	0.206284	0.290353
a21	0.00260374	0.00238917	0.00421409	0.00660941	0.0176482	0.0339696	0.0375398	0.0372844	0.0564261	0.0724943	0.087922	0.163818	0.192602	0.284479
a85	0.00098449	0.000910035	0.00152464	0.00258704	0.00716372	0.0138596	0.0150342	0.0178546	0.0384078	0.0656369	0.0948008	0.19569	0.248495	0.297052
a6	0.000562399	0.000547936	0.00139353	0.00282804	0.0107794	0.0225983	0.019274	0.0164901	0.033719	0.0531314	0.0735147	0.16651	0.246786	0.351866
a37	0.000448052	0.000453436	0.00138307	0.00254838	0.0125878	0.0364077	0.0259466	0.0188722	0.0373488	0.052323	0.0679012	0.152065	0.23456	0.357155
a90	0.00139849	0.00133044	0.00324583	0.0054073	0.0192509	0.0482592	0.0346166	0.0213739	0.0316584	0.0406142	0.0544305	0.136736	0.220329	0.381349
a56	0.00115072	0.00105819	0.00250322	0.00403102	0.014864	0.0422792	0.0305033	0.0214178	0.037421	0.0483422	0.0634613	0.145965	0.225851	0.361152
a43	0.00111738	0.00105411	0.00262468	0.00447099	0.0144721	0.034295	0.0241689	0.0169114	0.0338044	0.043886	0.0566612	0.137426	0.237621	0.391487
a75	0.001593	0.00171061	0.00350212	0.0058123	0.0152047	0.0307252	0.02582	0.0155539	0.0161739	0.0191085	0.0320421	0.110689	0.23193	0.490135
a37	0.00096831	0.00101985	0.00276206	0.0044927	0.011584	0.0243902	0.0176774	0.0123394	0.0178493	0.0256039	0.0395892	0.134342	0.253283	0.454098
a43	0.00203261	0.00217094	0.00512179	0.00841507	0.0196877	0.0337106	0.0257755	0.0145198	0.015425	0.0205038	0.0360433	0.125432	0.239824	0.451338
a21	0.0136348	0.0133737	0.0198965	0.0313636	0.0441706	0.0506268	0.0453113	0.026689	0.0249044	0.0355783	0.0575687	0.127319	0.194985	0.314578
a47	0.00231143	0.00204189	0.0038372	0.00663373	0.0125501	0.0161347	0.0131485	0.00969186	0.0137321	0.0252652	0.0482298	0.142623	0.257006	0.446795
a88	0.00237189	0.00243542	0.00532981	0.00933074	0.0211133	0.0346912	0.0293783	0.0204122	0.0232673	0.0304965	0.0500198	0.12689	0.212036	0.432228
a71	0.00187578	0.00218125	0.00471783	0.00830656	0.0197699	0.0317308	0.0272411	0.0158481	0.0175578	0.0222607	0.0377218	0.115609	0.220615	0.474565
a25	0.0304127	0.0286402	0.0365897	0.0487431	0.064241	0.0711899	0.0582188	0.0331724	0.0320265	0.0408836	0.0581485	0.115984	0.154933	0.226816
a87	0.0227533	0.0181438	0.0215299	0.0272233	0.0358216	0.0408975	0.0369739	0.0279753	0.03177	0.0501559	0.0736328	0.145955	0.195937	0.27123
a23	0.065007	0.0417432	0.0348822	0.0353705	0.0415567	0.0486411	0.0420274	0.0308162	0.0386657	0.0559515	0.0696789	0.119378	0.161213	0.215069
a87	0.0355969	0.0203561	0.0208359	0.018986	0.0284672	0.0448183	0.0368948	0.0290624	0.0401969	0.064794	0.0795269	0.127113	0.187582	0.265769
</S>	0.0139514	0.00816192	0.00851596	0.00818552	0.0150911	0.0265091	0.0214927	0.0173854	0.0250401	0.0473923	0.057229	0.117839	0.227492	0.405714
