 	le	guérisseur	a	cueilli	du	dzoa	pour	soigner	le	malade	</S>
a25	0.00107675	0.00110557	0.00112465	0.00133988	0.00254511	0.00430387	0.00699782	0.0420975	0.174412	0.353115	0.411883
a92	0.00127571	0.00125833	0.00112842	0.00114688	0.00190382	0.00495079	0.0109533	0.0657161	0.177447	0.297704	0.436515
a25	0.00306195	0.00303555	0.00327379	0.00357654	0.00778058	0.0142521	0.0205025	0.0552917	0.151794	0.322501	0.41493
a90	0.000574773	0.000568516	0.000527933	0.000557756	0.00100839	0.00241261	0.00462076	0.0271109	0.112967	0.309719	0.539933
a57	0.00100729	0.00107628	0.00117357	0.00127394	0.00289005	0.00596357	0.00965099	0.0410482	0.128794	0.311335	0.495787
a53	0.000256005	0.000235714	0.00023274	0.000251688	0.000509651	0.00172455	0.00440945	0.0266758	0.10699	0.284424	0.57429
a90	0.000462813	0.000464478	0.000446773	0.000432348	0.00101671	0.00277804	0.00686471	0.0262107	0.0948445	0.276316	0.590163
a56	0.00108342	0.00130142	0.0012671	0.00119956	0.00262543	0.00711809	0.0161636	0.0501718	0.109466	0.268322	0.541282
a70	0.000897273	0.000871952	0.000732857	0.000599349	0.000979183	0.00217118	0.00573141	0.0214074	0.0797022	0.318836	0.568071
a83	0.000589482	0.000599201	0.000603237	0.000575355	0.000829693	0.0015945	0.0034772	0.0145008	0.0805657	0.349391	0.547274
a88	0.000764696	0.0008033	0.000704281	0.000594708	0.00100369	0.00238175	0.00664825	0.0358658	0.121694	0.326938	0.502601
a9	0.00111297	0.00101654	0.000839983	0.000650685	0.0011512	0.00306235	0.0107461	0.0541079	0.143625	0.317613	0.466074
a99	0.00786919	0.00592096	0.00403439	0.00256479	0.00295474	0.00827953	0.0354977	0.108785	0.197947	0.286144	0.340002
a97	0.0184621	0.0135004	0.00764206	0.00488637	0.00414481	0.0126989	0.0415567	0.131373	0.207534	0.25741	0.300792
a87	0.0348843	0.0296908	0.0179385	0.0105116	0.0103652	0.0217904	0.0460792	0.124478	0.175926	0.231852	0.296484
a23	0.0391668	0.034165	0.0211242	0.0136551	0.0209207	0.0357976	0.0489474	0.106663	0.151199	0.226213	0.302149
a99	0.0160102	0.0136208	0.00642536	0.00387082	0.00490106	0.0149304	0.0335587	0.0727449	0.150178	0.272028	0.411732
a87	0.0191095	0.0164857	0.00768685	0.00542948	0.00705313	0.0187164	0.0467425	0.0745425	0.154233	0.251613	0.398388
</S>	0.0169338	0.0155771	0.00798035	0.00591001	0.00606458	0.0149262	0.0338779	0.0565695	0.135534	0.265109	0.441517
