 	il	s'	est	mis	une	amulette	au	cou	pour	se	protéger	de	la	maladie	</S>
a38	0.0370974	0.033303	0.0403804	0.0420912	0.0556647	0.0756216	0.108656	0.125534	0.113673	0.0844386	0.0654929	0.0585293	0.0562138	0.0489003	0.0544041
a41	0.0120927	0.0104582	0.0142105	0.017402	0.0283219	0.0537253	0.100041	0.13119	0.126399	0.0971023	0.0830137	0.0767422	0.0806303	0.0769539	0.0917163
a35	0.00845477	0.00766692	0.0112367	0.0150354	0.0240013	0.0447358	0.0856709	0.11913	0.10963	0.0851777	0.0872796	0.0872768	0.0975331	0.0994489	0.117722
a41	0.00783389	0.00763041	0.0116051	0.0153502	0.0233278	0.0400727	0.069269	0.0951067	0.0902971	0.073533	0.0888322	0.092001	0.114289	0.124933	0.145919
a25	0.00483014	0.00471125	0.00784514	0.0111153	0.0179543	0.0307997	0.0524317	0.0718673	0.0758484	0.0697116	0.0964742	0.104699	0.129966	0.150592	0.171155
a87	0.00982658	0.00842126	0.0113104	0.0133992	0.0222414	0.0418751	0.0750635	0.0977408	0.0898585	0.0723389	0.0823045	0.0857131	0.108219	0.130661	0.151027
a23	0.00637193	0.00627678	0.00647841	0.00779022	0.0122812	0.0231469	0.0513228	0.0582427	0.0731211	0.0827506	0.131057	0.132071	0.146235	0.136596	0.126258
a53	0.00734802	0.00630662	0.00672037	0.0100455	0.0152973	0.0245459	0.0487514	0.0562964	0.0691268	0.082316	0.116452	0.120874	0.139272	0.138373	0.158275
a20	0.0223305	0.0152001	0.0134657	0.013335	0.0178539	0.0237826	0.0432948	0.0593049	0.0606875	0.0648706	0.0877872	0.0919836	0.113826	0.13532	0.236957
a94	0.0195323	0.0143192	0.0132644	0.0137127	0.0189615	0.029428	0.0421827	0.0493694	0.0481009	0.0525337	0.0768719	0.0952441	0.126834	0.163508	0.236138
a58	0.00401079	0.00344684	0.00431699	0.00579297	0.0104732	0.0216841	0.0369157	0.0506121	0.0482614	0.0483707	0.0799584	0.102104	0.147786	0.184398	0.251868
a25	0.00232883	0.00208738	0.00239443	0.00318241	0.00635868	0.0175023	0.0330787	0.0426474	0.0520597	0.0498036	0.0887146	0.109184	0.167438	0.193564	0.229656
a10	0.00146536	0.00123743	0.00148064	0.00208464	0.00380291	0.00921943	0.0192033	0.0226524	0.0308278	0.0337527	0.077897	0.101642	0.173613	0.218862	0.302259
a26	0.00366318	0.00330656	0.00270959	0.0032699	0.00453265	0.00778907	0.013519	0.0173346	0.0270516	0.03161	0.0870475	0.104926	0.188463	0.213652	0.291126
a24	0.00843875	0.00786961	0.00580781	0.00702531	0.00871423	0.0108513	0.0174782	0.0234351	0.0340636	0.0412258	0.10507	0.118885	0.189374	0.192092	0.229669
a66	0.00243525	0.00214405	0.00177711	0.00226562	0.0036044	0.00780069	0.0190947	0.0332088	0.0381608	0.0428624	0.0858976	0.111176	0.173036	0.205319	0.271218
a26	0.000762707	0.000774664	0.000819619	0.00116664	0.00216674	0.00584432	0.0137876	0.0243841	0.0321589	0.0346905	0.0754024	0.099433	0.169606	0.221053	0.317949
a24	0.000875482	0.000885263	0.000935921	0.00142596	0.00273939	0.00655023	0.0138838	0.0233612	0.0297674	0.029484	0.0662104	0.0867214	0.164619	0.226854	0.345686
a25	0.00208714	0.00195102	0.0019385	0.00291099	0.00510196	0.00929178	0.0138809	0.0226799	0.0253752	0.0253071	0.0601468	0.0803436	0.15901	0.226526	0.363449
a87	0.00152185	0.00134283	0.00113578	0.00147982	0.00250302	0.00485526	0.0077153	0.0110156	0.0147889	0.0152821	0.0567325	0.0727884	0.170222	0.23174	0.406876
a23	0.00508528	0.00519627	0.00479598	0.0060849	0.00760804	0.00883292	0.0108604	0.0149984	0.0254827	0.0319275	0.0973552	0.109726	0.1877	0.199959	0.284387
a24	0.0147119	0.0120455	0.00872063	0.00970643	0.0109802	0.0123698	0.0217999	0.0268152	0.0388623	0.0475113	0.092765	0.114004	0.17485	0.194601	0.220257
a66	0.00187392	0.00169251	0.00145867	0.0022464	0.00413827	0.00956805	0.0198327	0.028242	0.031747	0.0313044	0.075754	0.0958119	0.172369	0.21242	0.311542
a54	0.0010145	0.00106343	0.000985731	0.00153277	0.00291564	0.00715509	0.0159658	0.0226086	0.0277178	0.0280212	0.0751676	0.0944984	0.175376	0.219712	0.326266
a30	0.000944935	0.000918149	0.00128515	0.00202688	0.00411242	0.0100394	0.0204385	0.0314535	0.0404593	0.0447432	0.0957472	0.118315	0.16795	0.192079	0.269487
a14	0.000538437	0.000594357	0.000977989	0.00153704	0.0031403	0.00782331	0.0192372	0.0275117	0.0322356	0.0335578	0.077895	0.100429	0.162366	0.212302	0.319854
a30	0.000884657	0.00086572	0.00111548	0.00164886	0.00302865	0.00639247	0.016499	0.0247518	0.0276666	0.0268489	0.0631156	0.0883291	0.16216	0.225145	0.351548
a35	0.0011032	0.00116221	0.00150293	0.00210079	0.00373024	0.00695638	0.0192835	0.0279632	0.0331362	0.0328668	0.0719231	0.0961881	0.169308	0.227254	0.305522
a66	0.000741973	0.000799082	0.00120127	0.00190976	0.00350807	0.00683971	0.017461	0.0221919	0.0259136	0.0262018	0.0670429	0.095637	0.171038	0.226482	0.333033
a38	0.000608501	0.000691941	0.000826392	0.00125451	0.00224664	0.00465493	0.0111156	0.0164156	0.0211199	0.0202685	0.0586351	0.0773237	0.160768	0.227046	0.397025
a54	0.000751754	0.000717599	0.000695666	0.000988925	0.00171635	0.003412	0.00802263	0.0122821	0.0160256	0.0166864	0.052214	0.0709761	0.157385	0.230536	0.42759
a76	0.00082389	0.000709607	0.00101212	0.00165336	0.00287426	0.00561511	0.0108664	0.0144331	0.0171087	0.0181831	0.0504856	0.0731395	0.14673	0.229756	0.426608
a94	0.000705149	0.00064664	0.00103887	0.0018529	0.00348293	0.00744722	0.0133226	0.0163632	0.0167138	0.0180318	0.0475958	0.0728188	0.142821	0.22365	0.43351
a90	0.000967236	0.00085375	0.000997658	0.0016394	0.0031856	0.00727547	0.0122061	0.0196894	0.0194584	0.0162778	0.0385422	0.0548049	0.132683	0.226226	0.465194
a34	0.000495118	0.000425416	0.000565704	0.000959654	0.00203018	0.00567573	0.0109692	0.0172107	0.0178927	0.0187354	0.0391622	0.0576572	0.117691	0.214007	0.496523
a98	0.00127624	0.00106976	0.00125387	0.00181471	0.00343416	0.00777729	0.0149581	0.0237911	0.0229498	0.0230874	0.0426792	0.0618793	0.124195	0.205939	0.463896
a14	0.00141165	0.00107359	0.00122994	0.00179214	0.00371259	0.00925981	0.016408	0.0271156	0.0221286	0.0210674	0.0359643	0.055252	0.113697	0.215966	0.473921
a35	0.00190966	0.00144508	0.00155495	0.00204904	0.0036966	0.00809445	0.0135068	0.0213072	0.0173821	0.0168535	0.0318185	0.0504224	0.10902	0.224893	0.496047
a75	0.00204388	0.00157177	0.00166888	0.00219225	0.00377084	0.00830348	0.0127721	0.0225687	0.0194196	0.0172742	0.0323423	0.0503738	0.113537	0.226706	0.485455
a73	0.00252327	0.00194675	0.00199675	0.00254118	0.00434218	0.00822626	0.0130047	0.0206816	0.0186813	0.0200022	0.0398993	0.0621143	0.127025	0.232187	0.444828
a57	0.00166121	0.00131438	0.00126561	0.00166727	0.00281771	0.00560652	0.00979168	0.0186467	0.0174044	0.0177083	0.0364223	0.0595167	0.13054	0.242051	0.453586
a87	0.00507563	0.0038979	0.00289398	0.00358856	0.00534655	0.00848309	0.00943015	0.0158985	0.0195862	0.0217163	0.0515139	0.0654709	0.138628	0.235124	0.413346
a23	0.0068851	0.00547577	0.00381805	0.004406	0.00649858	0.00901652	0.0130675	0.0223456	0.032545	0.038057	0.0656201	0.091656	0.156566	0.222815	0.321228
a87	0.0248429	0.0202863	0.0138787	0.0132245	0.0149726	0.0179158	0.0278572	0.0324138	0.0415307	0.048702	0.0734306	0.0963298	0.147333	0.184472	0.242809
</S>	0.0143224	0.0108041	0.00779663	0.00878116	0.0105903	0.0133328	0.0199237	0.0311156	0.0439602	0.0497471	0.0881256	0.100606	0.147681	0.182572	0.270642
