 	n'	as-tu	pas	trouvé	un	emploi	depuis	que	tu	es	parti	en	ville	</S>
a56	0.0113318	0.0106307	0.0182247	0.0388156	0.0819644	0.111962	0.121118	0.127346	0.0752842	0.0562097	0.0410002	0.0498026	0.0936532	0.162657
a24	0.00927554	0.00830895	0.0131476	0.0282428	0.0631274	0.0804999	0.103536	0.126499	0.0885285	0.074269	0.0560693	0.0627767	0.106762	0.178957
a47	0.0103605	0.0104478	0.0143634	0.023692	0.0502931	0.089921	0.086788	0.106735	0.0783855	0.0714174	0.0555656	0.0689624	0.127259	0.20581
a31	0.0115178	0.0114523	0.0184344	0.0326525	0.0662268	0.0805751	0.0766178	0.0928642	0.0690228	0.0655228	0.0570595	0.0704115	0.124169	0.223474
a43	0.00668175	0.00643539	0.00947682	0.0199363	0.0487562	0.0876405	0.0844498	0.103227	0.0855602	0.081934	0.078042	0.0864181	0.121053	0.180389
a75	0.00708323	0.00759755	0.0109887	0.019243	0.0435546	0.0782686	0.061751	0.0721209	0.0617446	0.0644784	0.0690966	0.0999815	0.167522	0.236569
a92	0.00216579	0.00173006	0.00224922	0.00508095	0.0116644	0.0220542	0.0282466	0.0550766	0.0555888	0.063321	0.0908433	0.148806	0.225174	0.288
a37	0.00141955	0.00113984	0.0016142	0.00409291	0.00928788	0.0148214	0.0248684	0.0534794	0.0569959	0.0700186	0.109497	0.174535	0.223207	0.255023
a21	0.00231112	0.00208926	0.00303316	0.00608208	0.0139095	0.0196933	0.0183244	0.0268468	0.0249702	0.0319132	0.053144	0.124177	0.264049	0.409457
a5	0.00180872	0.00153958	0.00234723	0.00450702	0.00982419	0.0167913	0.0200125	0.0317393	0.0327723	0.038219	0.0710742	0.14765	0.280941	0.340774
a36	0.00112693	0.000981179	0.00148984	0.0032768	0.00794191	0.013746	0.0139296	0.0202718	0.0191975	0.0228797	0.0476471	0.125071	0.301563	0.420877
a54	0.00324857	0.00268779	0.00330285	0.00531733	0.00954036	0.0111995	0.00867458	0.010993	0.0101212	0.0133448	0.0262286	0.0815156	0.302648	0.511178
a47	0.00182386	0.00134523	0.00143272	0.00259853	0.00468562	0.00719895	0.00763254	0.011219	0.0115975	0.0152431	0.0310334	0.0957992	0.280921	0.527469
a36	0.00137164	0.000971878	0.00105761	0.00200279	0.00359271	0.00445671	0.00626017	0.0103475	0.0114951	0.0162497	0.0348224	0.0921356	0.269966	0.54527
a2	0.00898584	0.00583808	0.00535648	0.00639541	0.00739224	0.00641495	0.00702944	0.00874178	0.0101737	0.0174019	0.0346316	0.093675	0.300219	0.487744
a57	0.0579899	0.0357322	0.0325053	0.0440401	0.0475783	0.0243283	0.0244628	0.0271923	0.0308566	0.0499413	0.0713799	0.100185	0.190575	0.263232
a87	0.088671	0.0415796	0.0328004	0.0388351	0.0378699	0.0285203	0.0401487	0.0504354	0.0520877	0.0646221	0.0787158	0.0920664	0.147329	0.206318
a23	0.0853922	0.0354213	0.0254932	0.025074	0.0208803	0.0121152	0.0432828	0.0723111	0.0746493	0.0865366	0.100923	0.0935103	0.121249	0.203162
a99	0.0331211	0.0177451	0.0128212	0.0139294	0.00848815	0.00365849	0.0116884	0.0209859	0.0281333	0.0474561	0.0675588	0.10565	0.212589	0.416175
a97	0.0274755	0.0156111	0.0169633	0.0242995	0.0130896	0.00914092	0.0238871	0.0329627	0.0351796	0.0504991	0.0778285	0.123146	0.221246	0.328671
</S>	0.00724635	0.0042796	0.00407574	0.00662963	0.00517521	0.0059018	0.0147983	0.0200414	0.0173544	0.0209162	0.0327268	0.0845011	0.246537	0.529817
