 	mon	épouse	a	construit	une	cachette	de	poisson	dans	l'	étang	où	elle	trempe	le	manioc	cru	</S>
a9	0.00178874	0.00154402	0.00228591	0.00524525	0.00844953	0.00871004	0.0187349	0.0207038	0.0208884	0.0241692	0.0480321	0.0490018	0.0690562	0.13485	0.163834	0.1205	0.165898	0.136308
a24	0.00333772	0.00265348	0.00346356	0.00687678	0.0116901	0.012996	0.0269504	0.0241549	0.0250002	0.0248355	0.0385042	0.0378622	0.0623002	0.152695	0.149182	0.123778	0.125635	0.168085
a47	0.00128861	0.000899912	0.00118185	0.0025184	0.0039085	0.00361047	0.00888645	0.00992011	0.0116926	0.0142697	0.0308529	0.0339899	0.0595243	0.125896	0.136649	0.131972	0.188257	0.234682
a88	0.0022247	0.00183056	0.00247779	0.00461584	0.00647509	0.00652953	0.0129875	0.0145706	0.0161637	0.0202867	0.0364273	0.0411279	0.0503456	0.0839504	0.0916711	0.105293	0.213035	0.289987
a70	0.00080616	0.000685297	0.000837499	0.00162712	0.00236274	0.00224672	0.00463662	0.00536366	0.00612784	0.00786891	0.0149992	0.0155909	0.0205916	0.0503252	0.060676	0.0638548	0.232049	0.509351
a13	0.00117612	0.00100983	0.00125343	0.00226491	0.00303304	0.00301074	0.00644975	0.00741393	0.00880153	0.0124578	0.0225925	0.0266252	0.0318764	0.0571441	0.0597539	0.0754963	0.228868	0.450772
a93	0.000485092	0.000409675	0.000564726	0.00132428	0.0021249	0.00191297	0.0040072	0.00425393	0.00496033	0.00586756	0.0105974	0.0102368	0.0153069	0.0463374	0.0500146	0.0561987	0.2657	0.519698
a25	0.000308622	0.000254169	0.000360348	0.000790315	0.00119675	0.00107155	0.00243424	0.00277997	0.00324071	0.00426375	0.00834318	0.00947373	0.0138979	0.0346083	0.0375679	0.0555083	0.224443	0.599458
a90	0.000137997	9.12789e-05	0.000112704	0.000208463	0.000322621	0.000329811	0.00072754	0.000846301	0.000999397	0.00132151	0.00260652	0.0032232	0.00577127	0.0188129	0.0226695	0.035356	0.212148	0.694315
a25	0.000140159	0.000101972	0.000121795	0.000199712	0.000288637	0.000252712	0.000512454	0.000614123	0.000709629	0.000934899	0.00186617	0.00273027	0.00512696	0.0142418	0.0188435	0.0377651	0.227324	0.688227
a92	5.65863e-05	3.41782e-05	3.34281e-05	5.14111e-05	7.64179e-05	7.33164e-05	0.000136435	0.000168887	0.000204263	0.000304415	0.000677087	0.00121287	0.00291348	0.00917929	0.0131159	0.0280177	0.156364	0.78738
a56	0.000136183	9.97255e-05	0.000104561	0.000150197	0.000196337	0.00015772	0.000329347	0.000380046	0.000552353	0.000927222	0.00211232	0.0037972	0.00693	0.0144069	0.0233528	0.0416582	0.20424	0.700469
a96	6.88945e-05	5.43669e-05	7.89115e-05	0.000148571	0.00020169	0.000156625	0.000353317	0.000447517	0.000544416	0.000789708	0.00174536	0.00290979	0.00488868	0.0112424	0.017227	0.0334239	0.17198	0.753738
a94	5.25009e-05	3.73659e-05	5.3511e-05	0.000121939	0.000184733	0.000143941	0.000316677	0.000392614	0.000443142	0.000559119	0.00124964	0.00177655	0.00287036	0.00712878	0.0101582	0.0146647	0.116045	0.843801
a4	7.62353e-05	5.62245e-05	8.15973e-05	0.000187601	0.000293425	0.000236787	0.000477312	0.000574596	0.000621396	0.000743276	0.0015771	0.00207166	0.00320396	0.00788323	0.0105329	0.0139997	0.108495	0.848888
a57	9.77285e-05	6.8874e-05	0.000110203	0.000279969	0.000461379	0.000412406	0.0006888	0.000801207	0.000792272	0.000764781	0.00150681	0.00158355	0.00274666	0.00910049	0.0145957	0.0149458	0.142977	0.808067
a3	0.00150523	0.00107432	0.00106979	0.00157525	0.00215212	0.00195715	0.00350066	0.00408553	0.00483965	0.00543903	0.0093564	0.0111447	0.0153598	0.0321138	0.0425146	0.0374003	0.270448	0.554464
a87	0.0213175	0.0133845	0.00996749	0.00864367	0.00851816	0.00665869	0.00943745	0.0121642	0.0141732	0.0165055	0.0244651	0.0306245	0.0428476	0.0747645	0.0601534	0.0774043	0.294475	0.274496
a23	0.101317	0.0636858	0.0366021	0.0255808	0.0251845	0.0178409	0.018491	0.0276771	0.0247443	0.0241447	0.0282578	0.0325594	0.0428095	0.0548611	0.0589462	0.0900715	0.172615	0.154612
a87	0.0356879	0.0185459	0.0077657	0.00384348	0.00404349	0.00321167	0.00277111	0.00555846	0.00418016	0.00372278	0.00420092	0.00395443	0.00588686	0.0121992	0.0162075	0.0376125	0.218752	0.611856
</S>	0.00942221	0.00490833	0.0023524	0.00139476	0.00142253	0.00100658	0.00103404	0.00199551	0.00194859	0.00214183	0.00353962	0.00486368	0.00828998	0.0137618	0.02208	0.0426738	0.165702	0.711463
