 	celui	qui	a	avalé	ma	poule	c'	est	pas	le	crocodile	c'	est	le	python	</S>
a37	0.00174539	0.00131779	0.00193378	0.00818204	0.0137002	0.0308366	0.065693	0.070525	0.073332	0.0713913	0.0761766	0.0919288	0.0794938	0.106836	0.143604	0.163304
a75	0.00490355	0.00374559	0.00416926	0.0118002	0.0173865	0.0315732	0.0685716	0.0756823	0.0779174	0.0719935	0.0813568	0.0951457	0.074407	0.0967326	0.133662	0.150953
a85	0.00211061	0.00155815	0.00197232	0.00601192	0.0090818	0.018034	0.0403784	0.0544537	0.0714537	0.0806397	0.0868536	0.0888083	0.0854993	0.116017	0.166799	0.170329
a6	0.000987497	0.000785854	0.00111496	0.00550832	0.00921831	0.0192662	0.0365522	0.0403419	0.0495881	0.0577952	0.0628505	0.070325	0.0718424	0.115191	0.203313	0.25532
a85	0.00107021	0.000778803	0.000999096	0.00363498	0.00645035	0.0149208	0.0394902	0.0535572	0.0725743	0.085499	0.0978812	0.107108	0.0972799	0.121591	0.161508	0.135657
a37	0.000799412	0.00060585	0.000743904	0.00319588	0.00518321	0.01214	0.0277849	0.0373601	0.05347	0.0669953	0.0792658	0.0963962	0.0864274	0.12587	0.201469	0.202293
a36	0.00265433	0.00192953	0.00208438	0.00549986	0.00686505	0.0150387	0.0341618	0.0438751	0.0576302	0.0717972	0.0896593	0.110817	0.0923199	0.128349	0.181303	0.156015
a61	0.0138488	0.0114904	0.00982236	0.0229626	0.0197631	0.0324939	0.0435932	0.049529	0.0580106	0.0633299	0.0753	0.0898964	0.0687565	0.0990668	0.160639	0.181498
a18	0.00272436	0.00202988	0.00196452	0.00567167	0.00732935	0.0166919	0.0322809	0.0414496	0.0530072	0.0632419	0.0801894	0.101868	0.0870263	0.12014	0.190477	0.193907
a75	0.00756957	0.00713769	0.00771324	0.0203717	0.0170206	0.0360346	0.047494	0.0497974	0.057352	0.0708054	0.0869411	0.102923	0.0737893	0.099253	0.1428	0.172997
a47	0.00200746	0.00155684	0.00156716	0.0055329	0.00485172	0.0110427	0.0203473	0.0244303	0.0345002	0.0500949	0.0807299	0.0996554	0.0844029	0.118444	0.203809	0.257028
a36	0.00228733	0.00170202	0.00161822	0.00572111	0.0048657	0.0119595	0.0219741	0.0260289	0.0371391	0.0536341	0.077932	0.0954653	0.076853	0.113792	0.195804	0.273224
a2	0.00582002	0.00479378	0.00449137	0.0131071	0.00995926	0.0206283	0.0275074	0.028804	0.0398061	0.0585116	0.0871624	0.0964831	0.0814719	0.107813	0.173619	0.240022
a57	0.0393747	0.0442616	0.049486	0.0903314	0.0683063	0.0856639	0.072345	0.0518402	0.0489216	0.0550355	0.0592203	0.062186	0.0530398	0.0619975	0.0742571	0.083733
a87	0.0743786	0.0511984	0.0409407	0.0720628	0.0564013	0.0652321	0.0558401	0.0443028	0.04413	0.0529459	0.0606441	0.0687361	0.0645534	0.07406	0.0909645	0.0836091
a40	0.0638149	0.0432747	0.0302938	0.0489495	0.0301024	0.0412588	0.0405244	0.0361261	0.0396785	0.0518855	0.0698744	0.0872457	0.087314	0.0969927	0.123368	0.109296
a6	0.0224694	0.0146518	0.00948054	0.0218621	0.0183049	0.0276095	0.0294059	0.0324712	0.0464892	0.0645297	0.102477	0.109896	0.117549	0.11559	0.133467	0.133747
a36	0.000679966	0.000746948	0.0012241	0.00593051	0.00524138	0.0147962	0.0238989	0.0277478	0.0352709	0.0472515	0.0641867	0.0743769	0.082255	0.125961	0.20429	0.286142
a61	0.000256913	0.000295992	0.000500666	0.00183733	0.00174328	0.00443517	0.00915817	0.0152535	0.027972	0.0468961	0.0672423	0.0688052	0.0715953	0.121784	0.224709	0.337515
a18	0.000817739	0.000808022	0.00100413	0.00299324	0.00265811	0.00616359	0.0100365	0.0157026	0.0281115	0.0438486	0.0566136	0.0604364	0.0713097	0.119993	0.22826	0.351243
a53	0.00169297	0.00131918	0.00114937	0.0030562	0.00274736	0.00664196	0.0123093	0.0173754	0.0288152	0.0479345	0.074369	0.0775421	0.0774833	0.125161	0.218182	0.304222
a69	0.000872211	0.000674724	0.000696531	0.00173178	0.001913	0.00435586	0.00784505	0.0117563	0.0208462	0.033899	0.0535009	0.0542387	0.0616123	0.115179	0.218239	0.41264
a94	0.000279269	0.000226859	0.000260517	0.000996444	0.00120523	0.00297781	0.0059898	0.00945233	0.0169137	0.0297942	0.0480883	0.0541118	0.0528268	0.106304	0.227869	0.442703
a57	0.000286395	0.00021318	0.000235588	0.000883069	0.000921238	0.00278246	0.0056268	0.0078549	0.0139332	0.0258389	0.0453601	0.0536727	0.0534625	0.105797	0.229701	0.453431
a82	0.00340001	0.00288628	0.00279655	0.00714281	0.00572898	0.0136997	0.0210946	0.0240431	0.0310516	0.045456	0.060261	0.075945	0.0652361	0.111279	0.209005	0.320974
a87	0.031646	0.0268166	0.0270712	0.0387438	0.0287055	0.0399863	0.0388099	0.0322807	0.033039	0.0425749	0.0525684	0.0701716	0.0662314	0.102894	0.171186	0.197275
a23	0.0872919	0.0473187	0.0344316	0.0444788	0.0360538	0.0376711	0.0362379	0.0322846	0.0364338	0.0498029	0.0644937	0.0742758	0.0773148	0.094039	0.12586	0.122012
a87	0.0126748	0.00693662	0.00417765	0.00525379	0.00466618	0.00630456	0.010163	0.0144806	0.0272666	0.0498548	0.0917775	0.12625	0.128941	0.147007	0.185067	0.179179
</S>	0.0140196	0.00755362	0.0041749	0.00677948	0.00450298	0.00650096	0.00867627	0.00990238	0.0154612	0.0261209	0.0511758	0.0847196	0.0832929	0.123909	0.226002	0.327208
