 	le	soldat	qui	est	en	train	de	frapper	la	vieille	femme	dans	le	marché	n'	est	pas	miséricordieux	</S>
a76	0.00776347	0.00645559	0.0113049	0.0220326	0.0410192	0.0428947	0.0452868	0.053519	0.1091	0.120539	0.101397	0.0934865	0.0819792	0.08555	0.0580065	0.0419146	0.0286285	0.0215495	0.0275729
a41	0.0125994	0.0107658	0.0196035	0.0248524	0.0365914	0.0383426	0.0410971	0.0504319	0.0892071	0.0949259	0.0950827	0.0823097	0.0832276	0.0740858	0.0618191	0.0508721	0.045026	0.0348554	0.0543044
a44	0.0144206	0.0137211	0.0212033	0.0277445	0.0489462	0.0570576	0.0604504	0.0601476	0.0881263	0.0779834	0.0731218	0.0633997	0.0626915	0.0590038	0.0522739	0.0512359	0.0535443	0.0397189	0.0752089
a13	0.00760155	0.00716295	0.00969011	0.0127073	0.0246655	0.0371669	0.0527301	0.0576486	0.0822574	0.0836777	0.0952367	0.0867809	0.087782	0.0875296	0.075471	0.0700758	0.0529514	0.028432	0.0404325
a75	0.00259315	0.00218418	0.00328921	0.00475474	0.0121105	0.023114	0.0402817	0.0542971	0.0681911	0.0824324	0.0921828	0.0845552	0.0851087	0.0864213	0.0834373	0.0803834	0.0654375	0.0525312	0.0766945
a5	0.00889565	0.00861005	0.0101304	0.00957701	0.0129198	0.0172525	0.0283815	0.040033	0.0559873	0.0718233	0.107497	0.107083	0.109039	0.100815	0.0833336	0.0701766	0.0531859	0.0418631	0.0633962
a21	0.00639613	0.00550505	0.00667113	0.00666891	0.00922346	0.0118686	0.0179608	0.0286812	0.0488238	0.0597502	0.0997579	0.11217	0.13424	0.127537	0.113959	0.0977538	0.0521886	0.025174	0.0356706
a66	0.00850643	0.00765814	0.0092159	0.00956451	0.011569	0.013015	0.0190516	0.0315659	0.0579656	0.0711339	0.106474	0.116079	0.132833	0.123833	0.102499	0.0885953	0.0454689	0.0223435	0.0226269
a83	0.00137561	0.00111395	0.00133849	0.0015104	0.00288427	0.00475886	0.00848856	0.0185233	0.0288204	0.0493822	0.0833689	0.108271	0.109742	0.124284	0.140275	0.11296	0.0906415	0.0464717	0.0657906
a93	0.00181854	0.00138657	0.00149693	0.00153831	0.00272854	0.00447254	0.0075698	0.0157928	0.0257645	0.0487353	0.0917082	0.116232	0.125398	0.125263	0.130486	0.110616	0.0790373	0.051637	0.0583178
a96	0.00159762	0.00116949	0.00127478	0.00141782	0.00251152	0.00404	0.00682522	0.0144375	0.0241378	0.0488228	0.0906983	0.111934	0.119372	0.120729	0.131235	0.109689	0.0820205	0.0602609	0.0678265
a62	0.00173041	0.00129883	0.00135962	0.00134153	0.00218611	0.00342696	0.00560632	0.0130838	0.0222458	0.0445772	0.0837374	0.102767	0.109481	0.105584	0.116171	0.100787	0.100368	0.0916779	0.0925709
a70	0.00230147	0.00190148	0.00212759	0.00210443	0.003142	0.00446711	0.00709985	0.0162048	0.0307336	0.051999	0.0764304	0.0948163	0.104689	0.108053	0.112125	0.0998514	0.109053	0.096805	0.0760963
a34	0.00205741	0.00147874	0.00138239	0.00125941	0.00197987	0.00324296	0.00540569	0.0130613	0.0251184	0.0477952	0.0775325	0.0949244	0.0974573	0.0976006	0.0935536	0.0761738	0.0921936	0.153109	0.114674
a0	0.00234139	0.00174556	0.00179257	0.00179529	0.00279032	0.0042055	0.00664622	0.0150046	0.0265897	0.0504217	0.0876259	0.108957	0.111387	0.104871	0.0955753	0.0866481	0.109896	0.10534	0.0763672
a75	0.00186856	0.00144613	0.00125049	0.000953506	0.00132406	0.00203213	0.00318006	0.00795605	0.0162727	0.0349151	0.0621507	0.0783497	0.0754996	0.0757621	0.0714223	0.0593799	0.0922145	0.230908	0.183114
a5	0.00420046	0.0026729	0.00292585	0.00335796	0.00465392	0.0057201	0.00796715	0.0159235	0.0326657	0.0658458	0.0906941	0.0863909	0.0793863	0.0843815	0.0677054	0.0557137	0.0878172	0.115216	0.186761
a66	0.00444201	0.00364873	0.00340923	0.00258831	0.00315413	0.00432591	0.00669375	0.0165115	0.03126	0.0666442	0.0863773	0.0925102	0.0861782	0.0877985	0.0749811	0.0722342	0.112073	0.122221	0.122949
a11	0.00136623	0.00105823	0.00103219	0.000825151	0.0011037	0.00148636	0.0022122	0.00461669	0.00928291	0.0219679	0.0396338	0.0497908	0.0459552	0.0556034	0.0512043	0.038265	0.0678487	0.303453	0.303294
a75	0.00110197	0.000844627	0.000769	0.000553108	0.000685419	0.000858316	0.00122266	0.00239245	0.00491442	0.0119565	0.0247612	0.0327043	0.0302908	0.0357763	0.0350441	0.027851	0.0558077	0.349054	0.383412
a5	0.0025932	0.00184834	0.00198074	0.00207743	0.00277341	0.00346362	0.00516801	0.0109253	0.0223853	0.0428571	0.0524679	0.0535826	0.0451969	0.051414	0.0465954	0.0404329	0.0855886	0.203256	0.325393
a96	0.00218	0.0016715	0.00158618	0.00118468	0.00135887	0.00173483	0.00263278	0.00647715	0.0132175	0.0305666	0.0431035	0.0477306	0.046085	0.0486489	0.0427647	0.0389891	0.0758788	0.258092	0.336097
a61	0.00122215	0.00101828	0.00103721	0.000717885	0.000821402	0.00102217	0.00144402	0.00313711	0.00674079	0.0155991	0.0254078	0.028858	0.0290875	0.0284583	0.0272112	0.0253651	0.0569497	0.285039	0.460864
a47	0.000657276	0.000500598	0.000426958	0.000273966	0.000310628	0.00037376	0.000538899	0.00109807	0.00253119	0.00640445	0.0121266	0.0147533	0.0146069	0.016039	0.0154999	0.013732	0.0344014	0.310175	0.55555
a93	0.000711559	0.000553665	0.000452341	0.000283025	0.000336304	0.000436543	0.000697145	0.00150893	0.00343924	0.00878557	0.0139351	0.0168151	0.0170076	0.0209796	0.0203795	0.0171801	0.0374333	0.319041	0.520024
a13	0.000465791	0.000401272	0.00036421	0.000276554	0.000365159	0.000496921	0.000739183	0.00164828	0.00384964	0.00863547	0.0160663	0.0198077	0.0199999	0.0205844	0.0214232	0.0207501	0.0422485	0.27336	0.548518
a93	0.000388321	0.000335482	0.000278756	0.000162229	0.000194846	0.000234791	0.000397818	0.000700956	0.00125964	0.00305332	0.00484186	0.00633923	0.007124	0.00945158	0.0117215	0.0103212	0.0253596	0.297514	0.62032
a56	0.00021424	0.000202911	0.000219491	0.00018759	0.000262669	0.000350157	0.000540583	0.00110565	0.00227122	0.00518468	0.00891315	0.0109168	0.0104942	0.0109704	0.0132311	0.0126668	0.0292621	0.235398	0.657609
a66	0.000262023	0.000235593	0.000250758	0.00020742	0.000285973	0.000368315	0.00058072	0.00108688	0.00206527	0.00414365	0.00586287	0.00648533	0.0067428	0.00714339	0.00952547	0.00900191	0.0223708	0.216904	0.706477
a62	0.00112989	0.000876238	0.000657629	0.000417172	0.00051718	0.000523765	0.000799058	0.00100284	0.00144969	0.00299732	0.00398002	0.00435938	0.0046749	0.00602844	0.00797451	0.00683925	0.0173562	0.236105	0.702311
a83	0.00106704	0.000975235	0.000785321	0.00046762	0.000555021	0.000611974	0.000924173	0.00124403	0.00176019	0.00323573	0.00443846	0.00466138	0.00553437	0.00606767	0.00842938	0.00820955	0.0193105	0.239165	0.692557
a38	0.000865832	0.000875913	0.000744648	0.0004303	0.000502181	0.000523071	0.000814582	0.00113168	0.00142026	0.00275002	0.00380536	0.00426279	0.00466097	0.00563163	0.0084945	0.00851237	0.0233807	0.266311	0.664882
a75	0.00117599	0.0011296	0.00104043	0.000657567	0.000759753	0.000677201	0.00101137	0.00132715	0.00184536	0.00311296	0.00378087	0.00411347	0.00419914	0.00542262	0.00827526	0.00743527	0.0213792	0.208643	0.724014
a5	0.00031841	0.000246033	0.000220189	0.000145083	0.000171655	0.000201369	0.000331663	0.000688381	0.00133989	0.0028213	0.00316919	0.00302467	0.0030474	0.00318525	0.00487731	0.00458504	0.017416	0.240181	0.71403
a96	0.00040981	0.000383465	0.000384082	0.000281081	0.000355501	0.000387618	0.000592598	0.000989173	0.00172207	0.00303463	0.0030997	0.00285934	0.00297677	0.00297373	0.00431692	0.00429568	0.012782	0.152514	0.805642
a50	0.000474421	0.000430749	0.000360267	0.000260122	0.000356116	0.000412412	0.000587493	0.000807062	0.0010796	0.00198816	0.00240151	0.00186575	0.0020007	0.00173899	0.00236478	0.00262367	0.00855339	0.186265	0.78543
a83	0.000884014	0.000814151	0.000670905	0.000472274	0.000611891	0.000656535	0.000877871	0.00114178	0.00150956	0.00228865	0.00270844	0.00208047	0.00234119	0.00201604	0.00291615	0.00329983	0.00976989	0.13659	0.82835
a9	0.000450683	0.00042349	0.000369024	0.000250718	0.000310144	0.000318712	0.000440448	0.000640754	0.000901451	0.00164312	0.00208226	0.0017826	0.0019375	0.00200345	0.0029333	0.0027562	0.00773398	0.145922	0.8271
a38	0.00898906	0.00773006	0.00754935	0.00640353	0.00754326	0.00691664	0.00718451	0.00783963	0.00868742	0.0118426	0.0117486	0.00932331	0.00791491	0.00762083	0.00857373	0.00906421	0.0264877	0.234334	0.604246
a54	0.0109313	0.00848005	0.00668552	0.00571078	0.00602675	0.0053179	0.00570484	0.00557582	0.00702651	0.00851231	0.00614797	0.00444194	0.00417441	0.00373115	0.00409502	0.0046208	0.0153817	0.270586	0.616849
a6	0.00150569	0.00133624	0.00128635	0.00114019	0.0014356	0.00146427	0.00192476	0.00239528	0.00403682	0.00590941	0.00596442	0.00376014	0.00304519	0.00277131	0.00381981	0.00354368	0.0168149	0.282592	0.655254
a36	0.000191724	0.000148131	0.000147242	0.000140793	0.000207616	0.000240914	0.000377039	0.000633622	0.00136484	0.00280609	0.00364529	0.0034275	0.00314154	0.00298967	0.00537286	0.00534087	0.0231853	0.299449	0.64719
a2	8.3636e-05	8.07471e-05	8.26077e-05	8.17922e-05	0.000134524	0.000153446	0.000216224	0.000288747	0.000500115	0.00108849	0.00126538	0.001019	0.000818933	0.000743489	0.00100088	0.00103604	0.00482892	0.175847	0.81073
a57	0.0150602	0.0131313	0.0106379	0.00825813	0.0084007	0.0075258	0.00801393	0.00903179	0.0107613	0.0182198	0.0171344	0.0145312	0.0121378	0.0107324	0.0105756	0.0133704	0.0373533	0.275231	0.499893
a87	0.0764089	0.088816	0.070148	0.055916	0.0528963	0.0440954	0.045388	0.0374655	0.0258789	0.0209324	0.014993	0.0109972	0.0115717	0.0109546	0.0124333	0.0233415	0.0525047	0.136457	0.208802
a23	0.0946753	0.125323	0.100534	0.0810608	0.0773129	0.0576866	0.0566976	0.0394884	0.0266351	0.0214695	0.0130577	0.00982566	0.01047	0.0117423	0.0177405	0.0311649	0.0369206	0.0671756	0.121019
a87	0.037727	0.0484911	0.0529493	0.0435992	0.0447692	0.0404247	0.0507611	0.0570669	0.0583313	0.0465134	0.025125	0.0130216	0.0135309	0.013024	0.0177417	0.0242574	0.0354633	0.118176	0.259027
a23	0.00926636	0.0120015	0.0133615	0.0112001	0.0136353	0.014	0.0212106	0.0205549	0.0235704	0.0219676	0.0145161	0.00760914	0.00695377	0.00717922	0.00811495	0.0100192	0.0169036	0.166291	0.601645
a87	0.01525	0.0199717	0.0245832	0.0230427	0.024036	0.0217966	0.0274714	0.0282844	0.0325686	0.0323282	0.0254118	0.0122357	0.0111554	0.00997393	0.0137524	0.0189639	0.0315656	0.197674	0.429935
a23	0.0115815	0.0149891	0.0180462	0.0112304	0.0113295	0.0127396	0.0181768	0.0190098	0.0193083	0.0237523	0.0177749	0.00810595	0.00745019	0.00617681	0.00814146	0.0105679	0.0222056	0.198975	0.560438
a87	0.0131236	0.0170316	0.022552	0.0185056	0.0174396	0.0163605	0.0202841	0.0211501	0.0208398	0.0271451	0.0240389	0.011194	0.0105671	0.00792824	0.0127476	0.0196534	0.0376005	0.232889	0.44895
</S>	0.0119954	0.0149108	0.017311	0.0109339	0.0102547	0.0105095	0.0125714	0.0117705	0.00996237	0.0134539	0.0117395	0.00538256	0.00478503	0.00358774	0.00461769	0.00625604	0.015453	0.177079	0.647426
