 	il	n'	a	pas	répondu	quand	je	l'	ai	appelé	</S>
a11	0.00506858	0.0049952	0.00907687	0.0166395	0.018576	0.0652176	0.148802	0.168509	0.155321	0.190573	0.217222
a96	0.0062983	0.00562858	0.00886929	0.0136915	0.013627	0.0356079	0.0925756	0.122165	0.121807	0.210711	0.369018
a70	0.00381118	0.0037705	0.00584693	0.00897909	0.0103013	0.0265661	0.0698606	0.102499	0.116902	0.235568	0.415895
a34	0.00239137	0.00233886	0.00357727	0.00539386	0.00626468	0.0152504	0.0429227	0.0764596	0.107827	0.273237	0.464338
a79	0.00167814	0.00198603	0.00340781	0.00597984	0.00682335	0.0179438	0.0464218	0.0871076	0.119788	0.266352	0.442512
a37	0.00253019	0.00315274	0.00599629	0.0107108	0.00873328	0.0251403	0.0631497	0.117322	0.155361	0.262746	0.345158
a44	0.0009256	0.00092175	0.00141961	0.0020897	0.00193708	0.00515409	0.0139169	0.0376209	0.0851913	0.33445	0.516373
a13	0.00105605	0.00115709	0.00170973	0.00262457	0.00217615	0.00684225	0.0177077	0.0462358	0.0990565	0.326768	0.494666
a62	0.000849799	0.000958109	0.00140258	0.00206157	0.00171136	0.00453674	0.0113639	0.0337799	0.0846503	0.324709	0.533977
a12	0.000601962	0.000609061	0.000902444	0.00122534	0.00133261	0.0033332	0.00897081	0.0255849	0.0621983	0.286362	0.608879
a54	0.000558812	0.000595398	0.000895164	0.00119976	0.00126087	0.0028932	0.00786228	0.0236747	0.056392	0.264879	0.639788
a44	0.00074177	0.000820098	0.00148983	0.00259562	0.00150402	0.00495526	0.0125423	0.0345365	0.0815602	0.287435	0.57182
a58	0.000257173	0.00029413	0.00049095	0.000916908	0.000604945	0.0024348	0.00708737	0.0238498	0.0552949	0.244772	0.663997
a84	0.000219353	0.000255918	0.000354267	0.000534543	0.000462453	0.00160159	0.00436288	0.018012	0.0551784	0.259828	0.659191
a82	0.00828935	0.00688228	0.00577283	0.00474541	0.00434179	0.00853586	0.0130315	0.0289454	0.0663624	0.259309	0.593785
a87	0.124572	0.0698765	0.0513405	0.0341895	0.0289576	0.0286682	0.0287113	0.0479101	0.0852387	0.188043	0.312493
a97	0.28421	0.164951	0.117421	0.0703253	0.0310625	0.019492	0.018267	0.0369134	0.0663687	0.09724	0.0937488
a23	0.198635	0.144787	0.110869	0.0857814	0.052636	0.0413638	0.0480134	0.0715037	0.0865346	0.0877523	0.0721237
a87	0.150546	0.119709	0.0981012	0.064599	0.069736	0.0547689	0.0555808	0.0923982	0.101061	0.101363	0.0921383
a23	0.0912726	0.087762	0.0893004	0.0703611	0.0770499	0.0711449	0.0700471	0.103007	0.111835	0.117192	0.111028
a87	0.110678	0.0908271	0.0842938	0.0601335	0.0700033	0.0734758	0.0765466	0.112229	0.115505	0.106687	0.0996217
a23	0.103593	0.104702	0.10182	0.0723055	0.073258	0.0834311	0.0750213	0.0966661	0.0964497	0.0993016	0.0934505
a97	0.116787	0.0995008	0.0917349	0.0647994	0.0662297	0.0750027	0.0783937	0.11086	0.113845	0.0971168	0.0857308
a10	0.0944279	0.0770443	0.0795106	0.0629255	0.0613187	0.100267	0.0896798	0.111353	0.102051	0.107887	0.113536
</S>	0.0889277	0.0888465	0.0936027	0.0738906	0.0846472	0.108412	0.0896259	0.106887	0.0863421	0.0867584	0.092059
