 	la	nuit	quand	le	village	est	obscur	les	gens	ont	peur	de	se	promener	</S>
a71	0.0785835	0.0906987	0.11366	0.145828	0.131681	0.127415	0.153779	0.0496667	0.0286427	0.0168054	0.0116357	0.0083032	0.00796969	0.0141638	0.021167
a9	0.0648734	0.0862323	0.118695	0.164501	0.160294	0.126649	0.115183	0.0482078	0.0310913	0.0183675	0.0118313	0.00784592	0.00766804	0.0147129	0.0238471
a38	0.0524793	0.0734911	0.0992092	0.169796	0.169222	0.108836	0.10176	0.0536598	0.0398001	0.0261132	0.0176004	0.0141556	0.0143032	0.0244089	0.0351655
a31	0.0525947	0.0735095	0.104536	0.143016	0.149275	0.100078	0.0772842	0.0601594	0.0480406	0.0294462	0.020991	0.0168177	0.0199834	0.0399822	0.0642872
a88	0.0358337	0.0560092	0.0861146	0.127332	0.1356	0.12276	0.134632	0.0826044	0.060963	0.0367361	0.0256033	0.0158354	0.0140022	0.0257659	0.0402083
a71	0.0253325	0.0422982	0.0778416	0.139129	0.160307	0.127103	0.124909	0.0862433	0.0669681	0.0413197	0.0264768	0.0146167	0.0119434	0.0215866	0.0339245
a9	0.0295282	0.0443905	0.0797989	0.150592	0.175993	0.117634	0.100128	0.0734463	0.0635607	0.0427604	0.028025	0.0157635	0.0135454	0.0245843	0.0402497
a54	0.0221375	0.0333974	0.064871	0.131592	0.151738	0.101979	0.088262	0.0835294	0.0797193	0.0585138	0.0440135	0.026752	0.0228833	0.0403756	0.0502357
a98	0.00519059	0.00798551	0.0190224	0.0485876	0.0696618	0.0499323	0.0537955	0.0540376	0.0478753	0.0409377	0.04422	0.0438134	0.0675265	0.17185	0.275563
a5	0.00932212	0.0195663	0.0466519	0.0842008	0.103304	0.0849134	0.0569563	0.082221	0.0749298	0.0674894	0.060067	0.0437083	0.0478695	0.0895285	0.129272
a96	0.018461	0.0325162	0.061863	0.0809588	0.0918592	0.0871952	0.0727257	0.0892771	0.0797273	0.0669463	0.0542378	0.0425811	0.0435841	0.0687676	0.1093
a62	0.0131175	0.0245679	0.0563235	0.0854657	0.101318	0.0893231	0.0670749	0.0788963	0.0756974	0.0638796	0.0557565	0.0498234	0.0522963	0.0799132	0.106547
a12	0.0111935	0.0199768	0.0490692	0.0889427	0.110643	0.0914698	0.0677319	0.0818275	0.0789961	0.0676507	0.0615677	0.0576247	0.0575142	0.0727532	0.0830389
a96	0.00703575	0.0115763	0.0274372	0.0488323	0.0626083	0.0533578	0.0504144	0.0691487	0.0687642	0.0635771	0.0677307	0.0775377	0.0969414	0.132725	0.162313
a98	0.0058305	0.00900563	0.0234921	0.061676	0.0887258	0.0618401	0.0496203	0.0633264	0.0616038	0.0549361	0.0595002	0.078015	0.106554	0.132073	0.143801
a85	0.00303634	0.0050089	0.0119286	0.0268347	0.0374542	0.0280401	0.0242215	0.0508768	0.0527496	0.057037	0.0645626	0.0636801	0.0826115	0.169079	0.32288
a47	0.00212792	0.00320621	0.00910116	0.0217191	0.0330879	0.0205565	0.0131596	0.0334324	0.0349232	0.0414095	0.051805	0.0576463	0.0955721	0.192981	0.389272
a36	0.00157967	0.00187204	0.00440304	0.0119296	0.0203269	0.00899361	0.00615319	0.019824	0.0224379	0.0312553	0.0506868	0.0726825	0.129825	0.199832	0.418199
a7	0.00370112	0.00338276	0.00564058	0.0144585	0.0229791	0.00900336	0.00556832	0.012098	0.0130722	0.0169022	0.0336262	0.0611106	0.123076	0.198683	0.476699
a90	0.00157544	0.00130676	0.00181383	0.00480637	0.00734362	0.00279108	0.00238339	0.0054016	0.00618183	0.00851665	0.0189166	0.0462441	0.120355	0.21689	0.555473
a98	0.000306535	0.000278669	0.000525529	0.00161129	0.00277645	0.001072	0.000766927	0.00320441	0.00399595	0.00596181	0.0128721	0.0313108	0.117533	0.244887	0.572898
a6	0.000280755	0.000264103	0.000477066	0.00153417	0.00248985	0.000986964	0.000746966	0.00341696	0.00407315	0.00583248	0.0123755	0.0288701	0.104864	0.23496	0.598828
a36	0.000279778	0.000316253	0.000641924	0.0022003	0.00392519	0.0016059	0.00145312	0.00503945	0.0061132	0.00890611	0.0171352	0.0320549	0.0954937	0.229356	0.595479
a37	0.000643434	0.000562139	0.000746835	0.00209033	0.00287603	0.000840486	0.000670031	0.00297322	0.00363909	0.00449016	0.00832012	0.0226118	0.0879259	0.225071	0.63654
a5	0.00147394	0.00125983	0.00172947	0.00439622	0.00631676	0.0020892	0.00139414	0.00610555	0.00779126	0.00917255	0.0143471	0.0355519	0.0990747	0.210061	0.599237
a36	0.000515306	0.000518542	0.000902554	0.00202544	0.00272553	0.0012017	0.000895617	0.00364243	0.00472943	0.00595178	0.0100575	0.0259824	0.0863242	0.208077	0.64645
a26	0.00167256	0.0013642	0.00184786	0.00551867	0.00801604	0.00208074	0.00150419	0.00725747	0.00915354	0.00950548	0.013858	0.0304983	0.0794501	0.214055	0.614218
a44	0.0298543	0.0172261	0.0170062	0.0272781	0.0332004	0.0126554	0.00985444	0.0382313	0.0466622	0.0424954	0.0636901	0.0759109	0.112916	0.202344	0.270675
a57	0.00308519	0.00190187	0.00189355	0.00449125	0.0057141	0.00245965	0.00280487	0.0109059	0.0145998	0.0157568	0.0244933	0.0447973	0.108858	0.241719	0.51652
a3	0.0122315	0.00747077	0.00693881	0.0127488	0.0152659	0.00589514	0.00635434	0.024329	0.028507	0.0284353	0.0449152	0.0569791	0.105331	0.234424	0.410174
a97	0.0349886	0.0164323	0.0117622	0.0171383	0.0198442	0.0136061	0.013857	0.0441505	0.0459648	0.043314	0.0610995	0.0706516	0.125897	0.227118	0.254176
a87	0.0278618	0.0142226	0.0102112	0.0156678	0.0184098	0.013793	0.0128982	0.0377208	0.0372656	0.0398717	0.0583475	0.0701993	0.123462	0.208954	0.311114
a97	0.0254504	0.0151078	0.0132052	0.0241347	0.0318533	0.0206576	0.0176059	0.0520485	0.0510255	0.0523356	0.0672194	0.0750176	0.113266	0.181054	0.260019
</S>	0.0145787	0.0110774	0.0121008	0.0286351	0.0361105	0.0266126	0.0275204	0.0544871	0.0529024	0.0514652	0.0572945	0.0642172	0.107743	0.179079	0.276176
