 	les	habitants	d'	ongondza	ont	collecté	de	l'	argent	pour	la	réfection	de	la	route	</S>
a5	0.00116174	0.00184665	0.00360006	0.0117074	0.0373956	0.04568	0.083534	0.0897663	0.0835503	0.0656754	0.0547657	0.0823595	0.0708875	0.0816191	0.121678	0.164773
a37	0.00167455	0.00230482	0.00410423	0.0116183	0.0393934	0.0443366	0.0950163	0.0997887	0.096205	0.0795206	0.0712245	0.0887669	0.0666096	0.0705327	0.0988351	0.130069
a94	0.00101609	0.00132485	0.00248198	0.00736721	0.0290821	0.033417	0.0931217	0.0972235	0.0942706	0.075517	0.0671028	0.0919755	0.0708573	0.0731509	0.108384	0.153707
a96	0.000581237	0.000657283	0.00109018	0.00327397	0.0153017	0.0180924	0.0672972	0.0698514	0.0712093	0.0553236	0.0473098	0.0730157	0.0709912	0.0864695	0.157575	0.261961
a83	0.000494684	0.000543444	0.00102407	0.00268443	0.0116865	0.0137138	0.0557778	0.0586605	0.0628415	0.0520741	0.0467082	0.0769183	0.0765034	0.0898604	0.16616	0.284349
a90	0.000314004	0.000358222	0.000693597	0.00194706	0.00901132	0.0102292	0.0427285	0.0445014	0.0487348	0.0410773	0.03744	0.0666596	0.075409	0.0958027	0.185371	0.339722
a94	0.000235632	0.00031945	0.000611097	0.00222686	0.0112967	0.0122977	0.0431048	0.0442751	0.0490618	0.0434937	0.0432123	0.0870144	0.092481	0.109876	0.174131	0.286362
a90	0.000147175	0.000170254	0.000357153	0.00104331	0.00493303	0.0057807	0.0271852	0.027529	0.0305286	0.0256209	0.024202	0.051642	0.072838	0.104327	0.213971	0.409725
a44	0.000163671	0.000181074	0.000361301	0.000988011	0.00404929	0.00456017	0.0234155	0.0249613	0.0282912	0.0276492	0.0293278	0.0668395	0.0870873	0.110972	0.211476	0.379678
a70	0.000127175	0.000108302	0.000228618	0.000583457	0.00241146	0.00259395	0.0143822	0.0155626	0.0169202	0.0161636	0.0160475	0.0387983	0.0613733	0.0975515	0.236744	0.480404
a62	0.000187759	0.000149502	0.00028066	0.000528239	0.0021906	0.00216902	0.0148098	0.0150327	0.015009	0.0147191	0.0141541	0.0352122	0.059328	0.101864	0.247893	0.476472
a88	0.000244308	0.000205634	0.000395474	0.000724908	0.00318373	0.00308508	0.0226521	0.0222504	0.0228267	0.0229839	0.0238367	0.0496365	0.0767102	0.117408	0.244158	0.389699
a96	0.000193964	0.000130037	0.00019048	0.000411395	0.00200033	0.00205031	0.0204165	0.0234117	0.0243178	0.0254467	0.0255279	0.0479087	0.0916124	0.13666	0.255732	0.34399
a44	0.0001504	0.000128125	0.000230404	0.000546787	0.00264472	0.00231906	0.0173546	0.0186653	0.018594	0.0201649	0.0198948	0.0351031	0.0639262	0.108091	0.255326	0.43686
a66	0.000107807	0.000101081	0.000174132	0.000416667	0.00195577	0.00168566	0.0128528	0.0133026	0.0132936	0.0145055	0.0148753	0.0289697	0.0560133	0.102562	0.255523	0.483662
a54	0.000651531	0.000374066	0.000370872	0.000495752	0.00235504	0.00241861	0.0315824	0.0421216	0.0481801	0.0372666	0.027276	0.0456033	0.0977867	0.144997	0.250581	0.267939
a6	6.65192e-05	7.1288e-05	9.70845e-05	0.000152784	0.000867498	0.000698814	0.00860948	0.0111547	0.0113625	0.0114426	0.00919536	0.0205711	0.0463315	0.094882	0.279351	0.505146
a98	6.69088e-05	7.68796e-05	0.000119228	0.000233571	0.00127096	0.0011109	0.01167	0.0136062	0.0145858	0.0164086	0.0157401	0.0358252	0.0661886	0.102512	0.236007	0.484578
a15	2.5886e-05	3.10191e-05	4.67117e-05	0.000149648	0.00130037	0.00127463	0.0138905	0.0172185	0.0205314	0.0226036	0.0218261	0.043948	0.0725202	0.10196	0.221356	0.461317
a7	6.52759e-05	6.47584e-05	6.55348e-05	9.30566e-05	0.000674606	0.000792391	0.0139078	0.0157551	0.0167695	0.0149433	0.0128486	0.0335174	0.063363	0.104473	0.242861	0.479806
a13	0.00082249	0.000672072	0.000667701	0.000610975	0.00193314	0.00161999	0.0241107	0.0302396	0.0299005	0.0246555	0.0207574	0.0379454	0.0741667	0.132105	0.275918	0.343875
a3	0.00363116	0.0017855	0.00140283	0.00122439	0.00368666	0.00340384	0.0355996	0.0509588	0.0607257	0.0472319	0.0363193	0.0522911	0.0956778	0.13571	0.236227	0.234124
a97	0.0317773	0.0153919	0.00834298	0.00662068	0.00627959	0.00964363	0.04205	0.0577627	0.0669775	0.0513075	0.0440426	0.0622492	0.0987635	0.12761	0.188622	0.182559
a87	0.0405492	0.0220125	0.012626	0.0108194	0.00945692	0.014059	0.0470286	0.061623	0.0796161	0.0683075	0.0660192	0.0852238	0.103669	0.115023	0.138784	0.125183
a97	0.022603	0.0137298	0.00916901	0.0111199	0.0114367	0.0200593	0.0767162	0.0844633	0.10083	0.0763243	0.0646532	0.0785034	0.0885943	0.0992949	0.122525	0.119977
</S>	0.0121086	0.00664049	0.00553556	0.0118592	0.0196873	0.0325082	0.092627	0.0991724	0.0968543	0.0917916	0.0740828	0.0794452	0.0847805	0.0840045	0.0965259	0.112377
