 	l'	homme	avança	sa	main	pour	me	dire	bonjour	</S>
a90	0.0260125	0.029785	0.0299592	0.0485629	0.0480289	0.0578854	0.0925777	0.130377	0.157083	0.379729
a93	0.0281089	0.0352776	0.0390137	0.0573278	0.0605753	0.0696764	0.103625	0.1415	0.150645	0.314251
a75	0.0192819	0.0222886	0.0228915	0.0387652	0.0423649	0.0674952	0.116233	0.163259	0.18454	0.32288
a41	0.0212952	0.0267764	0.0328083	0.052468	0.0590425	0.0715502	0.113727	0.146995	0.165023	0.310314
a90	0.0117634	0.0135287	0.0143661	0.0269967	0.0331055	0.0562566	0.113383	0.148662	0.164005	0.417933
a98	0.0117099	0.012735	0.0135747	0.0227872	0.0233864	0.0361146	0.0736863	0.112197	0.183136	0.510673
a73	0.0149735	0.0178363	0.0200878	0.0351649	0.0441963	0.0644159	0.113715	0.144701	0.15772	0.38719
a90	0.00913054	0.0102467	0.0117085	0.0203711	0.023552	0.0368378	0.079005	0.116524	0.170495	0.522129
a98	0.00758939	0.0104355	0.0137623	0.0256321	0.0293732	0.0411611	0.074765	0.112659	0.168641	0.515981
a73	0.00904585	0.0101982	0.0113932	0.0190474	0.0237233	0.0368387	0.0777572	0.113303	0.165771	0.532922
a44	0.0102226	0.0108113	0.0115433	0.0151211	0.0155702	0.0229215	0.0528223	0.0869999	0.172464	0.601524
a54	0.00582351	0.00711994	0.00836068	0.0127179	0.0128931	0.0204626	0.0470237	0.0817317	0.164646	0.639221
a73	0.00971008	0.0112466	0.0142613	0.0228885	0.0245748	0.0361919	0.0682997	0.103746	0.168919	0.540162
a84	0.00701092	0.00846192	0.0114669	0.0154197	0.0158469	0.0224629	0.0492984	0.0791161	0.164852	0.626064
a57	0.00730427	0.00772799	0.00877836	0.0103358	0.0081266	0.0110038	0.0214071	0.0399017	0.160864	0.72455
a87	0.016442	0.0127918	0.0179123	0.0182827	0.0128314	0.0163879	0.0249156	0.052404	0.209205	0.618827
a23	0.032732	0.022699	0.0310339	0.0366407	0.0256658	0.0406526	0.0502917	0.104686	0.207988	0.447611
a10	0.0460266	0.0379307	0.0473234	0.0595221	0.0414662	0.0616867	0.0703862	0.125487	0.173885	0.336286
a87	0.0666154	0.0532453	0.0799718	0.0705368	0.0528211	0.0589339	0.0554839	0.0988758	0.129063	0.334453
</S>	0.0625537	0.0497212	0.080539	0.0783202	0.0615149	0.0709157	0.0677281	0.118513	0.131403	0.278792
