 	les	enfants	de	cette	femme	jetaient	les	écorces	d'	arachide	dans	la	poubelle	</S>
a0	0.000533647	0.000588514	0.00111679	0.00280323	0.012667	0.039516	0.0853883	0.124472	0.114995	0.079188	0.0818286	0.110013	0.16541	0.18148
a53	0.000656897	0.000715617	0.00118537	0.0021629	0.00813372	0.0231511	0.0562006	0.089717	0.0950192	0.0742757	0.0937403	0.140689	0.202327	0.212026
a4	0.000311693	0.00038773	0.000818076	0.00220368	0.0094992	0.024367	0.0576919	0.0776174	0.0924583	0.0736082	0.0869565	0.11372	0.209334	0.251026
a53	0.000422744	0.000557667	0.0011067	0.00254653	0.00848678	0.019949	0.0477456	0.0717303	0.0845787	0.0634332	0.0789028	0.121763	0.230585	0.268192
a15	0.000156838	0.000206022	0.000483273	0.00145379	0.00608668	0.015589	0.0410745	0.0634083	0.0765074	0.0560011	0.0701557	0.111074	0.244257	0.313546
a6	0.000111642	0.000137794	0.000335104	0.00116765	0.00525123	0.0141275	0.0319671	0.0539801	0.0622206	0.0450658	0.0565752	0.103415	0.265733	0.359913
a37	0.000188745	0.000210763	0.000396944	0.00113055	0.00487489	0.014145	0.0332851	0.0607716	0.0660158	0.0468901	0.0573868	0.103696	0.268921	0.342087
a26	0.000235992	0.000272367	0.000494754	0.000951208	0.00305636	0.00831129	0.0236629	0.0425806	0.0496241	0.0383334	0.0542486	0.118526	0.295099	0.364603
a82	0.000341659	0.000311804	0.000392478	0.000555786	0.00139727	0.00387094	0.0108821	0.0254306	0.0338381	0.0284365	0.04672	0.12113	0.301377	0.425316
a40	0.00277756	0.00224536	0.00199493	0.00253708	0.00444886	0.00902177	0.0188327	0.0461066	0.0734816	0.0620584	0.0856773	0.161227	0.222174	0.307417
a36	0.000324144	0.000260991	0.000357098	0.000584008	0.00174308	0.00559628	0.014234	0.0261063	0.0414268	0.0400258	0.0655535	0.146422	0.298024	0.359342
a37	0.000267576	0.000213708	0.000259035	0.000373429	0.00107669	0.00312061	0.00768657	0.0194326	0.034986	0.0303783	0.04878	0.119951	0.279298	0.454177
a44	0.000363197	0.000296194	0.000365113	0.00049762	0.00131355	0.00353389	0.00763538	0.0181768	0.0326143	0.0289314	0.0475434	0.120071	0.278966	0.459692
a70	0.000114434	0.000103195	0.000149198	0.000248272	0.000842917	0.00285218	0.00718147	0.0158928	0.029979	0.0266096	0.0469755	0.121328	0.288697	0.459027
a11	0.000104331	0.000119936	0.000214204	0.00038472	0.00122121	0.00380236	0.0110164	0.0226695	0.0422358	0.0347006	0.0546905	0.129021	0.2763	0.42352
a54	0.000111244	0.00011997	0.000206083	0.000380284	0.00122947	0.00376435	0.0110619	0.0248574	0.0437691	0.0349831	0.0524204	0.119567	0.259014	0.448516
a37	5.23498e-05	5.0842e-05	8.95707e-05	0.000250683	0.00110216	0.00375279	0.0104589	0.0194861	0.0343623	0.0306338	0.0521855	0.125676	0.294978	0.426921
a26	8.61587e-05	8.72802e-05	0.000143765	0.000276811	0.00084896	0.0024856	0.00780546	0.0161293	0.0293636	0.0275792	0.0458764	0.110507	0.287825	0.470986
a36	0.000386989	0.00030873	0.000331721	0.000571036	0.00154294	0.00361704	0.00843129	0.0244609	0.038806	0.0331374	0.0482763	0.114587	0.248219	0.477324
a2	0.000338599	0.000262953	0.000301701	0.000514299	0.00132196	0.00352101	0.00833391	0.0217629	0.0372073	0.0351998	0.0534307	0.123565	0.259713	0.454528
a30	0.0049011	0.00432444	0.00413316	0.00505758	0.00801364	0.0132803	0.0268541	0.0624174	0.0722791	0.061311	0.0702436	0.116673	0.205958	0.344554
a57	0.0130442	0.00865726	0.00695269	0.00764896	0.0102691	0.0131869	0.0252423	0.0484487	0.0766888	0.0839235	0.100459	0.136618	0.196927	0.271933
a10	0.0185679	0.0102818	0.00668354	0.00733784	0.00981303	0.00976909	0.0200855	0.0454898	0.0731239	0.079722	0.0955632	0.13772	0.208315	0.277528
a87	0.0135327	0.00748336	0.00485877	0.00567037	0.00873459	0.00940883	0.0209647	0.045922	0.08181	0.0865594	0.107534	0.152299	0.204662	0.250561
a97	0.0130845	0.00885326	0.00657499	0.00824112	0.0155493	0.0167686	0.0401084	0.0822553	0.113068	0.0991237	0.100613	0.127566	0.167493	0.200702
a87	0.00831401	0.00588659	0.00535484	0.00892176	0.0207758	0.0232887	0.0476744	0.0823851	0.106535	0.108029	0.109877	0.123148	0.156222	0.193589
a97	0.00762589	0.00660242	0.00705208	0.0134913	0.025357	0.024783	0.0484771	0.0824293	0.0926368	0.0980311	0.103045	0.117527	0.165214	0.207729
a87	0.00743298	0.0060121	0.00756813	0.0142202	0.0238452	0.0267295	0.0551529	0.0860566	0.110578	0.123542	0.127467	0.122124	0.136387	0.152884
</S>	0.00943887	0.00872382	0.01019	0.0167161	0.0220257	0.0201166	0.0377358	0.0653133	0.0842703	0.0992527	0.113583	0.123321	0.170518	0.218795
