 	mon	frère	ainé	est	cachotier	il	se	marie	en	secret	sans	avertir	ses	parents	</S>
a79	0.0317486	0.04208	0.0833412	0.132274	0.224166	0.121259	0.0828542	0.0498373	0.0430354	0.0528996	0.0295404	0.0285353	0.0200712	0.0232561	0.0351009
a98	0.0240678	0.0385282	0.0827336	0.121346	0.175001	0.100036	0.0718322	0.0492105	0.0508079	0.0623615	0.0495339	0.0440576	0.032934	0.0399405	0.0576101
a15	0.019621	0.0313042	0.0548877	0.0935845	0.137616	0.091447	0.0651851	0.0512617	0.0677784	0.0821621	0.0785512	0.0631355	0.0428446	0.0508059	0.0698149
a79	0.0301455	0.0522392	0.0936196	0.115855	0.14429	0.067652	0.0621886	0.0538666	0.0589507	0.0685341	0.0614633	0.0499589	0.0358269	0.0431215	0.0622883
a75	0.0219548	0.0316927	0.0433236	0.0796725	0.120667	0.0788267	0.0764476	0.0812408	0.104016	0.123679	0.0731755	0.0508555	0.0311788	0.0346174	0.0486517
a5	0.0127155	0.018914	0.0294283	0.0736747	0.132445	0.0932284	0.0914187	0.0915875	0.102997	0.115817	0.0728785	0.0535737	0.0322595	0.0332713	0.0457909
a12	0.00480455	0.00613169	0.00927006	0.0409839	0.107776	0.132771	0.129992	0.121642	0.121801	0.142337	0.0620783	0.0383977	0.0230648	0.024599	0.0343497
a47	0.00225303	0.00321492	0.00478339	0.0259124	0.0979962	0.133302	0.139326	0.142513	0.152837	0.159998	0.0529469	0.0303681	0.0161296	0.0161108	0.022309
a31	0.00214941	0.00353001	0.00549772	0.0244425	0.0881085	0.113496	0.124986	0.138457	0.17525	0.152752	0.0692026	0.0393502	0.0198626	0.0180006	0.024915
a62	0.00134541	0.00203466	0.00327249	0.0124855	0.0703228	0.122288	0.147099	0.167474	0.177333	0.176767	0.0518147	0.0263671	0.0127715	0.0119913	0.0166334
a88	0.00142815	0.00235671	0.00430842	0.0119041	0.0560994	0.0948378	0.11463	0.15234	0.190606	0.158108	0.0836314	0.0484781	0.0245429	0.0228761	0.0338531
a62	0.00161407	0.00256869	0.00462055	0.0109253	0.0412083	0.0727705	0.0966808	0.145533	0.180223	0.148963	0.0892138	0.0637107	0.038084	0.0398677	0.0640168
a47	0.00176002	0.00253074	0.00416994	0.0111466	0.0383058	0.0714052	0.110215	0.184538	0.203838	0.155378	0.0765557	0.051993	0.0260547	0.0239931	0.0381158
a31	0.00256553	0.00410518	0.00672268	0.0130594	0.0332513	0.0588582	0.0872472	0.164093	0.211932	0.154331	0.0949796	0.0616452	0.0354598	0.0307139	0.0410358
a0	0.00143099	0.00196522	0.00323208	0.00842906	0.0321764	0.0608447	0.0931786	0.167777	0.180541	0.147599	0.094031	0.0745853	0.0468791	0.0404906	0.0468388
a24	0.00328542	0.00490718	0.0102799	0.0173617	0.0312608	0.0429777	0.0638378	0.135861	0.183608	0.0997499	0.11477	0.107324	0.0661458	0.0530987	0.0655313
a9	0.00244978	0.00339164	0.00669886	0.0133165	0.0297775	0.0403612	0.0645524	0.123815	0.155508	0.0898644	0.11192	0.124009	0.0857004	0.0695741	0.0790607
a10	0.0088595	0.0113527	0.0217687	0.0347576	0.0498171	0.0535685	0.0841927	0.153451	0.169338	0.0863958	0.0832964	0.0857287	0.0569181	0.0454756	0.0550797
a87	0.0307937	0.01872	0.0247924	0.0334975	0.041943	0.0562131	0.0892617	0.152768	0.131286	0.083714	0.076167	0.0712132	0.057688	0.051893	0.0800494
a23	0.104557	0.0386548	0.0274732	0.0344086	0.0289095	0.0473681	0.0708221	0.105464	0.0885932	0.067615	0.066609	0.0664127	0.0730006	0.0707652	0.109347
a83	0.0314894	0.0109761	0.00591998	0.00549357	0.00439868	0.00969573	0.0152475	0.035269	0.0500311	0.0396016	0.0628971	0.0873101	0.160463	0.216476	0.264731
a54	0.00228335	0.000830306	0.000628846	0.00106385	0.002867	0.00669023	0.00785763	0.0186716	0.0306831	0.0230688	0.0332111	0.0763581	0.158962	0.244755	0.39207
a47	0.000236967	0.000201534	0.000319346	0.00153754	0.00798937	0.0111281	0.0139247	0.0266923	0.0368255	0.033193	0.0443726	0.0825509	0.142593	0.208848	0.389587
a7	0.000231075	0.000321354	0.00047958	0.00202435	0.00835025	0.0089098	0.0108403	0.0163488	0.0240609	0.0266434	0.0437412	0.0738446	0.165	0.247121	0.372084
a15	0.000193283	0.000299033	0.000563515	0.0016109	0.009506	0.0117412	0.015076	0.0209445	0.0227023	0.0242824	0.0297711	0.0524062	0.154398	0.248223	0.408282
a6	0.00017719	0.000243862	0.000421664	0.00115519	0.00682659	0.00911784	0.0131464	0.0163861	0.017372	0.020785	0.0309423	0.0543045	0.1675	0.249527	0.412094
a37	0.000333231	0.000491909	0.000764336	0.00280714	0.0162231	0.0204694	0.0297439	0.0306319	0.0311481	0.035861	0.046215	0.0623847	0.153354	0.234028	0.335544
a79	0.000538324	0.000740294	0.0011242	0.00269339	0.0141919	0.0233712	0.0323277	0.0405861	0.0397615	0.042613	0.0470036	0.0672286	0.153815	0.224848	0.309158
a25	0.000158591	0.000213803	0.000317727	0.000834911	0.00522554	0.00799927	0.011908	0.0191019	0.0229425	0.0234122	0.0398126	0.0551527	0.147419	0.24257	0.422931
a15	7.49433e-05	9.35115e-05	0.000132539	0.000343971	0.00249886	0.00408272	0.00697756	0.0136876	0.0179912	0.0174681	0.0308201	0.0414865	0.136505	0.239206	0.488631
a56	0.000167472	0.000163835	0.000213117	0.000450042	0.00170251	0.0030131	0.00525423	0.0106721	0.0155696	0.0165911	0.0301883	0.040863	0.139021	0.236028	0.500102
a43	0.000206419	0.000247033	0.000319066	0.000583801	0.00220356	0.00544171	0.00976202	0.0187361	0.0193802	0.0181747	0.0348905	0.0485664	0.155791	0.251898	0.433799
a21	0.000210202	0.000278306	0.000422639	0.000839558	0.00222097	0.00470777	0.0102302	0.0184025	0.0187624	0.0151658	0.0208334	0.0322926	0.117691	0.225445	0.532498
a47	0.000285537	0.000401408	0.000615646	0.00116238	0.00334757	0.0084471	0.017438	0.0338916	0.0337844	0.0292894	0.0350699	0.0457393	0.126989	0.22093	0.442608
a88	0.000403977	0.000643776	0.00115716	0.00232206	0.00535253	0.00987728	0.0221649	0.0346987	0.0345975	0.025234	0.0297925	0.0420808	0.126326	0.218816	0.446532
a93	0.000508074	0.000754865	0.00140799	0.00233202	0.00459644	0.00689068	0.017419	0.0268251	0.0274306	0.014804	0.0230801	0.0429327	0.141996	0.225101	0.463921
a4	0.000451218	0.000651029	0.0012376	0.00234592	0.00510437	0.0079381	0.0186784	0.0294869	0.0273034	0.0154003	0.0258223	0.0413006	0.130649	0.218075	0.475555
a44	0.0002495	0.000404397	0.000680494	0.00140026	0.0030293	0.00485407	0.00992776	0.0173189	0.014737	0.0090008	0.0190932	0.0331648	0.127011	0.229402	0.529727
a54	0.000168431	0.000281404	0.000511813	0.00107246	0.00250876	0.00441561	0.00927379	0.0171668	0.0160648	0.00880738	0.0188768	0.0315397	0.119793	0.225695	0.543824
a36	0.000188285	0.0002594	0.000371731	0.000715055	0.00137115	0.0024293	0.00449581	0.008385	0.00958006	0.00683531	0.0232521	0.0354652	0.122635	0.227223	0.556794
a2	0.000840357	0.000998324	0.00141753	0.00242125	0.00308448	0.00401451	0.00762153	0.0127528	0.0135216	0.00848671	0.0235951	0.0387135	0.133516	0.237104	0.511912
a57	0.0105796	0.00693285	0.0075547	0.00854114	0.00903919	0.0128713	0.0288086	0.0400383	0.0388007	0.0368772	0.0338304	0.0618719	0.160455	0.202954	0.340846
a87	0.0295685	0.0124271	0.00984428	0.0097945	0.0109137	0.0156868	0.0345459	0.053389	0.0401375	0.0430037	0.0439944	0.0930812	0.169336	0.189642	0.244635
a23	0.0537778	0.0168779	0.0101267	0.0114087	0.012647	0.0303244	0.0570684	0.083415	0.0766902	0.0976887	0.085846	0.0863314	0.113696	0.117214	0.146888
a99	0.00677037	0.0017606	0.00112654	0.00136812	0.00185598	0.00603787	0.0101868	0.0143758	0.0225738	0.0275026	0.0383408	0.0627403	0.167918	0.240429	0.397014
a87	0.00254327	0.000976734	0.00061693	0.00101913	0.00201684	0.00456108	0.00723709	0.00942516	0.0130279	0.0182152	0.0478545	0.0731481	0.160274	0.232256	0.426829
</S>	0.0110835	0.00374665	0.00275629	0.0044207	0.00723101	0.0105249	0.0158179	0.0160225	0.0187437	0.024822	0.0387227	0.0512972	0.111102	0.195569	0.488139
