 	si	tu	blagues	avec	moi	je	vais	te	faire	du	mal	</S>
a20	0.000345164	0.000353088	0.00059822	0.0029301	0.005305	0.0143422	0.0328394	0.0562856	0.0919845	0.154557	0.247438	0.393022
a7	6.87416e-05	0.000108217	0.000494953	0.0023585	0.00441938	0.0110143	0.0258308	0.0489629	0.0868316	0.166593	0.265318	0.388
a26	7.34397e-05	7.33134e-05	0.00022216	0.00203598	0.00373391	0.0113362	0.020394	0.0310848	0.0584347	0.120308	0.274463	0.477841
a82	0.00322339	0.00350415	0.00366921	0.0179334	0.0220705	0.0469695	0.066941	0.0746614	0.0918083	0.126325	0.224259	0.318635
a97	0.0303917	0.0267695	0.0216957	0.0472953	0.0432038	0.0582213	0.0723123	0.0803608	0.0990084	0.12453	0.176908	0.219302
a87	0.0307562	0.0258401	0.0219409	0.0492589	0.0455345	0.0631589	0.103853	0.126145	0.145533	0.143978	0.122221	0.12178
a97	0.0225932	0.0186775	0.0244709	0.0585657	0.0567097	0.0838244	0.120809	0.126198	0.137189	0.131568	0.109429	0.109966
a87	0.0251221	0.0297375	0.0559506	0.0769499	0.0727543	0.0944393	0.114173	0.114113	0.117022	0.114906	0.0911101	0.093723
a97	0.0235412	0.0290016	0.0484352	0.0772923	0.0720721	0.0908025	0.108395	0.099998	0.107207	0.115872	0.108726	0.118657
</S>	0.0274333	0.038964	0.0659636	0.0753725	0.0742861	0.0903517	0.097963	0.0947168	0.0972401	0.107189	0.101865	0.128655
