 	je	suis	un	oncle	pour	cet	enfant	que	j'	héberge	</S>
a73	0.0133934	0.0116616	0.0186377	0.0413731	0.0654591	0.0944697	0.0910443	0.0954607	0.108975	0.174379	0.285146
a90	0.00708599	0.00578715	0.00881612	0.0227725	0.0457596	0.0906485	0.121202	0.125826	0.135429	0.174691	0.261982
a4	0.00743796	0.00590641	0.00870896	0.0217499	0.0498207	0.102343	0.140688	0.143993	0.139219	0.160734	0.219399
a57	0.00380863	0.00303169	0.00535838	0.017425	0.0427262	0.100432	0.148626	0.176423	0.155451	0.161249	0.185468
a3	0.00783802	0.00618489	0.00933021	0.0228607	0.0452143	0.102857	0.143428	0.156835	0.138016	0.168068	0.199367
a87	0.0406903	0.0288129	0.034988	0.0537807	0.0657676	0.107504	0.128598	0.1209	0.0991562	0.159962	0.159841
a23	0.0807699	0.046165	0.0418118	0.0441475	0.0586699	0.0790866	0.0859196	0.0968833	0.0939901	0.16769	0.204866
a5	0.0319779	0.0158515	0.0177555	0.0236648	0.0349524	0.0487262	0.054984	0.0790689	0.117347	0.238617	0.337055
a44	0.00559399	0.00392537	0.00558123	0.00861403	0.0183095	0.0318544	0.0454204	0.0651794	0.105504	0.244553	0.465465
a98	0.00102729	0.000842448	0.00147009	0.00259119	0.00641484	0.0125559	0.0204874	0.0382125	0.095647	0.289097	0.531654
a41	0.00415613	0.0032809	0.00433184	0.0057021	0.0118545	0.022376	0.0354404	0.0540277	0.104856	0.283945	0.47003
a61	0.000533348	0.000415148	0.000606707	0.00127706	0.00355675	0.00873912	0.0165736	0.0304808	0.0800573	0.305122	0.552638
a75	0.000735892	0.000581958	0.000768774	0.00178588	0.00449792	0.00974662	0.016991	0.0309259	0.0804046	0.298668	0.554893
a5	0.00133847	0.00099258	0.00156772	0.00308723	0.00762241	0.0156889	0.0247217	0.0415246	0.0893188	0.297761	0.516376
a96	0.00201449	0.0013798	0.00193503	0.00384373	0.00707419	0.0128732	0.0197445	0.0356181	0.0797704	0.295637	0.540109
a75	0.000459733	0.000355279	0.00056752	0.00111591	0.00220935	0.00426906	0.0073131	0.0172099	0.0601373	0.32126	0.585103
a85	0.000559968	0.000426866	0.000656832	0.00141955	0.00355157	0.00756356	0.0127014	0.0247873	0.0699979	0.265707	0.612628
a79	0.000609948	0.000475467	0.000751142	0.00152353	0.003817	0.00908312	0.0155515	0.0280942	0.0688396	0.248058	0.623197
a44	0.000660995	0.000480557	0.00071062	0.0013847	0.00386817	0.00937791	0.0172833	0.0344671	0.0789266	0.249206	0.603634
a56	0.000897293	0.000681245	0.00103632	0.00157666	0.00377966	0.00797928	0.0141949	0.0251265	0.0659504	0.269745	0.609032
a47	0.00146407	0.00109531	0.00165954	0.00222686	0.00443645	0.00781901	0.0127726	0.0219145	0.0602372	0.277536	0.608838
a88	0.00132534	0.00110094	0.00195603	0.00263927	0.00499942	0.00879061	0.0140286	0.0243477	0.0725382	0.279503	0.58877
a62	0.000886894	0.000753738	0.00146149	0.00225127	0.00477236	0.00850812	0.0138564	0.0283163	0.0828731	0.265805	0.590515
a83	0.000683794	0.000585142	0.00108607	0.00158452	0.00321553	0.0056222	0.00912224	0.0198711	0.0659093	0.276582	0.615738
a93	0.00143013	0.00121369	0.00204403	0.0026996	0.00590548	0.0106657	0.0190587	0.0384988	0.0931693	0.24717	0.578144
a56	0.000554013	0.000500821	0.00097316	0.00144312	0.00311745	0.00575364	0.00987979	0.0216262	0.0724019	0.271973	0.611777
a34	0.000303256	0.000256574	0.00044289	0.000730839	0.00167944	0.00337451	0.00602582	0.0127673	0.0472478	0.257789	0.669383
a56	0.000365628	0.000322256	0.000607622	0.00104435	0.00248496	0.00491735	0.00867432	0.018759	0.0653431	0.251598	0.645883
a70	0.000328912	0.000287053	0.000530345	0.000891098	0.00203197	0.00399889	0.0068302	0.0146423	0.0547479	0.24443	0.671281
a83	0.00238802	0.00203624	0.00339593	0.00451608	0.00968043	0.0164521	0.0246815	0.0415587	0.0904852	0.222015	0.582791
a9	0.00233395	0.00190506	0.00311611	0.00408981	0.00905204	0.0155795	0.0247246	0.0423582	0.0925276	0.219416	0.584897
a99	0.0319117	0.0245247	0.0276583	0.0216166	0.0330447	0.0436237	0.0569313	0.072797	0.0987501	0.195234	0.393908
a87	0.127973	0.0673789	0.0540203	0.0366694	0.0486783	0.0562303	0.0613528	0.074759	0.0864766	0.140127	0.246334
a23	0.206027	0.109686	0.0696336	0.0512589	0.0469105	0.0504074	0.0518593	0.0646103	0.0707487	0.119448	0.15941
a87	0.144908	0.0754251	0.0536552	0.0311846	0.0407274	0.0533622	0.0582254	0.0729109	0.082221	0.127962	0.259418
a23	0.041865	0.0272586	0.0255954	0.0182887	0.0299992	0.0476504	0.0487548	0.0686152	0.0994783	0.200189	0.392305
</S>	0.0712742	0.0434544	0.0363472	0.0236754	0.0374209	0.0562817	0.0581667	0.0801204	0.0997241	0.175207	0.318328
