 	cette	femme	malpropre	laisse	des	vêtements	ça	et	là	dans	la	parcelle	</S>
a21	0.00822347	0.0144227	0.0325068	0.0242417	0.0312788	0.0465365	0.0371297	0.0590695	0.0687677	0.0812879	0.108311	0.168741	0.319483
a18	0.00746594	0.0107805	0.0199247	0.0138211	0.0176688	0.0276214	0.0249794	0.0432315	0.0575948	0.0776769	0.118431	0.216914	0.36389
a98	0.00313073	0.00607738	0.0145764	0.00783715	0.00943199	0.0143	0.0119419	0.0226329	0.0345622	0.0498091	0.090416	0.224589	0.510695
a92	0.00355447	0.00785443	0.0184775	0.0112697	0.0130105	0.0216492	0.0172278	0.0334537	0.0472773	0.0642915	0.107363	0.208731	0.445839
a96	0.00275915	0.00662411	0.0174756	0.0113631	0.0157031	0.027158	0.0228864	0.038321	0.0502827	0.0659451	0.102512	0.204429	0.434541
a66	0.00157413	0.00399482	0.0116524	0.00583334	0.00688125	0.0109858	0.0091617	0.0174493	0.0288013	0.0449129	0.089288	0.233168	0.536297
a10	0.00245852	0.0062535	0.0170856	0.0122336	0.0142408	0.0225421	0.0176348	0.0307967	0.0436675	0.0618575	0.102832	0.222233	0.446164
a9	0.00598068	0.00696563	0.0173149	0.0140991	0.0192925	0.0340929	0.0255352	0.044271	0.0564385	0.0843681	0.126091	0.218336	0.347215
a10	0.0193987	0.0139794	0.0247232	0.0226215	0.0309235	0.0554235	0.0426712	0.0590575	0.0708512	0.098818	0.124809	0.186832	0.249891
a87	0.0359906	0.0296191	0.0460966	0.0499366	0.0610649	0.0869577	0.0670605	0.0749573	0.0764967	0.088393	0.0967486	0.130615	0.156063
a23	0.024678	0.0338295	0.0963531	0.0953293	0.0831275	0.102733	0.0719027	0.0656309	0.0630246	0.0696927	0.0742191	0.101069	0.118411
a87	0.00865742	0.0113832	0.049329	0.043032	0.0404329	0.0534877	0.0406738	0.0394629	0.0522138	0.0754878	0.107395	0.193157	0.285287
</S>	0.00702514	0.0125577	0.0498825	0.0351072	0.0330645	0.0426246	0.0307056	0.0320099	0.0433087	0.0649323	0.0973185	0.204751	0.346712
