 	cet	enfant	est	un	mauvais	garçon	c'	est	pourquoi	tous	ses	parents	n'	ont	pas	pu	l'	héberger	</S>
a83	0.00187936	0.00197929	0.00351657	0.00665378	0.0151772	0.038145	0.0492883	0.083849	0.107182	0.177888	0.153723	0.0903127	0.0681239	0.0621011	0.0423375	0.0309293	0.0188409	0.020225	0.0278479
a9	0.00172038	0.00201432	0.00361064	0.00717405	0.0161007	0.0389528	0.053113	0.0886603	0.113147	0.174721	0.152299	0.0803003	0.058917	0.0558729	0.0434458	0.0366789	0.0232138	0.0235199	0.0265374
a99	0.00270943	0.00330422	0.00487701	0.0089	0.0175916	0.0425074	0.057527	0.110244	0.142487	0.194558	0.152167	0.0605072	0.0445917	0.0397304	0.03546	0.0303359	0.0166668	0.0157334	0.0201021
a87	0.00631012	0.00639979	0.00725474	0.0107653	0.0181102	0.0368977	0.0493182	0.0890586	0.120189	0.142619	0.120939	0.0741176	0.0602341	0.054158	0.0504425	0.0480027	0.0311984	0.0359869	0.0379977
a23	0.0190561	0.0163077	0.0151954	0.0177945	0.023281	0.0430629	0.0561396	0.068829	0.0783657	0.0766546	0.0748733	0.0644515	0.0509985	0.0479992	0.0468667	0.0515837	0.0521744	0.0900923	0.106274
a99	0.00566912	0.00441593	0.00469229	0.00672401	0.0119364	0.0256913	0.0364107	0.0571205	0.0703651	0.0720287	0.0780939	0.0728932	0.0644011	0.0622872	0.0610864	0.0644164	0.0680218	0.116083	0.117663
a62	0.000330518	0.000419826	0.000900322	0.00220682	0.00587444	0.0142549	0.0214975	0.0266301	0.0289286	0.0299738	0.0320775	0.0222547	0.0175552	0.0214697	0.0299172	0.0629172	0.120927	0.231505	0.33036
a21	0.00409398	0.00402905	0.00522752	0.00677137	0.00917376	0.0163831	0.02188	0.0266925	0.0260178	0.0320462	0.0299984	0.02369	0.0223676	0.0268646	0.0260859	0.0395181	0.085597	0.198059	0.395505
a85	0.00651237	0.00544162	0.00625922	0.00778494	0.00973001	0.0158459	0.0195021	0.0295374	0.0320186	0.0446153	0.0424835	0.0335246	0.0364282	0.0432471	0.0420547	0.0572027	0.0943647	0.180982	0.292466
a44	0.0029656	0.00337894	0.00567468	0.00961679	0.0131591	0.0209037	0.0227587	0.0297692	0.032873	0.0511272	0.0524163	0.0395791	0.0402836	0.0468082	0.0445644	0.0534712	0.0747499	0.150893	0.305007
a93	0.00231468	0.00243819	0.00426202	0.00736504	0.0117783	0.0229098	0.0282524	0.0447454	0.0474685	0.0725162	0.0666474	0.0353658	0.0354031	0.0442758	0.0443715	0.0587857	0.0812192	0.125297	0.264584
a31	0.00353242	0.00370566	0.00582104	0.00864873	0.0134182	0.0234932	0.0287448	0.0440461	0.0459371	0.067807	0.0607601	0.0383161	0.0408756	0.0506526	0.0490821	0.060543	0.0793793	0.118024	0.257213
a88	0.0021041	0.00202752	0.00352823	0.00609649	0.0102957	0.0187679	0.0226546	0.0367405	0.0419277	0.0636477	0.0578531	0.0386762	0.0395247	0.0476003	0.0474482	0.0604934	0.0825521	0.153147	0.264914
a13	0.00126891	0.00128725	0.00217617	0.00401445	0.00722879	0.0147598	0.0194628	0.0330505	0.0411836	0.0651006	0.0576659	0.0337475	0.0281233	0.0304543	0.0289567	0.0408683	0.0811001	0.170274	0.339277
a93	0.000758767	0.000808116	0.00124528	0.00236008	0.00523477	0.0137416	0.0206021	0.0414852	0.0572217	0.0919062	0.0804852	0.0334063	0.0243503	0.0283673	0.0301337	0.0457668	0.0819193	0.15016	0.290047
a56	0.000753217	0.000772037	0.00146624	0.00283497	0.00592589	0.0134266	0.0168168	0.0300113	0.0348698	0.0555695	0.0496834	0.0292777	0.0288083	0.0369294	0.0391778	0.052668	0.0693246	0.123582	0.408102
a34	0.00053269	0.000500457	0.000837442	0.00161306	0.00343822	0.00822724	0.0100475	0.0174986	0.0213555	0.034769	0.0312021	0.0199957	0.0213696	0.0282889	0.0318653	0.0463834	0.0726022	0.158033	0.49144
a47	0.000486857	0.000456488	0.00072549	0.00135296	0.00268352	0.00634335	0.00809563	0.0144958	0.0188989	0.0316455	0.02816	0.0174651	0.0169858	0.0208375	0.0235358	0.0364994	0.0710753	0.167973	0.532284
a98	0.000536441	0.000535721	0.000923339	0.00192261	0.00390587	0.00939132	0.0116959	0.020232	0.0262328	0.0443982	0.0382417	0.0192523	0.0169629	0.0211053	0.0242808	0.039978	0.0802673	0.157664	0.482473
a71	0.000332252	0.000317849	0.000509698	0.00101042	0.00197176	0.00487	0.00617835	0.0116294	0.0161066	0.0300184	0.0275174	0.0142445	0.0123259	0.0160396	0.0199638	0.0360841	0.0715861	0.153967	0.575327
a0	0.00211842	0.00168049	0.00184302	0.00254523	0.00407808	0.00694695	0.010617	0.0141531	0.0157238	0.0238154	0.0193639	0.00830773	0.00727209	0.0112301	0.0170208	0.0404318	0.0767333	0.134136	0.601984
a62	0.000563524	0.000441383	0.000550143	0.000895375	0.00165567	0.00319738	0.00497071	0.00747566	0.00941698	0.0160198	0.0135034	0.00602289	0.00459763	0.00664996	0.0109946	0.0311938	0.0801133	0.159474	0.642264
a88	0.000388411	0.000343231	0.000488486	0.000912769	0.00180381	0.00413579	0.00529684	0.00844008	0.0111353	0.018981	0.0165505	0.00839174	0.00728089	0.00977445	0.0137681	0.026949	0.0600765	0.139793	0.66549
a34	0.000997347	0.000809968	0.000937669	0.00136623	0.00227877	0.00425879	0.00628632	0.00781075	0.00926325	0.0148126	0.013295	0.0066053	0.00594921	0.00953609	0.0154271	0.035624	0.0668084	0.127457	0.670476
a83	0.000334917	0.000304538	0.000426755	0.00077199	0.00152491	0.00330133	0.0043345	0.00659871	0.00856773	0.0142928	0.0127147	0.00666855	0.00596775	0.00845512	0.0133364	0.0291546	0.0663814	0.146463	0.6704
a18	0.000586728	0.000530546	0.000665803	0.00106561	0.00190939	0.00365485	0.00525597	0.00659929	0.00834086	0.0136949	0.0128718	0.00680532	0.00616204	0.00990399	0.016869	0.041803	0.0768098	0.133831	0.65264
a53	0.00583005	0.00489013	0.00534758	0.00684145	0.00956633	0.0146071	0.0186143	0.0202209	0.0192783	0.0262857	0.020308	0.0105188	0.0108564	0.0180006	0.0272099	0.0622229	0.0866913	0.1201	0.51261
a25	0.000138428	0.000129796	0.000162359	0.00026493	0.000505557	0.00092251	0.00144914	0.00206066	0.0027257	0.00448422	0.00412538	0.00219	0.00191813	0.00277881	0.00517521	0.0160373	0.0444123	0.118364	0.792155
a56	0.000156966	0.000139571	0.000163825	0.000257247	0.000441156	0.000757573	0.00118469	0.00134369	0.00172223	0.00299525	0.00272139	0.00166626	0.00118546	0.00179094	0.00281173	0.00840857	0.026872	0.0983976	0.846984
a75	0.000190673	0.000160651	0.000186751	0.000274941	0.000449548	0.000742648	0.00111639	0.00137209	0.00168246	0.00286011	0.0025042	0.00137246	0.0012043	0.00193274	0.0033758	0.0113698	0.0374276	0.10218	0.829597
a70	0.000198439	0.000171218	0.000200946	0.00030979	0.000567987	0.00110253	0.00153317	0.00240329	0.00319793	0.00620354	0.00539164	0.0027444	0.00262383	0.00415242	0.00711132	0.0195697	0.0508981	0.122232	0.769387
a13	0.000323572	0.000297144	0.000363892	0.000562524	0.000982009	0.00182024	0.00244146	0.00266793	0.00317855	0.00524727	0.00473723	0.0029954	0.00278795	0.0045102	0.00662423	0.0148795	0.0312589	0.0806232	0.833699
a11	0.00158306	0.00157779	0.00165488	0.00222797	0.00332674	0.00623891	0.00938577	0.010194	0.0104998	0.013544	0.01136	0.00613302	0.00581373	0.0102913	0.0179771	0.0446651	0.0662386	0.109186	0.668102
a62	0.00671047	0.006068	0.00608088	0.00760111	0.00987506	0.0156764	0.0211599	0.0207195	0.0197791	0.0225367	0.0183931	0.0103469	0.00970837	0.0157828	0.0244276	0.0512774	0.0644134	0.106449	0.562995
a21	0.00183952	0.00182735	0.0018686	0.00245098	0.0034481	0.00637346	0.00911093	0.0104001	0.0114499	0.0141891	0.0126668	0.00631195	0.00549718	0.00815073	0.0147089	0.0362556	0.0587424	0.105514	0.689194
a75	0.00087334	0.000855618	0.000954017	0.00134942	0.00220479	0.00373308	0.00502958	0.00610401	0.00703335	0.00997701	0.00888227	0.00459247	0.0053211	0.00868676	0.0177049	0.0413145	0.0691041	0.140354	0.665925
a90	0.000234231	0.000207468	0.000241135	0.000345858	0.000564068	0.000968367	0.00136039	0.00167817	0.00202357	0.00350816	0.00336233	0.00192156	0.00197812	0.00332671	0.00643133	0.0192373	0.0520585	0.125325	0.775228
a69	0.000125181	0.000115044	0.000149077	0.000246942	0.000459829	0.000912263	0.00140086	0.00183784	0.00220247	0.0037175	0.00315459	0.00141815	0.00140913	0.00256003	0.00496405	0.0164124	0.0437145	0.106639	0.808561
a58	8.49719e-05	8.19669e-05	0.000106363	0.000175874	0.000327116	0.000665007	0.00103798	0.00130114	0.00155615	0.00271787	0.0022407	0.0010626	0.000913114	0.00156427	0.00259635	0.00806623	0.024135	0.0889021	0.862465
a82	0.00329058	0.00333378	0.00367054	0.00512748	0.006907	0.0120416	0.0176749	0.01625	0.0149751	0.0161849	0.0129661	0.00812691	0.00655205	0.0110929	0.0165524	0.0374832	0.0588771	0.134494	0.6144
a10	0.0460738	0.0308799	0.0241532	0.0244612	0.0220059	0.0272269	0.0330932	0.0265224	0.0207722	0.0207368	0.017723	0.0152169	0.0184767	0.0310158	0.04226	0.06145	0.0683796	0.140454	0.329098
a87	0.0700259	0.0422212	0.0237534	0.0206787	0.0184739	0.0220397	0.0269181	0.0250261	0.022039	0.0249867	0.0218005	0.0191476	0.0272927	0.0435451	0.0492811	0.0596794	0.0605209	0.141707	0.280863
a23	0.0430974	0.0299785	0.018662	0.0167137	0.0175928	0.0219985	0.0300927	0.0360333	0.0384611	0.0485351	0.0433394	0.0350759	0.0500267	0.0695157	0.0667986	0.0649844	0.0571154	0.117503	0.194476
a97	0.0417652	0.0237448	0.0138438	0.0102137	0.0086743	0.00947311	0.0139918	0.0141057	0.0149831	0.025212	0.0267793	0.0270955	0.0353329	0.0534312	0.053801	0.0712918	0.0864544	0.155135	0.314671
a87	0.0235418	0.0132339	0.00853703	0.00835187	0.0108315	0.0162678	0.0213265	0.0205264	0.021481	0.0296825	0.0329166	0.0349418	0.0328234	0.0377654	0.0353331	0.0413638	0.0577158	0.102397	0.450963
</S>	0.0447613	0.0250083	0.0130501	0.0104351	0.0123273	0.0165691	0.0239102	0.0257087	0.0269536	0.0337593	0.0317431	0.0269707	0.0269341	0.0318545	0.0293936	0.0326071	0.0453519	0.107135	0.435527
