 	de	la	manière	qu'	il	a	de	mandé	son	père	il	y	a	longtemps	qu'	il	l'	a	vu	</S>
a6	0.00300443	0.00187511	0.00197013	0.0036728	0.0132525	0.0329709	0.0532545	0.0923507	0.149871	0.13595	0.119548	0.0612561	0.063438	0.043983	0.0339209	0.0321958	0.0245561	0.0272915	0.0430123	0.0626262
a7	0.00397529	0.00285104	0.00327132	0.00503177	0.0115266	0.0275011	0.0464777	0.0886935	0.150385	0.135684	0.122271	0.0597342	0.0642197	0.0473518	0.0404677	0.0397453	0.029238	0.0284284	0.0405435	0.0526029
a75	0.00887141	0.00644752	0.00516447	0.00824509	0.0121804	0.0221638	0.0317844	0.0728721	0.166698	0.157309	0.142894	0.0755922	0.0713333	0.0485621	0.0363339	0.0314363	0.0183174	0.0181859	0.0268971	0.0387107
a85	0.0024039	0.00181154	0.00261683	0.00532422	0.0156001	0.0323343	0.046786	0.0740132	0.104571	0.0976359	0.0991405	0.0572857	0.0608557	0.0480561	0.042191	0.0487545	0.0401472	0.0463566	0.0749808	0.0991347
a47	0.00171161	0.00116033	0.00138696	0.00257846	0.00859087	0.0237891	0.0433945	0.0680605	0.11558	0.109942	0.108376	0.0571648	0.0569676	0.0419007	0.0338881	0.0417393	0.0371942	0.0482248	0.0798168	0.118533
a36	0.00658998	0.004072	0.00373143	0.00529799	0.0138358	0.030818	0.0570121	0.0863793	0.108502	0.0968709	0.0896915	0.0542124	0.0503486	0.0370365	0.0303605	0.0335136	0.0311785	0.0439393	0.0837801	0.132829
a2	0.0375214	0.027497	0.0145094	0.0168884	0.0234901	0.0344519	0.0454707	0.0785609	0.12785	0.10201	0.0909346	0.0504604	0.04658	0.0328413	0.0250909	0.023973	0.0246982	0.0403645	0.0666175	0.0901899
a57	0.0789777	0.0548989	0.0293545	0.0283076	0.0396525	0.0465706	0.0625654	0.0998354	0.136707	0.0857289	0.0708219	0.037101	0.0322185	0.0235347	0.0173253	0.0166242	0.0182112	0.0278763	0.0418042	0.051884
a87	0.103713	0.0699009	0.0368254	0.0329978	0.0466095	0.0519068	0.0715398	0.0962275	0.0835153	0.0513313	0.0430975	0.0309189	0.0301901	0.0240078	0.0199816	0.0212512	0.0263379	0.0384813	0.0556797	0.0654866
a23	0.0971698	0.0793544	0.0275889	0.0188226	0.0349902	0.0505705	0.0917878	0.088863	0.0456583	0.021672	0.0160586	0.011814	0.0108663	0.0101932	0.0119412	0.019902	0.0362048	0.0707432	0.120178	0.135621
a40	0.0181179	0.0122002	0.00492278	0.00484585	0.00967989	0.0189546	0.047774	0.0647142	0.0818322	0.0618012	0.0550697	0.0576749	0.0483951	0.0490722	0.0548954	0.0720531	0.0879691	0.069974	0.0817986	0.098255
a37	0.00310175	0.00274243	0.0030171	0.00460143	0.0119204	0.0367544	0.093365	0.114033	0.0882833	0.0579582	0.049307	0.0258087	0.0235614	0.0222011	0.024219	0.0459743	0.0664487	0.0737889	0.100299	0.152615
a61	0.000327994	0.000413958	0.000529877	0.00127702	0.00668379	0.0274004	0.0739757	0.0855863	0.074928	0.0491607	0.0421683	0.0307836	0.0289201	0.0298322	0.0326934	0.059473	0.0977575	0.121874	0.114533	0.12168
a66	0.000458976	0.000536031	0.00059306	0.00118447	0.00437325	0.0148734	0.0419014	0.0469153	0.0483147	0.0348877	0.0302774	0.0249685	0.0221912	0.0227446	0.0262154	0.0477388	0.0958939	0.164734	0.180372	0.190827
a38	0.000464969	0.000527145	0.000723785	0.00167409	0.00640704	0.0174519	0.0373965	0.0609211	0.0935646	0.0659744	0.0579006	0.0398669	0.0316583	0.0261983	0.0255305	0.0397144	0.0631016	0.109752	0.143728	0.177444
a54	0.00113434	0.00127975	0.00192651	0.00409008	0.0100678	0.0219502	0.0371535	0.0584886	0.0925591	0.0680064	0.0662084	0.0447536	0.0381112	0.0310552	0.0311712	0.0491659	0.0696508	0.105915	0.124154	0.143159
a6	0.000328215	0.000306955	0.000512149	0.00131961	0.00440856	0.0125871	0.0318928	0.0571898	0.109267	0.0823974	0.0799094	0.041996	0.0374151	0.0275054	0.0253845	0.0373496	0.0476238	0.0890902	0.13221	0.181307
a37	0.000253299	0.000223567	0.000304583	0.00063061	0.00189223	0.0056254	0.0160775	0.0351383	0.0968274	0.0768669	0.0762899	0.0391661	0.0383642	0.0301088	0.0295335	0.0461618	0.0595354	0.114236	0.151575	0.18119
a6	0.00087555	0.000790553	0.000983948	0.00196447	0.00491795	0.0103797	0.0214994	0.0489959	0.120332	0.0847119	0.0802106	0.04591	0.0367231	0.0269171	0.0246367	0.0371853	0.0464785	0.0878235	0.134008	0.184656
a7	0.000302314	0.000268356	0.000331668	0.000760005	0.00246014	0.00605236	0.0194224	0.0515924	0.134817	0.0920947	0.0917668	0.0418916	0.0327254	0.0230295	0.0198144	0.0307947	0.0412772	0.0891904	0.13742	0.183988
a84	0.00067356	0.000650713	0.000849793	0.00201818	0.00504956	0.00959168	0.0249893	0.0568557	0.126054	0.0760487	0.0698937	0.0374057	0.0281168	0.0210617	0.0175986	0.0237312	0.0306947	0.0717186	0.151382	0.245616
a87	0.00921812	0.008966	0.00716845	0.011355	0.0197174	0.0344042	0.0703557	0.100944	0.12515	0.044885	0.0383637	0.0240892	0.0169414	0.0156033	0.0163757	0.0274108	0.0443169	0.082697	0.132379	0.169659
a23	0.0281413	0.0250083	0.0165776	0.02106	0.0282304	0.0386565	0.0611365	0.0918151	0.101506	0.0467317	0.040974	0.0240976	0.0204558	0.0187596	0.0219084	0.0384743	0.0459962	0.0763828	0.116169	0.137919
a87	0.00652874	0.0057687	0.00364314	0.00574928	0.0141459	0.0253663	0.0635177	0.0874836	0.0635654	0.0335662	0.0304187	0.0225884	0.0182151	0.0207332	0.0251061	0.0456569	0.0648896	0.117022	0.16644	0.179595
a23	0.00292383	0.00257126	0.00149606	0.00248055	0.00686051	0.0134309	0.0430385	0.0849443	0.09514	0.0414596	0.0325864	0.0137357	0.0103226	0.00914898	0.0105473	0.0208683	0.0364841	0.0915227	0.191289	0.289149
</S>	0.00752674	0.00578391	0.00322281	0.00530344	0.0159664	0.0285335	0.066707	0.115435	0.102955	0.057153	0.0466667	0.0252683	0.0254895	0.0242021	0.0276774	0.0426827	0.0525111	0.0787024	0.117151	0.151063
