 	ibara	avait	l'	orgueil	de	ne	pas	manger	des	aliments	préparés	par	un	inconnu	</S>
a7	0.00555115	0.00662114	0.00799347	0.00789194	0.0153308	0.010161	0.0155844	0.0401533	0.0615502	0.0611653	0.0803385	0.077125	0.0835655	0.140214	0.386755
a12	0.00444443	0.00645241	0.00723968	0.00714737	0.0139214	0.01114	0.0169305	0.0378963	0.0596279	0.0664774	0.0994811	0.099541	0.093399	0.1487	0.327601
a21	0.00325619	0.00411939	0.00364373	0.00428825	0.00488595	0.00589343	0.00899633	0.0223207	0.0467465	0.086437	0.144088	0.115514	0.0878471	0.140358	0.321606
a12	0.00343678	0.00417611	0.00378463	0.00498758	0.00472077	0.00596499	0.00811841	0.0189023	0.04134	0.0842565	0.147464	0.118358	0.0954625	0.144318	0.314709
a18	0.00439089	0.00536146	0.00533551	0.00752062	0.00667298	0.00933021	0.0124967	0.0257118	0.0472056	0.0752125	0.129167	0.104026	0.100888	0.151708	0.314973
a62	0.00474371	0.00692616	0.00863382	0.0129711	0.01561	0.015676	0.0205883	0.0319201	0.0378336	0.0411991	0.0818176	0.0709252	0.0920756	0.200272	0.358808
a61	0.00761494	0.00970869	0.0105878	0.0158636	0.0147845	0.0196043	0.0281811	0.0416673	0.0449121	0.0484469	0.078026	0.0725462	0.0960576	0.213194	0.298805
a75	0.00388991	0.00607114	0.0068877	0.00978528	0.00829209	0.0122807	0.0176369	0.0288374	0.0349666	0.0409992	0.077254	0.0688157	0.0884962	0.216035	0.379752
a6	0.000874033	0.00142175	0.00165842	0.00245014	0.00219257	0.00345546	0.00499877	0.00916658	0.0157534	0.023169	0.0571891	0.0638343	0.100942	0.258519	0.454375
a7	0.000448373	0.000649463	0.000766989	0.00115732	0.00120457	0.00209027	0.00340416	0.00665555	0.00961476	0.0109532	0.0283882	0.0309724	0.0759447	0.260713	0.567037
a79	0.000860659	0.0011346	0.00139969	0.00267167	0.00266279	0.00293176	0.00411245	0.00593858	0.00670403	0.00643181	0.0152982	0.0159071	0.0507046	0.232314	0.650929
a56	0.000277748	0.000246617	0.000259932	0.000382165	0.000491875	0.000857006	0.0015655	0.00260379	0.00382317	0.0048576	0.0159347	0.0198633	0.0685135	0.250911	0.629412
a25	0.000325995	0.000286815	0.000305318	0.000364519	0.000526409	0.000928278	0.00162824	0.00262067	0.00414425	0.00490633	0.0149624	0.0212537	0.0805498	0.295971	0.571226
a92	0.000436016	0.000324815	0.000296106	0.000262633	0.000361702	0.00069526	0.00112224	0.00144406	0.0019615	0.00206812	0.00641416	0.010394	0.052941	0.262109	0.659169
a44	0.000238831	0.000178701	0.000163826	0.000182903	0.0002416	0.000420019	0.00077367	0.00120555	0.0019076	0.00235386	0.00889666	0.0136163	0.0671282	0.300222	0.602471
a7	0.000901997	0.000974191	0.00103841	0.00107096	0.00172244	0.00252508	0.00343712	0.00408362	0.00508813	0.00541328	0.0119725	0.0167817	0.0669252	0.255852	0.622213
a56	0.00133332	0.00125673	0.0013347	0.00113958	0.00224622	0.00237807	0.00270917	0.00290395	0.00358801	0.0035294	0.00673888	0.00974987	0.035544	0.223215	0.702333
a44	0.000926437	0.000964739	0.000972492	0.000791329	0.00159724	0.00228245	0.00340802	0.00449854	0.00598861	0.00592468	0.0103357	0.0121033	0.0405066	0.225993	0.683707
a75	0.00118999	0.00126456	0.00163974	0.00129753	0.00362103	0.00369964	0.00431103	0.00455729	0.00515426	0.00421716	0.00730825	0.0104923	0.0392461	0.229357	0.682644
a47	0.000553883	0.000424993	0.00044346	0.000339375	0.000724118	0.000946757	0.00140567	0.00231802	0.00394514	0.00467413	0.0100821	0.0145276	0.0454488	0.24213	0.672036
a36	0.000128741	9.70882e-05	0.000110339	6.65434e-05	0.000161459	0.000248827	0.000315074	0.000480799	0.000955116	0.00141484	0.00614989	0.0109791	0.0461837	0.253984	0.678724
a54	0.00378947	0.00393415	0.00530665	0.0045499	0.00853373	0.0068945	0.00715112	0.00691372	0.00669179	0.00515106	0.007426	0.0129209	0.0524588	0.282321	0.585958
a36	0.00169137	0.00137752	0.0013907	0.000991823	0.00246019	0.00267487	0.00355796	0.00482913	0.00618002	0.00583296	0.00846554	0.0145629	0.0457438	0.249527	0.650714
a2	0.00163143	0.00165699	0.00223061	0.00156275	0.00417127	0.00380055	0.00372887	0.00437614	0.00533137	0.00451809	0.00707315	0.0133825	0.0436146	0.264492	0.63843
a57	0.0217388	0.0335155	0.0430516	0.0279201	0.0420293	0.0443758	0.0443513	0.0393209	0.0363442	0.0367873	0.0341088	0.0398768	0.0998145	0.220848	0.235917
a87	0.102533	0.0820601	0.0629293	0.034236	0.0347903	0.0312852	0.0385731	0.0442879	0.0560773	0.0577946	0.0579409	0.0574228	0.097317	0.141813	0.10094
a23	0.089063	0.100066	0.0862683	0.0424166	0.0546776	0.0285525	0.039873	0.0504023	0.060211	0.0563027	0.0550553	0.0497511	0.0768511	0.119368	0.0911413
a87	0.0242263	0.0180873	0.0132395	0.00524301	0.00884807	0.0050838	0.0105158	0.0197423	0.0285054	0.0287879	0.0561497	0.0748035	0.155273	0.250455	0.301039
</S>	0.00619123	0.00527565	0.00442653	0.00204517	0.00312011	0.00199837	0.00387757	0.0077997	0.0122098	0.0116426	0.0225179	0.0350254	0.0965243	0.263639	0.523706
