 	nous	n'	avons	pas	pu	poursuivre	le	lièvre	dans	cette	forêt	parce	qu'	elle	est	touffue	</S>
a96	0.000170603	0.000252039	0.000435595	0.00120672	0.00163509	0.00252913	0.00375103	0.00950754	0.0184359	0.0328938	0.0314348	0.0303253	0.0360785	0.0717601	0.12606	0.245361	0.388163
a62	0.000237951	0.000321662	0.000426653	0.00133553	0.00183878	0.00286534	0.00405973	0.00899171	0.0181186	0.0337208	0.0292412	0.0241935	0.0274469	0.0541437	0.103333	0.23744	0.452286
a88	0.000399878	0.000552072	0.000788729	0.00187098	0.00254188	0.00430375	0.00576363	0.0122965	0.0232424	0.0415466	0.0353815	0.0310701	0.0354846	0.0670382	0.118193	0.226513	0.393014
a75	0.000198205	0.000279344	0.00035569	0.00108141	0.00138901	0.00228653	0.00336569	0.00664606	0.0137046	0.0244676	0.0216474	0.0184371	0.0212769	0.0420559	0.0827438	0.228263	0.531801
a79	3.23458e-05	5.40857e-05	0.000107614	0.000365512	0.00045866	0.000558441	0.0010947	0.00350084	0.0103715	0.0225924	0.0248473	0.024344	0.0272023	0.0534759	0.0983211	0.240397	0.492276
a37	3.48836e-05	5.67351e-05	0.00010767	0.000282765	0.000409464	0.000396676	0.00088521	0.00282104	0.00827064	0.017542	0.0197173	0.0203999	0.0233648	0.0467395	0.0791403	0.209501	0.57033
a18	6.67232e-05	9.17478e-05	0.000129973	0.000291876	0.000395774	0.000383095	0.000655796	0.00187102	0.00540956	0.0137424	0.0160309	0.0169056	0.0236426	0.0549113	0.106019	0.25852	0.500933
a71	0.00154045	0.00133518	0.000867725	0.001771	0.00247924	0.00189245	0.0027012	0.00323339	0.0141203	0.0346041	0.0301494	0.0274155	0.0328067	0.070248	0.125605	0.259125	0.390106
a25	0.00995655	0.00811885	0.00640244	0.00735981	0.00786469	0.00910665	0.00856702	0.00797276	0.0281778	0.0598932	0.0478726	0.0419627	0.0472719	0.086286	0.125358	0.202613	0.295216
a3	0.0129681	0.0089032	0.00527494	0.0053809	0.00600991	0.00566671	0.00559445	0.00486766	0.0219688	0.0391682	0.0326401	0.0328802	0.0425128	0.0780126	0.115835	0.229127	0.353189
a97	0.0195161	0.0120236	0.00505779	0.0043372	0.00450856	0.00410743	0.00348639	0.00295501	0.0184298	0.0278072	0.0246531	0.0280758	0.038582	0.0673669	0.100705	0.252033	0.386355
a87	0.0113361	0.00789072	0.00363523	0.00426409	0.00522027	0.00674762	0.00530955	0.00510572	0.0211919	0.0241278	0.0202987	0.0260236	0.039428	0.0689454	0.0978514	0.254204	0.39842
a3	0.0157678	0.0119559	0.0072165	0.0101568	0.0104804	0.0176179	0.0129424	0.011164	0.0326735	0.0310563	0.0255779	0.0311954	0.0430801	0.070039	0.094719	0.22264	0.351717
a97	0.0195539	0.0146254	0.0127345	0.0156421	0.0146565	0.0258105	0.0204707	0.0183999	0.0341169	0.0292149	0.0246501	0.0277194	0.0339993	0.0522183	0.0730276	0.203349	0.379811
a87	0.016142	0.0157855	0.0159398	0.016145	0.0159084	0.0265047	0.0229453	0.0217741	0.0429244	0.0348247	0.0271148	0.0287355	0.0325238	0.0475264	0.062982	0.186712	0.385512
a23	0.018243	0.0190564	0.0207703	0.0210171	0.0193545	0.0334512	0.0286995	0.0266255	0.0492195	0.0421704	0.0335122	0.0336605	0.0360907	0.0499595	0.0650649	0.169868	0.333237
a99	0.00426904	0.00385338	0.0026404	0.00130729	0.00108816	0.00201048	0.00179182	0.001133	0.00417139	0.00453038	0.00487734	0.00856873	0.0189646	0.0471666	0.105647	0.29569	0.492291
a57	0.00499553	0.00445278	0.00320809	0.00189938	0.00160156	0.00272586	0.00227127	0.00150367	0.00500254	0.0058555	0.00659845	0.0111574	0.0227969	0.0516453	0.0999623	0.285927	0.488397
</S>	0.0045724	0.00404081	0.00277511	0.00191171	0.00155276	0.00278009	0.00236519	0.00171781	0.00541164	0.00641347	0.00737787	0.0127328	0.0251708	0.0527021	0.0957593	0.279201	0.493515
