 	le	berger	fait	reposer	les	boeufs	car	ceux-ci	ont	beaucoup	marché	</S>
a99	0.000200189	0.00038163	0.00109817	0.00421971	0.00942332	0.0179255	0.0119073	0.0167598	0.050457	0.136527	0.250395	0.500705
a18	0.000321299	0.000496064	0.00121896	0.00368672	0.00846336	0.0160522	0.0102241	0.0153267	0.047158	0.133375	0.233106	0.530572
a26	0.0024949	0.00210147	0.00411383	0.00801995	0.0160185	0.0246576	0.0156196	0.0225434	0.0550151	0.133969	0.212181	0.503266
a57	0.0168963	0.00743959	0.0158815	0.030563	0.0496597	0.0687244	0.0472016	0.0648434	0.0882991	0.128529	0.164133	0.317829
a99	0.0307644	0.0101104	0.0240344	0.052142	0.060351	0.088797	0.0712317	0.103425	0.110207	0.128843	0.139968	0.180127
a87	0.029376	0.0113509	0.0295779	0.0732141	0.0744754	0.108821	0.0920453	0.122578	0.117634	0.118767	0.110065	0.112096
a97	0.0313235	0.0174694	0.0669127	0.135549	0.10328	0.122841	0.105901	0.108963	0.0886205	0.0803574	0.0695982	0.0691831
a87	0.0312368	0.0249182	0.0840524	0.136588	0.102757	0.125804	0.100697	0.100902	0.0792784	0.0723377	0.0669438	0.0744845
a23	0.0354995	0.0306013	0.0951391	0.127022	0.0929194	0.115073	0.0925952	0.0829221	0.0723934	0.0758527	0.0796909	0.100291
a87	0.014117	0.00604747	0.0377381	0.0849417	0.0628053	0.0854169	0.0750217	0.0874222	0.0944227	0.103056	0.128127	0.220884
a23	0.0174959	0.0074715	0.0306785	0.0602775	0.0460792	0.0660563	0.0586593	0.0749222	0.100348	0.122535	0.157673	0.257804
a87	0.0149179	0.00605548	0.0306385	0.0772181	0.053733	0.0860564	0.0791522	0.0964487	0.107299	0.111849	0.129187	0.207444
</S>	0.00942285	0.00400835	0.0170954	0.0405793	0.0294182	0.0478554	0.0460937	0.0671599	0.0995156	0.131042	0.180114	0.327695
