 	dès	qu'	il	a	de	l'	argent	il	se	met	à	boire	</S>
a94	0.0120465	0.00989996	0.0110355	0.0184535	0.0266386	0.0331402	0.0403576	0.0456828	0.0520174	0.0751263	0.12895	0.217673	0.328979
a70	0.00548493	0.00419166	0.00458962	0.00857631	0.0151954	0.0200038	0.0229431	0.0258072	0.0313495	0.0545337	0.116626	0.244609	0.44609
a98	0.00952541	0.00686464	0.00656054	0.0123366	0.0211597	0.0300837	0.0357353	0.0386247	0.0448057	0.0695716	0.119236	0.227167	0.378329
a94	0.0102806	0.00583373	0.00622063	0.012943	0.021544	0.0296153	0.0323067	0.0357596	0.0406219	0.0615453	0.119339	0.231449	0.392541
a90	0.00440715	0.00289378	0.00302848	0.00595912	0.0120466	0.0196435	0.0252533	0.028593	0.0327047	0.0533927	0.10667	0.234412	0.470996
a76	0.00584517	0.00403178	0.00508794	0.00968189	0.0174846	0.0227819	0.0255129	0.0272076	0.0299795	0.0483531	0.103968	0.230019	0.470047
a20	0.00920418	0.00726822	0.00840639	0.0156953	0.0248216	0.0300769	0.0279972	0.028665	0.0315146	0.0460011	0.0991072	0.222893	0.448349
a44	0.00666079	0.0045627	0.0051963	0.00985435	0.017993	0.0261149	0.0278437	0.0295834	0.0344078	0.0537965	0.108126	0.227005	0.448855
a84	0.0100318	0.00655289	0.00637548	0.0122916	0.0225627	0.0362535	0.0405491	0.0428867	0.050512	0.0692413	0.111849	0.21188	0.379014
a87	0.0101474	0.00710295	0.00646597	0.0103218	0.0173773	0.030172	0.039088	0.0473011	0.0462937	0.0664998	0.107048	0.22721	0.384973
a23	0.014568	0.0122641	0.00897059	0.0100026	0.0132034	0.0167148	0.0188292	0.0253654	0.0306109	0.0611137	0.123529	0.255083	0.409745
a87	0.035991	0.0360791	0.0313772	0.0340002	0.0351617	0.0313549	0.0269654	0.0390731	0.0525985	0.0917166	0.134926	0.190979	0.259777
</S>	0.0100637	0.010441	0.0112476	0.0148321	0.0174244	0.0187751	0.0204629	0.0339088	0.0449531	0.0828292	0.130931	0.251649	0.352483
