 	il	a	planté	des	caféiers	le	long	de	l'	allée	qui	mène	à	la	maison	</S>
a75	0.0391658	0.0475911	0.0786244	0.140828	0.147872	0.160818	0.116351	0.0865219	0.0545032	0.0266669	0.0204457	0.0151883	0.014645	0.0146643	0.0161535	0.0199609
a14	0.0624442	0.0676879	0.0861317	0.104291	0.111626	0.110571	0.0885561	0.0826801	0.0705015	0.05352	0.0419576	0.0286649	0.0234474	0.0208229	0.0226963	0.0244013
a44	0.0448191	0.0579929	0.0772097	0.0842998	0.0968027	0.116045	0.0911669	0.0850613	0.069966	0.0642842	0.060981	0.0360094	0.0317396	0.0261918	0.02654	0.0308911
a11	0.0309303	0.041172	0.0723594	0.0911638	0.0962231	0.146749	0.11566	0.100741	0.0735282	0.0464168	0.0370821	0.0283899	0.0243905	0.0247538	0.0290672	0.0413718
a10	0.0189531	0.0273064	0.053526	0.0819562	0.112843	0.166004	0.131352	0.114724	0.0686253	0.0382251	0.0315033	0.029242	0.0233033	0.0244043	0.0314629	0.0465694
a75	0.016072	0.0234962	0.0382478	0.051825	0.0955169	0.120205	0.101422	0.102499	0.0594554	0.051422	0.0539614	0.0553694	0.0499133	0.0480489	0.055914	0.0766316
a41	0.0203215	0.029662	0.0538493	0.0646754	0.0847092	0.116336	0.0877834	0.0852262	0.0544402	0.0483468	0.0505199	0.0620891	0.0497189	0.0508992	0.0618259	0.0795972
a25	0.0151597	0.0201691	0.038381	0.0523286	0.066328	0.103753	0.085519	0.0835111	0.0581443	0.0537229	0.0576729	0.07074	0.0648694	0.0659124	0.072392	0.0913964
a87	0.0322947	0.0437255	0.0615393	0.058947	0.0540847	0.082957	0.0756162	0.0833018	0.0546119	0.0479573	0.0479023	0.0500939	0.0480492	0.0552955	0.0801335	0.12349
a23	0.0205469	0.0264659	0.0199903	0.0144995	0.0182132	0.0351692	0.0396092	0.0473088	0.0429252	0.054174	0.0988003	0.0900861	0.134696	0.114351	0.111322	0.131843
a79	0.0186589	0.0187182	0.0177064	0.0138896	0.0110939	0.0215418	0.0231994	0.0261023	0.022945	0.030548	0.0629764	0.0822238	0.14685	0.143256	0.156956	0.203334
a76	0.0394185	0.0434732	0.0514535	0.0445078	0.03995	0.0625731	0.0517952	0.049744	0.0282429	0.0255913	0.0332092	0.0545204	0.0795945	0.100784	0.128721	0.166421
a69	0.0682024	0.0633802	0.0564249	0.0456122	0.0414032	0.0608976	0.0528851	0.0526502	0.0405448	0.0361152	0.0370263	0.0569771	0.0707873	0.0865785	0.107976	0.122539
a57	0.0294757	0.0287468	0.0320866	0.0326194	0.0281541	0.0499359	0.045064	0.0420721	0.03026	0.0239559	0.0264975	0.0503204	0.0783919	0.125513	0.167569	0.209338
a9	0.0178499	0.0210788	0.0234777	0.0227062	0.0183354	0.034692	0.0338448	0.0361996	0.0242481	0.0224197	0.0326589	0.0585788	0.0983395	0.144697	0.183771	0.227103
a79	0.00836212	0.00966447	0.00877861	0.00742161	0.00726672	0.0150831	0.017118	0.0202605	0.0204822	0.0337955	0.0521462	0.0771985	0.152415	0.171395	0.188881	0.209731
a76	0.0196399	0.020793	0.0246077	0.0207236	0.0145995	0.0297323	0.0282139	0.0252282	0.0170889	0.0163592	0.0259917	0.0538039	0.113614	0.156323	0.188869	0.244413
a41	0.0319804	0.0315387	0.0347094	0.026127	0.0194132	0.0264592	0.0239154	0.0251088	0.0194144	0.0208357	0.0262627	0.0480723	0.0793274	0.147202	0.200494	0.23914
a66	0.0143883	0.0164195	0.0278664	0.0269019	0.0178655	0.0252965	0.0211503	0.0193463	0.0138988	0.0164603	0.0226841	0.0471783	0.0752411	0.152472	0.224731	0.2781
a38	0.0059355	0.00758509	0.0118966	0.0138387	0.0111886	0.0196391	0.0169888	0.017765	0.0132263	0.0147403	0.0202519	0.0475478	0.0801305	0.160874	0.237766	0.320626
a14	0.00899257	0.00899117	0.0135083	0.0169853	0.0153034	0.0261377	0.023632	0.0265176	0.0195717	0.0197575	0.0229278	0.0508199	0.0776594	0.151341	0.221912	0.295943
a30	0.00921483	0.00950765	0.0173486	0.0221069	0.020837	0.0325666	0.0265519	0.0267282	0.017576	0.0227497	0.0288052	0.0614569	0.0826809	0.151311	0.205095	0.265464
a14	0.0104675	0.0124929	0.0137976	0.0124699	0.00993965	0.0226926	0.0233057	0.0273366	0.0222984	0.0234663	0.0273767	0.054264	0.0792008	0.151378	0.217072	0.292441
a35	0.0156641	0.014826	0.0193069	0.0204759	0.0147255	0.022802	0.0196822	0.0200006	0.0157847	0.0232028	0.0288763	0.0600045	0.084674	0.159002	0.212412	0.268561
a38	0.00901646	0.00944434	0.0118735	0.0123718	0.00854485	0.0184073	0.0171399	0.0172995	0.0137539	0.0194779	0.0235085	0.0520503	0.0742823	0.148301	0.234769	0.329759
a41	0.00657562	0.00573311	0.00692321	0.00860595	0.00654506	0.0155513	0.0148909	0.0156722	0.0124092	0.0159938	0.0191249	0.0449157	0.0705435	0.148791	0.239237	0.368487
a12	0.00812561	0.00686574	0.00938533	0.0113641	0.00735556	0.0149768	0.0141463	0.0148773	0.0119161	0.0176144	0.0226684	0.0531506	0.0758514	0.156515	0.24315	0.332038
a96	0.00972496	0.0072369	0.0082531	0.0081989	0.00467335	0.00866315	0.00853406	0.00969303	0.00894206	0.0147983	0.0182273	0.0433977	0.0703365	0.15734	0.239948	0.382032
a83	0.0105407	0.00967089	0.010651	0.0096135	0.00549964	0.0106027	0.0113599	0.0140683	0.0129659	0.0165351	0.0216821	0.0517458	0.0698606	0.13729	0.214905	0.39301
a25	0.00844538	0.00756777	0.00898336	0.00917939	0.0053332	0.0110612	0.0120184	0.0150635	0.0144163	0.0173546	0.0234571	0.0535658	0.0735647	0.143211	0.211491	0.385287
a87	0.0167009	0.0125438	0.0109148	0.0100627	0.00623923	0.0125191	0.013997	0.0173254	0.0182928	0.0225092	0.0258151	0.0500721	0.0758775	0.142453	0.218414	0.346264
</S>	0.0368517	0.0259671	0.0144821	0.00735437	0.00236403	0.00475256	0.00611639	0.0073787	0.008911	0.0167986	0.0254625	0.04841	0.0998408	0.159206	0.222501	0.313604
