 	il	s'	est	assuré	qu'	il	n'	y	avait	personne	avant	d'	entrer	</S>
a25	0.0144132	0.0126279	0.0206771	0.0580084	0.134292	0.169629	0.185672	0.13755	0.111159	0.0725215	0.0298003	0.0144194	0.0162846	0.0229444
a53	0.0105925	0.00994129	0.0154841	0.0404136	0.110585	0.165931	0.192011	0.145856	0.121714	0.0829922	0.0396903	0.0203652	0.0196956	0.0247297
a76	0.0192598	0.0182002	0.0249569	0.0557153	0.0877387	0.120345	0.140285	0.118514	0.109256	0.0851519	0.0593931	0.0407632	0.0513131	0.0691076
a73	0.024297	0.0235527	0.0318836	0.0687953	0.0818313	0.0986091	0.108037	0.0919865	0.0847116	0.076386	0.0678606	0.0661594	0.0821286	0.0937614
a84	0.0154757	0.013332	0.0188369	0.0470541	0.0769252	0.111532	0.127816	0.111138	0.0994747	0.0850402	0.0698646	0.0589995	0.0760624	0.0884487
a57	0.00507217	0.0055013	0.00880141	0.0234308	0.0526382	0.101254	0.147458	0.148539	0.139855	0.119253	0.0876906	0.0520834	0.051575	0.0568487
a87	0.00498451	0.00527268	0.00813491	0.02754	0.0564595	0.108663	0.159589	0.147901	0.128691	0.105456	0.0759409	0.0527085	0.0537273	0.064931
a23	0.0151429	0.0161967	0.0216861	0.0575388	0.104514	0.137175	0.132994	0.104284	0.0955089	0.076709	0.0678465	0.0546082	0.0536156	0.0621811
a20	0.0108579	0.00924622	0.0124258	0.0350541	0.0705513	0.102853	0.0994185	0.0793515	0.0800724	0.0668814	0.0656845	0.0728144	0.106698	0.188091
a84	0.0214341	0.0218083	0.0275774	0.0591657	0.0969556	0.0972245	0.0894475	0.0651762	0.0626499	0.0465599	0.0505377	0.051271	0.0917617	0.218431
a82	0.0105533	0.00834072	0.0138438	0.0457152	0.0863815	0.104212	0.114327	0.105289	0.0955862	0.0802827	0.0668902	0.0494187	0.077371	0.141788
a20	0.00529897	0.00501139	0.00681986	0.0144559	0.0371228	0.054251	0.064222	0.0698824	0.0681526	0.0696545	0.0938627	0.0952887	0.164975	0.251002
a44	0.0182581	0.0198334	0.0242617	0.0583074	0.0798532	0.100935	0.114774	0.0904166	0.0784109	0.0542883	0.0451731	0.0422256	0.0755181	0.197744
a26	0.0132793	0.0137564	0.0185409	0.0464422	0.075387	0.114035	0.14969	0.144166	0.122615	0.0974291	0.054093	0.0357266	0.0413674	0.0734718
a90	0.00466931	0.00480089	0.00717935	0.0204812	0.0450148	0.0827376	0.121781	0.136417	0.125094	0.111803	0.0745349	0.051587	0.0748954	0.139005
a57	0.00982418	0.0117295	0.0178183	0.0455405	0.0636809	0.0971761	0.137688	0.154232	0.134508	0.105062	0.0606809	0.0403492	0.0461816	0.0755288
a9	0.00963185	0.00926556	0.0140297	0.0361197	0.0545416	0.0827202	0.106754	0.114216	0.101205	0.0871918	0.0676253	0.0542071	0.0898898	0.172603
a38	0.00689588	0.00736997	0.00811392	0.0102959	0.0184202	0.0332403	0.0454682	0.0656817	0.0685413	0.0787257	0.0968853	0.111	0.196197	0.253165
a76	0.00974962	0.0085812	0.0101594	0.0209797	0.0282606	0.0400274	0.0536318	0.0719936	0.0763429	0.0823269	0.0818279	0.0806695	0.155354	0.280096
a69	0.00982307	0.00894983	0.0119299	0.0269697	0.040635	0.0654804	0.0983102	0.109751	0.10323	0.0836785	0.0601012	0.0475868	0.0892033	0.244351
a58	0.00402569	0.00367374	0.00559842	0.0155031	0.0285051	0.0457607	0.0674367	0.0843362	0.0798915	0.0802915	0.0778335	0.0724437	0.133896	0.300805
a38	0.00371977	0.00337651	0.00476415	0.0122941	0.0215503	0.0358023	0.053479	0.069403	0.0673107	0.071407	0.0816967	0.0769124	0.161183	0.337101
a41	0.00430176	0.00341428	0.00461984	0.0131636	0.0250676	0.0414599	0.0589089	0.0731753	0.0681157	0.0710331	0.0802962	0.0760343	0.154023	0.326386
a37	0.00392137	0.00341759	0.00552211	0.0184262	0.0295485	0.0417704	0.056382	0.0666925	0.0660708	0.0742915	0.0834529	0.0824837	0.147689	0.320331
a26	0.00240436	0.00193228	0.00262217	0.00818032	0.0152939	0.0250537	0.036916	0.0485361	0.0452529	0.0564078	0.0849034	0.0949098	0.20321	0.374377
a75	0.00249317	0.0019785	0.00217121	0.00430416	0.00687405	0.0124622	0.0206926	0.0346064	0.0365817	0.0552558	0.101265	0.129255	0.243018	0.349043
a85	0.0047422	0.00346241	0.0046685	0.0124585	0.0210137	0.0311002	0.043412	0.0530168	0.0491996	0.0543794	0.0816306	0.0865499	0.179187	0.375179
a73	0.00207703	0.00170887	0.00275559	0.0105572	0.0197898	0.0298871	0.0412531	0.049962	0.047572	0.0593745	0.0920021	0.105538	0.193323	0.3442
a20	0.00200971	0.00177636	0.00288165	0.00884703	0.0152664	0.0224068	0.0300869	0.0379783	0.0360032	0.0443116	0.0785693	0.10171	0.219085	0.399068
a73	0.00457952	0.0034679	0.00525665	0.0148332	0.025081	0.0347447	0.0437629	0.0506272	0.0448561	0.0465484	0.0700198	0.0797858	0.174688	0.401749
a94	0.00242293	0.00214356	0.00342048	0.00902885	0.0152129	0.0225215	0.0296126	0.0374789	0.0368069	0.0439999	0.0698743	0.0881843	0.195979	0.443314
a76	0.0016272	0.0012092	0.0014875	0.00372916	0.00600735	0.0103669	0.0164918	0.026321	0.0240871	0.0305322	0.0617879	0.0934683	0.248134	0.47475
a98	0.00449929	0.0031295	0.0047589	0.0141746	0.0306306	0.0458681	0.0576611	0.0651051	0.0552979	0.0555859	0.0780429	0.0875075	0.159959	0.337779
a41	0.00204032	0.00166387	0.00251621	0.00788192	0.0151102	0.0221932	0.0292593	0.0347155	0.0315756	0.0372149	0.0630432	0.0860498	0.205412	0.461323
a37	0.00308775	0.00271236	0.00404419	0.00942299	0.0146775	0.0219728	0.0314016	0.0393396	0.0398541	0.0511201	0.079502	0.0984616	0.192572	0.411832
a26	0.00214419	0.00162731	0.00229757	0.00684611	0.0120007	0.0194461	0.0289459	0.0376543	0.0337036	0.0403559	0.0699775	0.095119	0.216158	0.433724
a11	0.00174971	0.00130465	0.00153704	0.00298542	0.004926	0.00844996	0.0134577	0.0235123	0.0237124	0.0343861	0.0686329	0.112415	0.261653	0.441278
a24	0.00195634	0.00128523	0.00119991	0.00209813	0.00391758	0.0072928	0.0121048	0.0185892	0.017845	0.0231699	0.0490147	0.0877784	0.263263	0.510485
a9	0.00371126	0.00241673	0.00237008	0.00349453	0.00521292	0.00807981	0.0113452	0.0173818	0.0167813	0.0247041	0.0501418	0.0874941	0.235618	0.531248
a87	0.00190604	0.00117586	0.00103533	0.00164069	0.00272398	0.00457439	0.00663289	0.0114452	0.0124935	0.021575	0.0505153	0.10393	0.240816	0.539535
</S>	0.00332375	0.00189212	0.00123208	0.00141573	0.00188551	0.00288241	0.00378295	0.0067733	0.00859898	0.0137684	0.0258806	0.0622349	0.228732	0.637597
