 	le	véhicule	de	nono	est	irréparable	pour	de	bon	</S>
a98	0.0652963	0.0649192	0.103939	0.248216	0.199497	0.10464	0.0626366	0.0517552	0.0460384	0.0530629
a47	0.0763299	0.0782705	0.105145	0.216899	0.159457	0.0830054	0.06945	0.0682901	0.0648734	0.0782801
a37	0.0489873	0.055811	0.0950684	0.206714	0.182974	0.115896	0.0823254	0.0689785	0.0639086	0.0793366
a98	0.0560374	0.062842	0.0926043	0.155315	0.148499	0.115955	0.0968492	0.0843834	0.0836926	0.103821
a92	0.0485241	0.0548276	0.0773207	0.121816	0.10059	0.0739943	0.0907189	0.115746	0.140204	0.176258
a37	0.0527096	0.0532643	0.0758962	0.111577	0.112982	0.0972776	0.0981325	0.112765	0.126409	0.158987
a98	0.0322895	0.0340463	0.0636839	0.107835	0.117529	0.12326	0.125053	0.121646	0.122731	0.151926
a15	0.0530559	0.0493068	0.0738275	0.105001	0.0946789	0.0914735	0.0963987	0.116138	0.140635	0.179485
a20	0.0539997	0.042986	0.0627112	0.0901646	0.0721228	0.0725087	0.0940696	0.126296	0.169237	0.215904
a84	0.0516727	0.0368355	0.0588511	0.0849218	0.0714793	0.0729966	0.0978762	0.130632	0.163618	0.231116
a57	0.0454516	0.0365627	0.058787	0.0819487	0.0791722	0.088696	0.122148	0.130334	0.14375	0.21315
a40	0.066515	0.0352067	0.045828	0.0595768	0.0653661	0.0842455	0.105459	0.1166	0.150599	0.270604
a47	0.06926	0.0360616	0.0405631	0.0492597	0.039183	0.0389153	0.0657248	0.124873	0.212791	0.323369
a37	0.0281959	0.0194767	0.0306273	0.0450956	0.0501424	0.0721859	0.100971	0.147263	0.209403	0.29664
a83	0.0248976	0.0175671	0.0307076	0.0530607	0.0575037	0.0841315	0.11864	0.148158	0.186481	0.278853
a62	0.00996634	0.00951511	0.0220904	0.0432802	0.0535609	0.0906407	0.154024	0.180883	0.186056	0.249984
a31	0.0212724	0.0164634	0.0288053	0.0500048	0.0647852	0.0973959	0.139767	0.158807	0.180288	0.242412
a0	0.00745951	0.00615743	0.0119759	0.023789	0.0335383	0.0656047	0.138006	0.198414	0.230251	0.284804
a11	0.00457915	0.00358207	0.00621461	0.0121421	0.0183328	0.0400924	0.101142	0.18376	0.268012	0.362143
a75	0.001551	0.00129935	0.00242121	0.00463606	0.00882246	0.0234906	0.0695596	0.162047	0.293046	0.433127
a25	0.00548858	0.0052506	0.0141093	0.0235012	0.0293934	0.0478507	0.0954693	0.159931	0.237875	0.381132
a69	0.0027394	0.00287392	0.00705397	0.0115357	0.0160233	0.0314151	0.0810809	0.165916	0.276881	0.40448
a4	0.00205247	0.00209039	0.00557515	0.00979333	0.0130619	0.0321999	0.0958429	0.190276	0.280146	0.368963
a53	0.00113031	0.00117857	0.00222272	0.0037926	0.00662718	0.0162593	0.0606648	0.148561	0.294016	0.465547
a15	0.000513113	0.000579875	0.00127775	0.00240691	0.00435564	0.0127497	0.050579	0.133371	0.287132	0.507035
a44	0.000934549	0.000775023	0.0015956	0.00290178	0.00501141	0.0116306	0.0371738	0.109361	0.269117	0.5615
a38	0.000159114	0.000220787	0.000549963	0.00107072	0.00178024	0.00615733	0.0303457	0.120327	0.310635	0.528754
a70	0.000155209	0.000155482	0.000338032	0.000629748	0.00116857	0.00389681	0.0215087	0.0973266	0.308614	0.566207
a66	0.000319206	0.00037067	0.000665895	0.00112	0.00188543	0.00501342	0.0243047	0.0963807	0.285875	0.584065
a18	0.0021983	0.00199556	0.00346183	0.00482208	0.00647553	0.0128415	0.0448489	0.135012	0.301274	0.487071
a13	0.0138139	0.00777591	0.0094322	0.0100408	0.0115	0.020031	0.0587808	0.142095	0.286385	0.440145
a99	0.0181292	0.00718546	0.00641826	0.00648559	0.00767867	0.0163301	0.0559252	0.142525	0.287373	0.45195
a87	0.0288055	0.013248	0.00868049	0.00836655	0.0130471	0.0259712	0.0741498	0.145321	0.276269	0.406141
a23	0.0848258	0.0503614	0.0329271	0.0348489	0.0437674	0.049245	0.0859442	0.121926	0.217599	0.278555
a87	0.0556071	0.0382609	0.0283045	0.033573	0.0473623	0.0658533	0.103257	0.14788	0.2283	0.251601
a23	0.0122377	0.010399	0.0107112	0.0160148	0.0313647	0.0415023	0.0732558	0.140558	0.289531	0.374426
a87	0.029034	0.0169911	0.0129149	0.0184191	0.0319105	0.0408596	0.0765401	0.140814	0.27417	0.358347
a23	0.0185144	0.0119595	0.00995976	0.0119883	0.0203575	0.0267874	0.0523423	0.118663	0.298111	0.431317
a87	0.0614596	0.0381174	0.0244648	0.030834	0.0421907	0.0412794	0.0613977	0.112535	0.240562	0.347159
</S>	0.0552016	0.0362794	0.0257103	0.0295651	0.0358782	0.0365807	0.0545809	0.114043	0.249475	0.362686
