 	yongo	qui	était	chef	de	can	ton	mbochi	voyageait	toujours	en	chaise	à	porteurs	dans	son	fief	</S>
a90	0.0173247	0.0387036	0.0610542	0.0734963	0.0869447	0.132085	0.132039	0.106854	0.0956652	0.0643308	0.0468014	0.0465063	0.0278173	0.0191521	0.0153749	0.0107351	0.0109675	0.0141478
a4	0.0125915	0.0354763	0.0564102	0.0709843	0.0877632	0.123913	0.128403	0.0917893	0.0820705	0.0696644	0.0552223	0.0511141	0.0347112	0.0250162	0.0220861	0.0150807	0.0162021	0.0215017
a93	0.00785918	0.0238874	0.044496	0.0654175	0.0846783	0.128899	0.140029	0.110369	0.0877368	0.0668966	0.0530704	0.0482967	0.0311151	0.0239971	0.0209142	0.0158787	0.0191061	0.0273524
a70	0.00508408	0.0136164	0.0263879	0.0496183	0.0757757	0.123142	0.141531	0.120202	0.082989	0.0685618	0.0572315	0.0497335	0.0337613	0.0286877	0.0270923	0.0221507	0.0287894	0.0456451
a62	0.00311628	0.00834355	0.0177524	0.0404075	0.0759141	0.119043	0.15723	0.140454	0.0834549	0.0789473	0.0640324	0.0507351	0.0323531	0.025954	0.0239357	0.0189209	0.0238487	0.0355567
a21	0.0023841	0.00593481	0.0124103	0.0302679	0.0693673	0.111952	0.169257	0.167675	0.0891734	0.0894923	0.0715645	0.0525359	0.0318983	0.0238177	0.0187692	0.013667	0.0157346	0.024098
a5	0.00415216	0.00825205	0.0120945	0.0231664	0.0474232	0.0754809	0.117039	0.14201	0.0787019	0.0913305	0.0833576	0.0639663	0.0509501	0.0470966	0.0419418	0.0305581	0.0326446	0.0498336
a43	0.00266757	0.00595688	0.00938873	0.0195598	0.0441048	0.0729752	0.119004	0.13781	0.0656743	0.0851857	0.0831135	0.0600979	0.0501078	0.0504425	0.0495541	0.0389697	0.0427245	0.0626629
a62	0.00160542	0.004057	0.00796388	0.0193043	0.0491401	0.0880053	0.149584	0.157622	0.0641885	0.0890331	0.0846756	0.05574	0.040735	0.0378146	0.0355484	0.0278956	0.0329095	0.0541776
a75	0.00256688	0.00565978	0.0106826	0.0230043	0.0515908	0.0825755	0.126586	0.140231	0.0541139	0.0708948	0.0737798	0.0474775	0.0405953	0.0452054	0.0480391	0.0425244	0.0517134	0.0827588
a85	0.00209622	0.00296849	0.00377397	0.00863243	0.0200312	0.0280183	0.0485827	0.06054	0.0206887	0.0409071	0.05964	0.0438687	0.0515442	0.0794167	0.101689	0.110314	0.125786	0.191502
a47	0.00255355	0.00298085	0.0038256	0.00848289	0.0187228	0.0245059	0.0445561	0.0561707	0.0208336	0.0490003	0.0704269	0.0497264	0.0545725	0.0820856	0.0954271	0.104432	0.117187	0.19451
a92	0.00539716	0.00695956	0.00853341	0.0168564	0.0342305	0.037956	0.0649727	0.0833908	0.0288962	0.0498918	0.068811	0.0462283	0.0505906	0.0773087	0.0841908	0.0832622	0.0871318	0.165392
a37	0.00264672	0.00351592	0.0041949	0.00864254	0.0197263	0.0236855	0.0395232	0.0525101	0.0185016	0.0336201	0.0489862	0.034851	0.0406193	0.0666563	0.0894865	0.105699	0.129314	0.277821
a90	0.00296043	0.00433676	0.00709399	0.0148682	0.0357441	0.0471263	0.0676992	0.0746044	0.0241115	0.0351345	0.0434397	0.0274555	0.0272674	0.0478779	0.066698	0.0823068	0.114328	0.276947
a25	0.00141234	0.00212608	0.0036026	0.00823499	0.0222576	0.0276889	0.0436304	0.0457949	0.0161983	0.0300854	0.0412112	0.0258534	0.0311647	0.063255	0.0923892	0.110109	0.141236	0.29375
a79	0.00213283	0.00331611	0.00514951	0.0103525	0.0240994	0.0266475	0.0444157	0.0448547	0.0197725	0.0379594	0.0469317	0.0286423	0.0343396	0.0651888	0.0874897	0.10462	0.13061	0.283478
a56	0.00254029	0.00345202	0.00471441	0.00936317	0.0221947	0.023531	0.0401432	0.0436316	0.0216114	0.0418375	0.0512355	0.0350016	0.0399837	0.0628781	0.090254	0.109351	0.13552	0.262757
a75	0.001153	0.00169353	0.00247601	0.0055257	0.0140561	0.016879	0.0299732	0.0360291	0.0119437	0.0256723	0.039001	0.0256059	0.0357877	0.0782213	0.111907	0.123561	0.153702	0.286813
a98	0.00139574	0.00195603	0.00251543	0.00525123	0.0123151	0.0143053	0.0248948	0.0283063	0.0119008	0.0248234	0.0367787	0.0264681	0.0314529	0.0578756	0.084357	0.105261	0.143623	0.38652
a79	0.00241887	0.00241607	0.00280728	0.00577828	0.012802	0.0127707	0.0245378	0.0324091	0.0137505	0.0317374	0.0491798	0.0348158	0.0452683	0.0764179	0.0951656	0.112786	0.132111	0.312828
a44	0.00241912	0.00271542	0.00334843	0.00676841	0.0155621	0.0162825	0.0300854	0.036083	0.0159532	0.0347802	0.0474312	0.0319062	0.0389229	0.0649536	0.0873781	0.108311	0.132015	0.325085
a93	0.00148451	0.00187816	0.00264719	0.0052625	0.0125334	0.0163012	0.026331	0.0264656	0.0096202	0.0183356	0.0252928	0.0153261	0.0210524	0.0512731	0.0896476	0.128013	0.18191	0.366626
a70	0.00151771	0.00213814	0.00335464	0.00679362	0.0153795	0.020557	0.0330907	0.0322243	0.0110397	0.0193551	0.0247956	0.0150644	0.0201727	0.0472278	0.0850125	0.131855	0.192513	0.337908
a0	0.00154489	0.00217062	0.00344753	0.00707209	0.0157762	0.0204705	0.0332219	0.0320849	0.0111409	0.0178636	0.0219571	0.0136206	0.0173135	0.038121	0.0696578	0.113405	0.177143	0.403989
a88	0.0021531	0.00351735	0.00672862	0.0125279	0.0235685	0.0297099	0.04196	0.0406838	0.0170766	0.0207875	0.021091	0.0134124	0.0147375	0.0264143	0.0436958	0.0811775	0.158776	0.441982
a66	0.00248174	0.00453703	0.00986932	0.018226	0.0320922	0.0374718	0.0491097	0.0508924	0.0223663	0.0257391	0.0247838	0.016162	0.0169638	0.0275506	0.0429647	0.0800855	0.156247	0.382457
a9	0.00731323	0.00884381	0.0155869	0.0286422	0.0498362	0.0505976	0.0614959	0.0796676	0.0265631	0.0258362	0.0264496	0.0185826	0.021373	0.0363377	0.0484862	0.0794959	0.144515	0.270377
a3	0.0210477	0.018	0.0206017	0.0305541	0.0479481	0.0611756	0.0701635	0.101207	0.0400229	0.0349431	0.0353578	0.0257067	0.0335911	0.0560848	0.0647585	0.090591	0.114698	0.133549
a87	0.0242263	0.0217078	0.0217421	0.0330061	0.0517182	0.0655646	0.0719518	0.113594	0.0439645	0.0435165	0.0414268	0.0359255	0.0471164	0.0550205	0.0568091	0.0794415	0.0949283	0.0983404
a40	0.0250274	0.0211149	0.0207648	0.0344226	0.0510551	0.055384	0.0595432	0.079625	0.0448393	0.045869	0.0451835	0.0423607	0.0587632	0.0524275	0.0556282	0.0794065	0.0993434	0.129242
a7	0.00411251	0.0039441	0.00472098	0.0106925	0.0190931	0.0222374	0.0385821	0.0498656	0.0461745	0.0562027	0.0502401	0.0326573	0.0424111	0.0359678	0.0527115	0.105526	0.178248	0.246612
a44	0.00039664	0.000564307	0.00103779	0.00313033	0.00706429	0.0100143	0.0174883	0.018564	0.0132144	0.0205006	0.0193868	0.0131211	0.0168234	0.0213702	0.0340249	0.0919226	0.233836	0.47754
a56	0.000124263	0.000195059	0.000350072	0.000900665	0.00218205	0.00376534	0.00653106	0.00757198	0.00335118	0.00645512	0.00740064	0.00511446	0.00718691	0.0120286	0.0221373	0.0702718	0.221515	0.622918
a96	0.000161864	0.000289702	0.000490076	0.00117442	0.00258367	0.00441137	0.00741269	0.00990289	0.0047335	0.00960308	0.0107449	0.0076233	0.0103216	0.0152703	0.0276724	0.0726804	0.200187	0.614737
a44	0.00033259	0.000603991	0.000898909	0.00192422	0.00418401	0.00727427	0.0132977	0.0167327	0.00709243	0.0137879	0.0144422	0.00984203	0.013155	0.0189838	0.0332922	0.0854342	0.201979	0.556743
a98	0.000196288	0.00038474	0.000634269	0.0015013	0.00342123	0.00605452	0.0101283	0.0124661	0.00470104	0.00906519	0.011085	0.00808596	0.00990606	0.0164658	0.0278171	0.0667614	0.180323	0.631003
a15	9.07386e-05	0.000163003	0.000281441	0.000695514	0.00157206	0.0023601	0.00424314	0.00426171	0.00238973	0.00816893	0.0110562	0.00929699	0.0135749	0.0311476	0.051233	0.0982238	0.214349	0.546892
a54	0.000102441	0.000176279	0.000262312	0.000580533	0.00128352	0.00176816	0.00300733	0.00303819	0.00179854	0.00548685	0.00712198	0.00582125	0.00901406	0.0213853	0.0388621	0.0920946	0.217046	0.591151
a47	0.000241773	0.000271238	0.000360843	0.000601183	0.00117367	0.00160277	0.00286926	0.00285214	0.00158166	0.00380223	0.00398934	0.00290116	0.00414324	0.00820431	0.0167317	0.0517213	0.167143	0.729809
a7	0.000249216	0.000332017	0.000360511	0.00057304	0.000986376	0.00103216	0.00193762	0.00232267	0.00135173	0.00340611	0.00407736	0.00310645	0.00533246	0.00970815	0.0203462	0.0677243	0.192587	0.684566
a93	0.00154213	0.00176489	0.00251248	0.00363469	0.00493899	0.0041899	0.00591244	0.00713607	0.00481385	0.00772812	0.00719081	0.00539839	0.00820916	0.0147782	0.0261614	0.0749684	0.188823	0.630297
a4	0.0010583	0.00111891	0.00160664	0.00265216	0.00395569	0.00444228	0.00689198	0.00707844	0.00537512	0.00796468	0.00717397	0.00544843	0.00823931	0.0161029	0.0329408	0.0982976	0.207117	0.582536
a70	0.000528652	0.000699163	0.00115194	0.00255768	0.00451042	0.00541129	0.00868193	0.00792241	0.0044387	0.00642338	0.00639809	0.00482889	0.00670077	0.0131394	0.0261862	0.083544	0.194923	0.621954
a13	0.000739221	0.00113371	0.00191084	0.00440215	0.00781058	0.00934223	0.0157265	0.0151997	0.00808833	0.0119557	0.0118466	0.00850405	0.0118766	0.0195341	0.0384897	0.108954	0.209191	0.515294
a53	0.00191972	0.00247774	0.00338945	0.00694944	0.0118222	0.0136903	0.0201901	0.0201417	0.00875214	0.0133149	0.0148985	0.0128928	0.0173359	0.0307613	0.0571396	0.132132	0.212572	0.41962
a56	0.000235285	0.000396902	0.000626342	0.00124347	0.0020808	0.00227255	0.00397391	0.00362443	0.00254433	0.00502119	0.00562191	0.00427859	0.00675336	0.0151207	0.0318477	0.100634	0.228065	0.58566
a44	0.000152189	0.000272307	0.00046488	0.00118303	0.00222902	0.00296403	0.00608071	0.0048141	0.00264259	0.00496534	0.00534064	0.00358619	0.0059619	0.0115881	0.0256275	0.0866726	0.212572	0.622883
a4	0.000319873	0.000556427	0.00103895	0.00258932	0.00497422	0.0064135	0.0111435	0.00966551	0.00480279	0.00795455	0.00863428	0.00646558	0.00884518	0.0158574	0.0333063	0.0993881	0.216311	0.561734
a57	0.000130046	0.000247247	0.000495045	0.00134949	0.00282908	0.00380975	0.00765984	0.00596257	0.00305788	0.00597967	0.00628156	0.0043855	0.00578726	0.0105826	0.0215123	0.0730965	0.20205	0.644784
a3	0.00213373	0.00246185	0.00414985	0.00788562	0.0122462	0.0128292	0.0193922	0.0174723	0.0095324	0.0129802	0.0121574	0.00838358	0.010963	0.0168573	0.0313243	0.0927036	0.196452	0.530076
a87	0.0165715	0.0105493	0.0110127	0.017087	0.0223973	0.019857	0.0283985	0.0403045	0.0263519	0.0301873	0.0274714	0.0199538	0.0267207	0.030166	0.0479598	0.0963871	0.156464	0.372161
a23	0.0458524	0.0286827	0.0208492	0.0272425	0.0289448	0.0173042	0.0257207	0.0593518	0.049682	0.0457115	0.0434249	0.0329393	0.0428071	0.0443992	0.0581606	0.0857075	0.115693	0.227526
a87	0.0112563	0.00741747	0.0048177	0.0059132	0.00694678	0.00416139	0.00699275	0.0126466	0.012764	0.0257638	0.0255488	0.0229369	0.0414832	0.0493293	0.0798821	0.131478	0.203932	0.34673
a23	0.00728651	0.00565816	0.00409432	0.00532334	0.00651333	0.00416158	0.0067538	0.0120347	0.00859715	0.0175135	0.0176669	0.015821	0.0252644	0.0255673	0.0373959	0.0742661	0.179653	0.546429
a87	0.0123492	0.00963468	0.00718271	0.0102285	0.0145233	0.00991404	0.0201201	0.0251409	0.0274791	0.0541362	0.0477674	0.0417785	0.0539279	0.046555	0.0600119	0.085007	0.153191	0.321053
a85	0.0101467	0.00842891	0.00707013	0.0109549	0.0143257	0.00906073	0.0146924	0.0239468	0.0191686	0.0278417	0.0259254	0.023807	0.0287341	0.0263432	0.0344761	0.061073	0.156397	0.497608
</S>	0.0129055	0.00924702	0.00728093	0.0105584	0.0149049	0.00921155	0.01942	0.0276011	0.0310219	0.0662913	0.0601849	0.0477743	0.0613832	0.0526166	0.064604	0.0858494	0.14395	0.275195
