 	ce	voleur	a	beaucoup	de	cicatrices	au	dos	à	cause	de	la	bastonnade	qu'	il	a	reçue	dans	la	rue	</S>
a25	0.0269251	0.0396503	0.0768769	0.136034	0.168096	0.100078	0.0741449	0.0648107	0.0548322	0.0606229	0.0398512	0.0310531	0.0269483	0.0197538	0.0183934	0.0176577	0.0106538	0.00961502	0.00736543	0.00718238	0.00945474
a44	0.0154595	0.0210834	0.0347014	0.0709948	0.114013	0.111374	0.0791416	0.0782689	0.0666191	0.0725159	0.0563267	0.0507309	0.0512931	0.0349235	0.0339714	0.0301338	0.0192874	0.0157093	0.0119664	0.0130725	0.0184133
a24	0.00518386	0.00619726	0.0107076	0.0279018	0.0613979	0.089514	0.0609205	0.0923717	0.0854159	0.0931801	0.0725945	0.0660521	0.0800422	0.046245	0.0474523	0.0386229	0.0207183	0.0172608	0.0154083	0.025334	0.0374789
a61	0.00664808	0.00720084	0.00972799	0.0215309	0.04331	0.0744381	0.0590695	0.0753325	0.090283	0.0952566	0.0856125	0.0849383	0.0867492	0.047923	0.0497951	0.0429073	0.0214843	0.0168873	0.0150173	0.0254294	0.0404588
a31	0.0148875	0.016242	0.0198352	0.0327144	0.0473652	0.0527977	0.0493857	0.0629248	0.0961358	0.0999051	0.0916779	0.0939425	0.0726473	0.0433271	0.0462766	0.0453042	0.0239518	0.0190926	0.0161776	0.022503	0.0329062
a62	0.0138346	0.0144667	0.0179573	0.0276488	0.0395928	0.0460241	0.0453384	0.0577947	0.100632	0.103152	0.0991271	0.101164	0.0715534	0.0476831	0.0501543	0.0508772	0.0295025	0.0218023	0.0168469	0.0205642	0.024284
a47	0.0114584	0.0110481	0.0143807	0.0244914	0.0376122	0.0471091	0.0427646	0.0546959	0.095137	0.0940344	0.0943727	0.0951178	0.0740062	0.051268	0.0543177	0.0561674	0.0352279	0.026765	0.0216989	0.0286436	0.0296828
a21	0.00648849	0.00570535	0.00733697	0.0153793	0.0282316	0.0481833	0.0419602	0.0624713	0.100213	0.0996809	0.0892221	0.0885629	0.0830706	0.0578955	0.0587781	0.0555396	0.0325379	0.0254071	0.0224573	0.0345659	0.0363122
a61	0.00861845	0.00752904	0.00824011	0.0137109	0.0220852	0.0292262	0.0265405	0.0388683	0.0678504	0.0716842	0.0844859	0.101204	0.0925347	0.0595961	0.065952	0.0683938	0.0472974	0.0457182	0.0407692	0.0502235	0.0494721
a75	0.00524099	0.00419689	0.00457132	0.00979883	0.0187317	0.0327122	0.0315221	0.0559489	0.0907596	0.0894543	0.0814829	0.0828564	0.0813059	0.0614861	0.0666085	0.0676923	0.0434685	0.0381559	0.0341577	0.0507217	0.0491274
a25	0.00321881	0.00233577	0.00270009	0.00551653	0.0107605	0.0200509	0.0199349	0.037339	0.0537497	0.0592014	0.0678664	0.0799084	0.0844486	0.0546939	0.0646063	0.064285	0.0526566	0.0589547	0.063921	0.0967794	0.0970719
a69	0.00199699	0.00150154	0.00179165	0.00435225	0.0102997	0.0224435	0.0204824	0.0447271	0.0709523	0.0708156	0.0733605	0.0808382	0.0924505	0.0570704	0.0722626	0.0720274	0.046079	0.043129	0.0401268	0.0800629	0.0932298
a58	0.00243954	0.00197058	0.00274795	0.00614236	0.0118584	0.020548	0.0238977	0.0536486	0.0752689	0.0734554	0.0577751	0.0567901	0.0598538	0.0503487	0.0612834	0.0630833	0.0540195	0.0623218	0.0682144	0.109013	0.085319
a90	0.0052666	0.00444327	0.00459198	0.00769253	0.0127189	0.024819	0.0290537	0.0713398	0.0979073	0.0942112	0.0650692	0.0503676	0.0475412	0.0479942	0.0552631	0.051181	0.0407223	0.0460444	0.0568529	0.0931182	0.0938017
a25	0.00272961	0.0021017	0.00251627	0.00442979	0.00720367	0.0139302	0.0181996	0.0509228	0.0793263	0.0743411	0.0502389	0.0416206	0.0432119	0.0381303	0.0469306	0.0472602	0.0438608	0.0620645	0.085928	0.151707	0.133347
a56	0.00171259	0.00132239	0.0016973	0.00372229	0.00782638	0.013945	0.0156041	0.0442028	0.0686333	0.0603746	0.0417113	0.0394255	0.0449495	0.0337058	0.0418981	0.0417632	0.0320692	0.0434274	0.0682692	0.178914	0.214826
a96	0.00172231	0.0012928	0.00136772	0.00252596	0.00496469	0.00899725	0.0101435	0.0317279	0.0577447	0.053215	0.0402434	0.0418142	0.0453934	0.03283	0.0420391	0.0446335	0.0370061	0.0540247	0.085499	0.192995	0.209819
a83	0.0024291	0.0016723	0.00148721	0.00241649	0.00458864	0.00983499	0.0120824	0.0340646	0.0567591	0.0502347	0.037135	0.0349488	0.0392909	0.0309725	0.0373946	0.0384509	0.0299502	0.0442922	0.0824026	0.207522	0.242071
a21	0.00245734	0.00179186	0.00167434	0.00268819	0.00480754	0.011142	0.0135677	0.0341001	0.0534825	0.0424727	0.0300845	0.0257282	0.0266733	0.024506	0.0289615	0.0315074	0.02468	0.0370847	0.0785557	0.233967	0.290067
a24	0.00298401	0.00184915	0.00131991	0.0019738	0.00362714	0.00790564	0.0089722	0.0179042	0.0266757	0.0249545	0.0259181	0.0300814	0.0338409	0.0249245	0.0297223	0.0324749	0.0297218	0.0500907	0.097809	0.227138	0.320112
a26	0.00176701	0.00125388	0.00109403	0.00183132	0.00353287	0.0084013	0.0101262	0.0218829	0.0314681	0.0251122	0.017436	0.0151016	0.0171199	0.0164494	0.0187782	0.0192513	0.0147332	0.0240951	0.0657726	0.257956	0.426837
a75	0.00817344	0.00757056	0.00613968	0.00733407	0.00942345	0.0194605	0.0222668	0.036833	0.0399324	0.0281654	0.0182606	0.012829	0.0111522	0.0155738	0.0182941	0.0194535	0.0161153	0.027732	0.069234	0.248103	0.357953
a56	0.000629766	0.000391121	0.000420275	0.000734812	0.00181999	0.00352048	0.00410027	0.0116496	0.017644	0.0147031	0.0134373	0.014751	0.0178982	0.0127271	0.0165644	0.0166524	0.0144023	0.0216678	0.0537138	0.274341	0.488231
a90	0.000710737	0.000484541	0.000541176	0.000964165	0.00195508	0.00496359	0.00625209	0.0149633	0.0227889	0.0181894	0.0124428	0.0101503	0.0105247	0.010141	0.0122331	0.0138907	0.0123372	0.021017	0.054395	0.247547	0.523509
a98	0.000586174	0.000382744	0.000424453	0.000776264	0.00171868	0.00444795	0.0054154	0.0140872	0.0229739	0.0185351	0.014344	0.0129572	0.0133669	0.011641	0.014584	0.0166392	0.0145504	0.0236309	0.056324	0.237263	0.515352
a85	0.000387264	0.000265575	0.000330398	0.000651596	0.00171554	0.00351848	0.00388015	0.0126866	0.02037	0.0165187	0.0144204	0.0145824	0.0192612	0.0110616	0.0151107	0.0145372	0.0109217	0.0157356	0.0392866	0.209588	0.57517
a61	0.000451881	0.000322308	0.00040005	0.000712223	0.00178079	0.00352344	0.0041039	0.0135112	0.0217916	0.0185516	0.0166538	0.0165573	0.0204738	0.0122235	0.0163094	0.0159941	0.0121734	0.0167924	0.0411277	0.201351	0.565195
a47	0.00114585	0.000729898	0.00064919	0.000909004	0.00191212	0.00406113	0.0050438	0.0101535	0.012606	0.0105637	0.00880556	0.00736318	0.00764256	0.00737537	0.00943486	0.00982586	0.00728253	0.0141857	0.0410352	0.221814	0.617461
a31	0.00091632	0.000602724	0.000550225	0.000786012	0.00168269	0.00377088	0.00465751	0.00911957	0.0112688	0.00897444	0.00791575	0.00686091	0.00681759	0.00761397	0.00944955	0.0102689	0.00867142	0.0175889	0.0473918	0.228883	0.606209
a24	0.00123287	0.000933565	0.00080248	0.00115946	0.0022305	0.0054668	0.00613293	0.00843531	0.0109986	0.00813169	0.00692557	0.00575899	0.00532092	0.00591391	0.0076104	0.00885462	0.0078833	0.0163133	0.0479221	0.225743	0.61623
a96	0.00125348	0.000965869	0.00102166	0.00154525	0.0025644	0.00564949	0.00800395	0.0120485	0.0120959	0.00870177	0.00496942	0.00368794	0.00379748	0.0048473	0.00647098	0.00711528	0.00711449	0.0174882	0.0528861	0.247917	0.589856
a35	0.00118039	0.000933417	0.00103651	0.00169825	0.00301816	0.00665234	0.00885263	0.0143291	0.0143591	0.00988262	0.00585113	0.00430737	0.00426794	0.00529487	0.00665466	0.00711709	0.00661358	0.014479	0.0459568	0.257452	0.580063
a90	0.000646193	0.000592064	0.000706753	0.000996923	0.001916	0.00300584	0.00443345	0.00829266	0.00884235	0.00622558	0.00359646	0.00233987	0.00220675	0.00300867	0.00388975	0.00423021	0.00448357	0.0105853	0.0336078	0.242189	0.654205
a98	0.000320306	0.000266566	0.000331741	0.000511106	0.00109785	0.00198234	0.00286235	0.00664532	0.00831605	0.00592374	0.00327283	0.00223266	0.00209172	0.00254978	0.00340739	0.00388748	0.004215	0.0108791	0.0350137	0.23277	0.671423
a85	0.00021597	0.000200497	0.000249325	0.000391849	0.000847963	0.00143108	0.00182547	0.00454845	0.00629121	0.00509172	0.0034022	0.00262383	0.00291746	0.00262422	0.00354731	0.00361423	0.0031973	0.00703612	0.0246157	0.21526	0.710068
a43	0.000511473	0.000426949	0.000457856	0.00064465	0.00138559	0.00272504	0.00356103	0.0103179	0.0154505	0.0129743	0.0103031	0.0093895	0.00980038	0.00717911	0.0101681	0.0102418	0.00924166	0.0157828	0.0417647	0.197215	0.630458
a75	0.000338777	0.000301347	0.000382863	0.000714441	0.00128149	0.00259139	0.00360704	0.00584344	0.00668193	0.00523385	0.00335282	0.00317877	0.00453577	0.00434456	0.00704838	0.00692018	0.00583745	0.0142665	0.0444698	0.271038	0.608031
a44	0.00100803	0.000812466	0.000862844	0.00110654	0.00225846	0.00313534	0.00459871	0.00997336	0.0113515	0.00932178	0.00650428	0.00513498	0.00529462	0.00510554	0.00671584	0.00689014	0.0069304	0.0142179	0.0366514	0.222271	0.639854
a98	0.000319333	0.000283853	0.000383035	0.000727617	0.00141796	0.00276294	0.00432699	0.00792268	0.00801856	0.00616578	0.0037892	0.00324642	0.0044093	0.00456993	0.0070493	0.0068763	0.00569874	0.0141818	0.0427216	0.262735	0.612394
a85	0.000500146	0.000487116	0.000627433	0.00103444	0.00213714	0.00305121	0.00407509	0.00679373	0.007708	0.00620132	0.00433784	0.00344596	0.00404661	0.00421015	0.00535242	0.00540501	0.00476541	0.010195	0.0317364	0.247663	0.646227
a44	0.00060705	0.000548309	0.000665218	0.00098099	0.00202683	0.00321868	0.00439679	0.0102731	0.011038	0.00935012	0.00697851	0.00534332	0.00590769	0.00580174	0.00726532	0.00729624	0.00660969	0.0127985	0.0371741	0.222828	0.638892
a98	0.00031589	0.000273252	0.000349469	0.000657689	0.00133504	0.00235803	0.00336898	0.00528072	0.00560472	0.00455294	0.0031343	0.00303139	0.00436866	0.00420348	0.00695478	0.00689294	0.00612143	0.0148799	0.0419615	0.260262	0.624093
a47	0.000781035	0.000702942	0.000836043	0.00125465	0.00271656	0.0040441	0.00548786	0.011238	0.0121549	0.0104824	0.00827227	0.00715113	0.00855726	0.00807864	0.0105306	0.0097961	0.00815406	0.0144141	0.0389544	0.226341	0.610052
a37	0.000449064	0.000388699	0.000472914	0.000813913	0.00181153	0.00312856	0.00407864	0.00786849	0.00888526	0.00815687	0.00617941	0.00528568	0.00667593	0.00569491	0.00754373	0.00734479	0.00667267	0.0138089	0.0366783	0.222733	0.645329
a36	0.00124697	0.00102608	0.00121948	0.00194841	0.00354151	0.00520363	0.00766066	0.00974917	0.00879295	0.00721413	0.00409109	0.00351349	0.00515829	0.0058947	0.00893089	0.00908457	0.00944907	0.0223981	0.0590557	0.295398	0.529423
a27	0.0168501	0.014423	0.0126561	0.014752	0.0176609	0.0247035	0.0337684	0.0317667	0.0255088	0.0204376	0.0125673	0.00948912	0.0113136	0.0154625	0.022629	0.0251811	0.0250905	0.0430767	0.084056	0.243272	0.295335
a82	0.0832724	0.0494967	0.0283325	0.0262883	0.0291711	0.0398236	0.0455169	0.0486072	0.0520661	0.0445559	0.0264736	0.0235474	0.0356165	0.0321162	0.046116	0.0440354	0.0336881	0.0413406	0.0557261	0.104376	0.109833
a87	0.167929	0.102655	0.0480537	0.026855	0.0239149	0.0244631	0.0229587	0.0223461	0.0186462	0.0190542	0.0136831	0.0139993	0.0254346	0.0262902	0.0372793	0.0384832	0.0306901	0.0412984	0.0586267	0.10175	0.13559
a23	0.141476	0.111308	0.0595698	0.0300604	0.0254254	0.0282603	0.0232936	0.0240559	0.0229402	0.023787	0.0183978	0.0182972	0.028448	0.0313395	0.0436824	0.0540891	0.0404908	0.0463458	0.0477172	0.0739657	0.10705
a97	0.0642346	0.0385114	0.0239951	0.0148529	0.0178077	0.0192942	0.0188557	0.0254087	0.0284841	0.0352752	0.0233076	0.0241922	0.0445884	0.0324587	0.0447354	0.0422848	0.0362154	0.048386	0.0662581	0.113469	0.237385
</S>	0.0458257	0.0325911	0.0246191	0.0177104	0.0243181	0.029549	0.027403	0.0485025	0.0504259	0.0562603	0.036192	0.0306287	0.0587607	0.0414372	0.0477744	0.0412904	0.0275014	0.0292291	0.0385577	0.0871361	0.204287
