 	ce	n'	est	pas	lui	qui	m'	a	battu	c'	est	l'	autre	</S>
a21	0.0493838	0.0510066	0.0586695	0.0771569	0.0924991	0.103956	0.111222	0.103498	0.0877081	0.0675924	0.0497907	0.038618	0.0439676	0.0649314
a66	0.0464456	0.0414476	0.0418324	0.05092	0.0621877	0.0716747	0.093098	0.10695	0.109462	0.0984567	0.0817882	0.0612185	0.0591578	0.0753609
a75	0.0275771	0.0228299	0.0254647	0.0355748	0.0480611	0.0617486	0.0835017	0.10831	0.112713	0.11042	0.102473	0.0824874	0.0785116	0.100327
a5	0.0380768	0.0329974	0.0346253	0.045219	0.0550999	0.0580366	0.0727896	0.0884329	0.0976243	0.0943871	0.0911407	0.0831666	0.0896896	0.118714
a41	0.0304659	0.0238289	0.0250784	0.0334107	0.0410897	0.0436255	0.0556866	0.0696425	0.0823928	0.0864046	0.0954712	0.10315	0.128813	0.18094
a94	0.0285063	0.0236678	0.0272308	0.039277	0.0501139	0.0490258	0.0542592	0.0609899	0.0677412	0.0682932	0.0797501	0.0997191	0.146375	0.20505
a98	0.0178772	0.0136027	0.0153516	0.0242844	0.0370633	0.0411257	0.0510789	0.0648369	0.0764977	0.0856236	0.103315	0.109629	0.139112	0.220601
a73	0.0131499	0.0109296	0.0135356	0.0218523	0.0325584	0.0351747	0.0467764	0.0627461	0.076603	0.0826515	0.102145	0.119098	0.159378	0.223402
a84	0.0145257	0.0118834	0.0139067	0.0200357	0.0296694	0.0346423	0.0455157	0.0647392	0.0796121	0.0867769	0.1094	0.12224	0.152533	0.214521
a40	0.0104119	0.00844312	0.00938173	0.0133832	0.0218792	0.0292192	0.0401084	0.0541855	0.0594434	0.0580806	0.0800712	0.114764	0.18367	0.316959
a98	0.0331025	0.0216472	0.022056	0.0279777	0.0359892	0.0383252	0.0475125	0.0572853	0.0697612	0.0728824	0.0918616	0.109894	0.156141	0.215564
a73	0.0117491	0.00869547	0.00994221	0.0140556	0.0204548	0.0237646	0.0326326	0.0441027	0.0553375	0.0624371	0.0892298	0.134627	0.209884	0.283088
a84	0.0150103	0.0128925	0.0145987	0.0191667	0.0257717	0.0292065	0.0350537	0.0457985	0.0543025	0.0612788	0.0834213	0.134857	0.20364	0.265001
a57	0.0036033	0.00304466	0.00348497	0.00464037	0.00733112	0.0107864	0.0149926	0.0228632	0.027923	0.0354226	0.05862	0.128709	0.258441	0.420138
a79	0.00489199	0.00288432	0.00279786	0.00344062	0.00503254	0.00718223	0.00906664	0.0140821	0.0197839	0.0283744	0.0528913	0.133912	0.268726	0.446934
a75	0.00393281	0.00246649	0.00256409	0.00328035	0.00497525	0.00702956	0.00963793	0.0161149	0.0238889	0.035878	0.0658873	0.148791	0.285868	0.389686
a70	0.00796225	0.00519864	0.00525874	0.00679886	0.0103779	0.0126955	0.0155303	0.0213356	0.0288036	0.0380319	0.0652789	0.142431	0.271564	0.368733
a13	0.00509754	0.00363751	0.00413181	0.00581691	0.008561	0.0109336	0.0116436	0.015002	0.0187367	0.0253393	0.0453389	0.108796	0.270882	0.466083
a90	0.00563027	0.00366917	0.00387405	0.00544105	0.00881701	0.0117551	0.01345	0.017835	0.0220654	0.0263857	0.0424058	0.0958221	0.253018	0.489831
a32	0.00702707	0.00440418	0.00432334	0.00517705	0.00724323	0.00980122	0.0111431	0.0153228	0.0210828	0.0300561	0.0543	0.128435	0.286427	0.415256
a90	0.00779676	0.00484895	0.00466542	0.00562314	0.00754911	0.00994906	0.0110145	0.0147882	0.0200983	0.0284566	0.0524639	0.118234	0.271222	0.443291
a32	0.00875582	0.00592057	0.00616285	0.00774393	0.0103489	0.0134286	0.0147326	0.0190372	0.0244913	0.0335277	0.0581601	0.125775	0.270847	0.401069
a90	0.0078788	0.00496047	0.00484704	0.00581226	0.00778706	0.0103904	0.0114085	0.0150409	0.0192957	0.0272333	0.0489997	0.118323	0.277061	0.440962
a4	0.0076059	0.00522338	0.00537862	0.00671155	0.0088633	0.0114439	0.012637	0.0161875	0.0209371	0.0292862	0.05325	0.128815	0.284025	0.409636
a53	0.0116041	0.00849932	0.00900094	0.0112292	0.0148425	0.018837	0.0202701	0.0249536	0.0300528	0.0376248	0.0583647	0.113453	0.244711	0.396557
a69	0.00946738	0.00623833	0.00649077	0.00827756	0.0113628	0.0154721	0.017281	0.0214386	0.02557	0.035326	0.059297	0.121534	0.254158	0.408086
a4	0.0119367	0.00757698	0.00722065	0.00826997	0.0116937	0.0171313	0.0188286	0.0226556	0.0258141	0.0327139	0.0489286	0.106474	0.254475	0.426281
a57	0.0132651	0.00879297	0.00872884	0.0100934	0.0137553	0.0194541	0.0206118	0.0253133	0.0293356	0.0362913	0.0542787	0.109945	0.248012	0.402123
a82	0.00699357	0.00453894	0.00493189	0.00680803	0.00986054	0.013519	0.0158731	0.0202613	0.0250963	0.03082	0.0494618	0.108972	0.257884	0.444979
a87	0.00487479	0.00292957	0.00276549	0.00355692	0.00521479	0.00605888	0.00772703	0.0110225	0.0145321	0.0176719	0.0336693	0.0908641	0.265549	0.533563
</S>	0.00893424	0.00619865	0.00518517	0.00504556	0.00590785	0.00588626	0.00735999	0.0106055	0.0136217	0.0187356	0.0330346	0.0978186	0.271572	0.510094
