 	le	fait	d'	assurer	l'	intermédiaire	entre	deux	amants	est	une	mauvaise	tâche	</S>
a10	0.00699658	0.00439953	0.0030367	0.00327056	0.00506574	0.00567849	0.00839447	0.00878157	0.00510853	0.0108236	0.0201924	0.0465775	0.314979	0.556695
a87	0.0265849	0.0146387	0.0107884	0.00592522	0.00829268	0.0101316	0.01561	0.0250706	0.0130656	0.0312358	0.0538861	0.0925106	0.293327	0.398933
a97	0.0342135	0.0246432	0.0217452	0.0117094	0.015833	0.0202036	0.027423	0.0405616	0.0270646	0.0497708	0.0733741	0.100195	0.236999	0.316265
a87	0.0108226	0.00922713	0.00824091	0.00560475	0.00795574	0.0109079	0.0150066	0.0182807	0.0153545	0.0278512	0.045166	0.0898049	0.267023	0.468754
a97	0.00606338	0.00650002	0.00586348	0.00460629	0.00679955	0.00914906	0.0144902	0.0173526	0.0133771	0.0250094	0.0405566	0.0828599	0.271849	0.495523
a87	0.00484922	0.00569302	0.0051369	0.00432126	0.0063126	0.00860704	0.0133864	0.0157657	0.0134354	0.0250981	0.042531	0.0925955	0.277279	0.484988
a97	0.00745427	0.008643	0.00728566	0.00529276	0.00776344	0.0107202	0.0178348	0.0225691	0.0173385	0.0299655	0.0440501	0.0860945	0.263861	0.471127
a99	0.00487006	0.00587336	0.00486092	0.00356724	0.00551408	0.00795762	0.0134772	0.0184118	0.0170414	0.0307006	0.0491188	0.0994738	0.260411	0.478722
a97	0.0036982	0.00539319	0.00394505	0.00314225	0.0050173	0.00595314	0.00998115	0.0159996	0.0128424	0.0358556	0.0662664	0.133984	0.236647	0.461275
</S>	0.00379572	0.00453059	0.00356951	0.00208877	0.00321244	0.00374187	0.00576576	0.0103272	0.00884487	0.0218924	0.0428578	0.0974557	0.283196	0.508722
