 	pendant	la	saison	de	grandes	pluies	les	populations	de	boundji	se	nourrissent	d'	oseille	et	de	mangues	</S>
a75	0.0112392	0.0126212	0.0181961	0.0300099	0.0523779	0.0859916	0.0969363	0.0911952	0.079085	0.0649947	0.0559717	0.0478172	0.0430699	0.0331953	0.0385633	0.0452067	0.0722402	0.121289
a85	0.0205242	0.0209321	0.0258865	0.0430586	0.0746545	0.127863	0.12235	0.0872756	0.0644173	0.0410963	0.0315124	0.025572	0.0234227	0.0240394	0.0353699	0.0478427	0.0773554	0.106827
a47	0.0180824	0.0178181	0.0210012	0.0322893	0.0576253	0.102099	0.0983345	0.0691553	0.0542262	0.0438907	0.0330625	0.0284899	0.0270532	0.0293076	0.0440129	0.0618725	0.108109	0.15357
a37	0.0231867	0.0217589	0.0266156	0.0403736	0.0633211	0.116357	0.103266	0.0644551	0.0619957	0.0457197	0.0328627	0.0244026	0.0253005	0.0259784	0.0385478	0.0492468	0.0886481	0.147964
a47	0.021472	0.0204325	0.0282091	0.0426381	0.0615106	0.09604	0.0917732	0.0704143	0.0652138	0.0458734	0.0356995	0.0299304	0.0290744	0.0255718	0.0311665	0.045221	0.0870185	0.172741
a37	0.0210546	0.0198572	0.0256283	0.0377827	0.0525577	0.0805758	0.073256	0.05793	0.0627852	0.0493614	0.041544	0.0370682	0.0385347	0.0345454	0.0395237	0.0549218	0.0960255	0.177048
a66	0.0199039	0.0170566	0.0218429	0.0309981	0.0426149	0.063613	0.0645687	0.0556223	0.0584007	0.0463679	0.0403513	0.043779	0.0393472	0.033357	0.0406051	0.0577565	0.106057	0.217758
a61	0.0139242	0.0105363	0.012404	0.0182435	0.0279753	0.0415778	0.0443799	0.0382986	0.040379	0.0316388	0.032059	0.0427582	0.0394856	0.0342018	0.0504009	0.0789404	0.149318	0.293479
a21	0.00454002	0.00471376	0.00736432	0.0162085	0.0393191	0.0849899	0.0795224	0.0554679	0.0700282	0.0401372	0.0362141	0.0355264	0.0367789	0.0421156	0.0677608	0.0868329	0.12064	0.17184
a85	0.0136218	0.0144745	0.0185646	0.0342987	0.0695328	0.116935	0.109789	0.0770614	0.0716336	0.0461598	0.0408783	0.0381624	0.0367435	0.0361726	0.0459433	0.0541759	0.0747115	0.101141
a47	0.0103019	0.00991932	0.012376	0.0196617	0.03677	0.0642151	0.0656906	0.0473014	0.0457589	0.034892	0.0254049	0.0241396	0.0224223	0.0255906	0.0389562	0.0693562	0.153177	0.294066
a37	0.0135319	0.0116452	0.0127465	0.0172983	0.0262601	0.0522341	0.0492069	0.0370265	0.0407291	0.0338003	0.0282637	0.0285559	0.0277192	0.0387313	0.0695126	0.112214	0.170607	0.229917
a66	0.00588106	0.00522591	0.00727378	0.0118682	0.021625	0.0405177	0.0384164	0.0285413	0.0347338	0.0237698	0.0216777	0.0230212	0.0235504	0.0314402	0.0583528	0.108384	0.191339	0.324381
a75	0.00353885	0.00250211	0.00277163	0.003707	0.00699554	0.0121364	0.0124322	0.00964496	0.0133479	0.00971665	0.01161	0.0159625	0.0170828	0.0204969	0.0427548	0.107284	0.25358	0.454435
a85	0.00882991	0.00621693	0.00710783	0.00999878	0.0172578	0.0336053	0.0324599	0.0213181	0.0266901	0.0200538	0.0215977	0.0265925	0.028903	0.0346402	0.0519216	0.0917727	0.184473	0.376561
a35	0.0120385	0.00940164	0.0102116	0.0127056	0.0215199	0.0373657	0.0347878	0.0236887	0.0270545	0.025892	0.0229775	0.0248854	0.0261176	0.0333551	0.0520878	0.0953791	0.18151	0.349021
a66	0.0037438	0.00375351	0.00534905	0.010108	0.0218867	0.0443667	0.0376625	0.0217772	0.0293416	0.0162249	0.0147979	0.0152263	0.0163597	0.022537	0.0455194	0.0926951	0.207429	0.391222
a83	0.000808672	0.000744915	0.00093821	0.00163559	0.00427	0.0106199	0.00918548	0.00572826	0.00853412	0.00465684	0.00496199	0.00491055	0.00552036	0.00850935	0.0235487	0.0690749	0.243903	0.592449
a9	0.000471791	0.000401516	0.000516593	0.0010084	0.00273573	0.00651685	0.00604416	0.00384188	0.00548711	0.00312785	0.00363672	0.00432518	0.00502929	0.00820377	0.0234112	0.0694517	0.242884	0.612906
a99	0.00172153	0.0013921	0.00152534	0.00180471	0.0031255	0.0059487	0.00569176	0.00376747	0.0043531	0.00328554	0.00505888	0.00858539	0.0101152	0.0156032	0.0338158	0.0967464	0.271727	0.525733
a87	0.00397264	0.00244655	0.00204238	0.00185873	0.00235985	0.00370976	0.00343417	0.00245398	0.0034178	0.00303643	0.00587642	0.0132319	0.0181239	0.028503	0.048569	0.113075	0.281212	0.462676
a23	0.00968192	0.00527411	0.00441581	0.00392517	0.00573146	0.00742368	0.00645399	0.00518728	0.00924014	0.0120022	0.0269886	0.0611862	0.0733627	0.0772721	0.0842688	0.12585	0.206792	0.274944
a87	0.00805408	0.00415386	0.00373805	0.00358045	0.00625715	0.00848181	0.00806996	0.00538163	0.0127528	0.014445	0.0283316	0.0469207	0.0557087	0.0664421	0.0781431	0.12209	0.21208	0.315369
a23	0.00279983	0.00191204	0.0023825	0.00277916	0.00427371	0.00544497	0.00489032	0.00315741	0.00730321	0.00908727	0.0179979	0.0325772	0.0377536	0.0468197	0.0639586	0.121004	0.240078	0.395781
a99	0.00617148	0.00340329	0.00352491	0.00413882	0.00701771	0.00991218	0.00870583	0.00537192	0.0128154	0.014306	0.0261761	0.0421615	0.0536565	0.0674502	0.0828398	0.118079	0.204274	0.329995
a97	0.0101648	0.00576699	0.00670727	0.00716387	0.0116428	0.0160012	0.0145422	0.00791605	0.0171519	0.0175206	0.0294553	0.0389472	0.0476816	0.0560495	0.0702424	0.10426	0.196429	0.342357
</S>	0.0102716	0.00621453	0.0077224	0.00710623	0.0102348	0.0145246	0.012532	0.00741162	0.016091	0.0161388	0.0263522	0.0353252	0.040937	0.0453974	0.0554403	0.0930014	0.196487	0.398812
