 	quand	ils	n'	avaient	pas	encore	d'	enfants	la	femme	restait	toute	triste	dans	la	maison	</S>
a34	0.0279398	0.0340307	0.0426954	0.0483979	0.0586572	0.0756664	0.0821419	0.09455	0.10814	0.109841	0.104674	0.0672336	0.0406698	0.0220776	0.018526	0.0262871	0.0384716
a56	0.031397	0.0347931	0.0394974	0.042943	0.0519835	0.0689741	0.0794226	0.0910783	0.103767	0.105721	0.108572	0.0707575	0.0471471	0.0272382	0.0211306	0.0293069	0.0462708
a70	0.0307522	0.0336346	0.037977	0.0417936	0.0504346	0.0668579	0.0809119	0.0929517	0.103405	0.103341	0.102012	0.0669409	0.0445571	0.0279148	0.0235928	0.0346688	0.0582549
a98	0.0219707	0.0267782	0.0356904	0.0454686	0.0553914	0.0675576	0.0733284	0.0802401	0.0911378	0.0917769	0.0999374	0.0711036	0.0515369	0.0338787	0.0307034	0.0470038	0.0764959
a47	0.0228399	0.0292518	0.0363551	0.0478228	0.0613619	0.0763113	0.0889371	0.101069	0.0909982	0.0955807	0.086419	0.0529944	0.0362218	0.029374	0.0303404	0.0436641	0.0704582
a37	0.0199129	0.0244332	0.0326614	0.0460255	0.0653507	0.077294	0.0913189	0.110327	0.100914	0.11113	0.10197	0.0584691	0.0362389	0.0237785	0.0204331	0.0292987	0.0504444
a11	0.016752	0.0196576	0.0248773	0.03453	0.0458633	0.0554543	0.0727045	0.105264	0.122972	0.13109	0.134999	0.0830589	0.0461261	0.024886	0.0185903	0.0243664	0.0388092
a75	0.00993611	0.0131554	0.0183196	0.026612	0.0416666	0.0601956	0.0802537	0.103497	0.12571	0.113635	0.108576	0.0826288	0.0468114	0.0269573	0.0269608	0.0463016	0.0687842
a47	0.017037	0.0204516	0.0248173	0.0334029	0.0441754	0.0533837	0.0680419	0.0949063	0.105538	0.110443	0.121152	0.0758407	0.0465873	0.0368018	0.0375461	0.0440746	0.0658004
a44	0.0124514	0.0188135	0.0252828	0.0376708	0.0502854	0.056887	0.0647566	0.0808281	0.0972274	0.0994786	0.124759	0.0860783	0.0529873	0.0345459	0.0330746	0.0476515	0.0772218
a98	0.00867904	0.0138399	0.0206331	0.0339283	0.0511426	0.0611273	0.0691492	0.0844037	0.0979723	0.0967365	0.117498	0.089687	0.0536381	0.0380602	0.0394548	0.0501816	0.073868
a41	0.0166716	0.0206584	0.0251869	0.033993	0.0446144	0.0515573	0.0623028	0.0805663	0.0937965	0.0956628	0.116578	0.0836839	0.0527663	0.0374373	0.0413859	0.0566036	0.0865346
a37	0.0100847	0.0141158	0.0188363	0.0283609	0.0434356	0.0572801	0.0699446	0.0884801	0.0939833	0.0935459	0.116278	0.0863008	0.0527216	0.0385545	0.0439376	0.0581743	0.0859656
a6	0.00651956	0.00928033	0.0137138	0.0232725	0.0396953	0.0559716	0.0695558	0.0864016	0.0901039	0.0818436	0.0943304	0.0732321	0.0447334	0.0387456	0.0557882	0.0859589	0.130853
a27	0.00702859	0.0085412	0.012314	0.0202014	0.0350738	0.0494874	0.0627202	0.0804486	0.0820347	0.0732931	0.0738489	0.0600512	0.0386561	0.0365374	0.0602589	0.110248	0.189257
a57	0.00409312	0.00430366	0.00592036	0.0107454	0.0217133	0.035276	0.0476466	0.0601965	0.0638523	0.0557359	0.0571083	0.0601392	0.039475	0.04254	0.0815183	0.15537	0.254366
a40	0.011	0.00716781	0.00733417	0.00955554	0.0164646	0.0254397	0.0353284	0.0527364	0.0615314	0.0499262	0.0499104	0.0435333	0.0370674	0.0420101	0.0926111	0.177847	0.280537
a75	0.00760409	0.00558174	0.00681894	0.00988381	0.0170752	0.0251776	0.0340549	0.0478924	0.0514405	0.0436222	0.0437657	0.0395323	0.0385213	0.0469179	0.100587	0.192876	0.288649
a47	0.00899208	0.0091672	0.0126284	0.0204755	0.0342311	0.0476727	0.0607841	0.0842004	0.0897045	0.0802212	0.0792902	0.0599672	0.0439268	0.0405698	0.0593036	0.105017	0.163848
a36	0.00528525	0.00618658	0.00954483	0.0177323	0.0350483	0.0488842	0.0625882	0.0926685	0.0876813	0.0794204	0.0716437	0.0479833	0.0298564	0.0326779	0.058234	0.116752	0.197813
a57	0.002434	0.00250198	0.00366635	0.00713693	0.016024	0.0242463	0.0296633	0.0417773	0.0381758	0.0343983	0.0309216	0.0252771	0.0177469	0.0311381	0.108024	0.233911	0.352957
a87	0.00276839	0.00256557	0.00330629	0.0054838	0.0109138	0.0157505	0.0189552	0.0204705	0.022167	0.0179695	0.0159126	0.0179996	0.0166315	0.0343677	0.122351	0.273021	0.399367
a23	0.0108924	0.00831523	0.006026	0.00618873	0.00964353	0.0116513	0.017283	0.0233772	0.0294625	0.0257034	0.0244809	0.0229231	0.0378976	0.0823451	0.184883	0.238122	0.260805
a99	0.0187894	0.00854897	0.00653142	0.0092252	0.0158665	0.0184838	0.0189932	0.0218884	0.0228868	0.0182191	0.0144737	0.0153326	0.0257876	0.0604512	0.147307	0.224482	0.352732
a38	0.0141342	0.0101713	0.0103178	0.018185	0.0331581	0.0409348	0.0389847	0.0411159	0.032834	0.0277654	0.0206591	0.0172171	0.0198564	0.0407369	0.0942288	0.191369	0.348332
a94	0.00663817	0.00408215	0.00331906	0.00475432	0.00821804	0.0123838	0.0168738	0.0208003	0.0210473	0.0182159	0.0179743	0.0190638	0.0246227	0.0503553	0.123599	0.247605	0.400447
a15	0.00219837	0.00145684	0.00124771	0.00218773	0.00428876	0.00733176	0.0111229	0.0151337	0.0153834	0.0144389	0.0176303	0.0157514	0.0184665	0.0399809	0.112779	0.274044	0.446558
a56	0.000476768	0.000418762	0.000536445	0.00119081	0.00291772	0.00541497	0.00748858	0.00993269	0.00865073	0.00760329	0.0076045	0.0070607	0.00986067	0.0292519	0.096789	0.287505	0.517297
a11	0.000391235	0.00034096	0.000376578	0.000818171	0.00176604	0.00297359	0.00446393	0.00659089	0.00677521	0.00637353	0.00934575	0.00859526	0.0110027	0.0292351	0.103276	0.295671	0.512004
a62	0.000630291	0.000604417	0.000671423	0.00133047	0.00279512	0.00422875	0.0060173	0.00807217	0.00865289	0.00761876	0.010716	0.0108557	0.0121141	0.0291572	0.0968706	0.291153	0.508512
a21	0.00133069	0.00140234	0.00165133	0.00285172	0.00522077	0.00658405	0.00833293	0.0104982	0.0114489	0.010328	0.0159881	0.0163003	0.0182219	0.0381804	0.104659	0.275145	0.471856
a85	0.00122236	0.00124377	0.00143971	0.00245886	0.00467943	0.00719282	0.0104053	0.0135072	0.0142812	0.0138068	0.0195536	0.0194186	0.03144	0.0688968	0.156089	0.269387	0.364977
a37	0.00113914	0.00139263	0.00198401	0.00450807	0.00982129	0.0146297	0.0176696	0.0224215	0.019775	0.0179062	0.018523	0.0158221	0.0199808	0.0507457	0.128471	0.257694	0.397516
a75	0.000491644	0.000556697	0.000701404	0.0013614	0.00266661	0.00391872	0.00517644	0.00707465	0.00734953	0.00644131	0.00986354	0.00944448	0.0121667	0.0288095	0.0980369	0.282515	0.523425
a85	0.00086653	0.00100237	0.00145699	0.00326512	0.00688559	0.0102304	0.0116937	0.0150292	0.0141582	0.0137425	0.0169411	0.0151411	0.0151674	0.0354211	0.11602	0.285298	0.437681
a47	0.00286034	0.00468651	0.00697592	0.013812	0.0254073	0.0321968	0.0351965	0.0439182	0.0370624	0.0344475	0.0304132	0.0236736	0.0211183	0.0455466	0.107663	0.216028	0.318994
a73	0.00100591	0.00161067	0.0027694	0.00802428	0.0228129	0.0357269	0.0351312	0.0397634	0.0289454	0.0260311	0.0254288	0.0193775	0.0132838	0.0307648	0.0857028	0.222642	0.400979
a44	0.00120116	0.00168283	0.00251837	0.0064193	0.0157017	0.0220897	0.0211177	0.0251595	0.0199113	0.019652	0.0230898	0.018529	0.0129237	0.0301163	0.0947889	0.255585	0.429514
a38	0.000552779	0.000788448	0.00117027	0.00285657	0.00653953	0.010211	0.0122133	0.0145494	0.0129448	0.00988924	0.0102932	0.0090291	0.00673731	0.0166312	0.0727264	0.286629	0.526238
a90	0.00108695	0.00106444	0.00122888	0.00231692	0.00478386	0.00667228	0.00714065	0.00770839	0.00761719	0.00610331	0.00580693	0.00720464	0.0078104	0.0220472	0.0934045	0.287979	0.530025
a25	0.00029331	0.000300332	0.00041882	0.000981408	0.00208349	0.00332213	0.00419441	0.00565877	0.00545301	0.00426412	0.00476535	0.00477375	0.00442728	0.0121897	0.0715075	0.300452	0.574915
a56	0.000604835	0.000759906	0.00124451	0.00307653	0.00750644	0.0128384	0.0142087	0.0167961	0.0138859	0.0115521	0.0122627	0.0103998	0.00723078	0.0173554	0.08108	0.276269	0.512929
a11	0.000331613	0.000430524	0.000638435	0.0016421	0.00376567	0.00574133	0.00597401	0.00694769	0.00609952	0.00506805	0.00584105	0.00621989	0.00534575	0.0140286	0.0713947	0.291054	0.569477
a75	0.000364434	0.000471664	0.000643634	0.00150233	0.00322509	0.00451325	0.0047595	0.00525787	0.00513748	0.00428693	0.00543102	0.00611447	0.00583539	0.0146346	0.072013	0.276629	0.589181
a96	0.00110465	0.00122545	0.0016208	0.00396626	0.00916679	0.0144518	0.0159694	0.0178612	0.0137125	0.00981116	0.0095035	0.00958603	0.00916876	0.0238665	0.0961156	0.283959	0.47891
a83	0.000562825	0.000775781	0.0010434	0.00230165	0.00469687	0.00619747	0.00619518	0.00651646	0.00617881	0.00502115	0.00587665	0.00623535	0.00576961	0.0146047	0.0657594	0.257494	0.604771
a62	0.000562552	0.000701946	0.000861429	0.00171539	0.00331105	0.00422178	0.00434036	0.00479164	0.00503384	0.00441856	0.00571728	0.00687481	0.00624743	0.015103	0.0677882	0.260912	0.607398
a83	0.0018397	0.00220578	0.0023596	0.00360198	0.00575079	0.00620112	0.00609327	0.00623748	0.00683386	0.00643849	0.00975984	0.0108367	0.00905524	0.0193024	0.0761879	0.263413	0.563883
a38	0.00174717	0.00200965	0.00211652	0.0032735	0.00538909	0.00620366	0.00690427	0.00805798	0.0096014	0.00941855	0.0135288	0.0162508	0.0120324	0.0227753	0.0803326	0.261393	0.538966
a21	0.000744264	0.000740432	0.000811281	0.00150317	0.00298508	0.00391043	0.00443935	0.00502411	0.00582126	0.00565454	0.00760877	0.0106088	0.00906292	0.0220419	0.0895188	0.277112	0.552413
a62	0.00156321	0.00132124	0.00144236	0.00258751	0.00498539	0.00679	0.00791764	0.00964638	0.00944497	0.00741441	0.00803673	0.00900879	0.00864796	0.0186475	0.0722732	0.242968	0.587305
a21	0.00188789	0.00195646	0.00206099	0.00299829	0.00506608	0.0064845	0.00767131	0.00974606	0.0102404	0.00892829	0.0109318	0.0105421	0.00812635	0.0158019	0.0613406	0.232928	0.603289
a88	0.00325421	0.00281021	0.00307922	0.00538211	0.0104321	0.0139577	0.0147052	0.0153412	0.0150565	0.0119366	0.0147117	0.0177568	0.0193555	0.0378834	0.102775	0.239068	0.472495
a21	0.00131245	0.00167594	0.00193713	0.00309829	0.00511018	0.00598966	0.00643984	0.00703042	0.00766381	0.00705621	0.0100827	0.0115722	0.00846362	0.0167738	0.0677567	0.25615	0.581887
a12	0.00363272	0.00314199	0.00357452	0.00639929	0.0120277	0.0157711	0.0172182	0.0196616	0.0179003	0.0138712	0.0138722	0.0148757	0.0141559	0.0277589	0.0889688	0.23739	0.48978
a88	0.00155949	0.00181635	0.00213516	0.00364387	0.00639155	0.00823555	0.00917999	0.0105961	0.010325	0.00880728	0.0102669	0.0103396	0.0079742	0.0160815	0.0673486	0.243996	0.581303
a71	0.00161185	0.00202743	0.00239105	0.00427265	0.00753894	0.00911088	0.010004	0.0111079	0.0133904	0.0135416	0.0202351	0.0238234	0.0160826	0.0279232	0.0868508	0.257406	0.492682
a9	0.00508975	0.00544046	0.00522497	0.00742177	0.01269	0.0155357	0.0182159	0.0215599	0.0244772	0.0247956	0.031948	0.0305917	0.0214209	0.0417173	0.118856	0.246592	0.368423
a87	0.0282329	0.0203289	0.0164632	0.0158724	0.0198696	0.0234749	0.0290453	0.0404041	0.0488884	0.0481096	0.0557232	0.0442861	0.0515915	0.0858866	0.139327	0.157648	0.174848
a23	0.0421444	0.0246981	0.0192128	0.0149673	0.0193362	0.0280684	0.0419095	0.0683575	0.0879408	0.0896961	0.0699092	0.0479483	0.0488416	0.0658068	0.0976032	0.111808	0.121751
a87	0.0444987	0.0199018	0.0144578	0.0178052	0.0317401	0.0488289	0.0647525	0.0834217	0.0849321	0.0723957	0.0467968	0.0387706	0.0377616	0.0571358	0.0874006	0.105696	0.143704
</S>	0.0161095	0.0100101	0.0109214	0.0179811	0.0384972	0.0564737	0.0593668	0.0650194	0.046665	0.0378792	0.0213539	0.0176954	0.0199801	0.043277	0.0893954	0.170697	0.278678
