 	la	mère	écarquillait	l'	oeil	de	son	enfant	pour	y	mettre	le	médicament	</S>
a54	0.0247798	0.0363203	0.0733596	0.154542	0.159331	0.141786	0.134266	0.0795242	0.0529016	0.0292369	0.0200321	0.017481	0.027253	0.0491865
a47	0.00944548	0.0117062	0.0323843	0.0713684	0.0910701	0.101796	0.118129	0.102379	0.0776091	0.0661949	0.0683901	0.0551097	0.0744501	0.119968
a37	0.00507103	0.0067892	0.0223175	0.0622411	0.0884876	0.11934	0.135248	0.10541	0.0772404	0.0667171	0.0669002	0.0525562	0.0726948	0.118986
a79	0.0075613	0.00925825	0.0272437	0.0831145	0.105678	0.122106	0.145193	0.108653	0.0762756	0.0515901	0.0463654	0.0378001	0.0628738	0.116288
a37	0.0032354	0.00369187	0.0133921	0.0434669	0.0581692	0.0835721	0.121837	0.111085	0.0775122	0.0690737	0.0862076	0.0733935	0.0971115	0.158252
a6	0.00455265	0.00522965	0.0157883	0.0519014	0.0730901	0.090674	0.12417	0.116524	0.0825018	0.0661515	0.0738373	0.0596757	0.0871457	0.148758
a36	0.00175962	0.00179675	0.00551241	0.0163597	0.0222092	0.0443395	0.0837795	0.0945794	0.0730232	0.0716025	0.103353	0.104276	0.149992	0.227417
a31	0.00794862	0.00689221	0.010389	0.0191581	0.0258562	0.0382248	0.0653716	0.0790967	0.0605797	0.0546921	0.078093	0.0827076	0.173823	0.297167
a0	0.00485585	0.00478843	0.00945241	0.0249089	0.0430534	0.0694986	0.0923708	0.0943827	0.0702728	0.0633802	0.075262	0.075541	0.143972	0.228261
a24	0.00618252	0.00644649	0.0107622	0.0216131	0.0380514	0.0691454	0.0928334	0.0923582	0.0717545	0.066471	0.0763925	0.0848918	0.142625	0.220472
a9	0.00587976	0.00578894	0.00940335	0.0166403	0.0263174	0.0531283	0.0810838	0.0750722	0.0583915	0.0593192	0.0734918	0.106057	0.16632	0.263107
a87	0.00755976	0.00749808	0.0102164	0.0117226	0.0142961	0.0276453	0.0513443	0.0534171	0.053945	0.0632338	0.0766609	0.119551	0.204273	0.298637
a23	0.0242931	0.0161473	0.0164311	0.0154715	0.0171545	0.027486	0.0502533	0.0732962	0.0850384	0.104206	0.125976	0.137917	0.146491	0.159838
a13	0.0224952	0.00923755	0.00748731	0.00585953	0.00592836	0.0103206	0.0164929	0.0236118	0.0216961	0.0405628	0.079414	0.157407	0.265715	0.333771
a50	0.00326971	0.0016028	0.00240657	0.00321464	0.00374526	0.00763343	0.0168945	0.0279461	0.0296427	0.0476754	0.109396	0.176521	0.233903	0.33615
a83	0.000963262	0.000507836	0.000646711	0.00141261	0.00259469	0.00689094	0.0156895	0.0256098	0.0285484	0.0531829	0.104991	0.187397	0.255047	0.316517
a71	0.000659444	0.000463451	0.000582579	0.00112297	0.00210425	0.00518893	0.0122621	0.0195303	0.022533	0.0412514	0.0832819	0.179076	0.272195	0.359749
a38	0.00116552	0.000931148	0.000897109	0.00109581	0.00172709	0.00395345	0.00841062	0.0125958	0.013923	0.0243116	0.050051	0.145913	0.303302	0.431723
a36	0.000721992	0.000565256	0.000541141	0.000758324	0.00127443	0.00302347	0.00694912	0.0105573	0.012513	0.0222482	0.0494513	0.145797	0.295733	0.449867
a37	0.000813755	0.000634071	0.000653324	0.000710894	0.00102754	0.00219938	0.00502228	0.00828921	0.0102024	0.0174067	0.0411994	0.130158	0.303764	0.477919
a36	0.00100737	0.000819102	0.000920297	0.00101732	0.0013709	0.0028406	0.00599582	0.00954535	0.0116456	0.0195066	0.0428462	0.134378	0.310919	0.457188
a37	0.000730712	0.000556337	0.000714926	0.000987192	0.00141451	0.00334287	0.00727441	0.0117922	0.0131757	0.0211197	0.0449198	0.135526	0.297503	0.460943
a5	0.000831192	0.000642272	0.000891426	0.00140289	0.00198642	0.00465121	0.00986583	0.0152493	0.0161529	0.0245438	0.0482601	0.143166	0.301529	0.430827
a37	0.00109086	0.000754762	0.000941126	0.0016714	0.00261815	0.00674504	0.0122105	0.0199761	0.0254874	0.0456682	0.0707216	0.156872	0.325594	0.329649
a26	0.000348796	0.000264208	0.000314489	0.000562786	0.000963038	0.00267521	0.00606146	0.0112711	0.0139657	0.0248944	0.0421523	0.116126	0.306048	0.474352
a50	0.000716499	0.000628271	0.00106665	0.00196142	0.00303074	0.00658619	0.0124162	0.0172114	0.0164181	0.0222799	0.0404489	0.122337	0.289274	0.465625
a88	0.000957189	0.000704314	0.000840747	0.00153083	0.00223811	0.00632972	0.01318	0.018801	0.0189476	0.0292986	0.0478587	0.133336	0.280339	0.445639
a71	0.000453937	0.00036602	0.000427292	0.000857518	0.00136349	0.0038329	0.00876232	0.014429	0.0170337	0.0282795	0.0426876	0.120036	0.305286	0.456185
a9	0.00113057	0.00109682	0.00136229	0.00229583	0.00317871	0.0062858	0.011695	0.0155687	0.0153797	0.0208362	0.0407155	0.124809	0.294989	0.460657
a87	0.00237998	0.0013784	0.00158362	0.00290721	0.00393132	0.00955924	0.0182108	0.0255546	0.0252778	0.0385216	0.0695386	0.158955	0.276921	0.365281
</S>	0.168683	0.0924226	0.0391914	0.0238873	0.0181094	0.0271597	0.0358034	0.0387409	0.0307326	0.0402316	0.061339	0.0977365	0.153006	0.172956
