 	sa	femme	l'	a	quitté	parce	qu'	il	est	devenu	écervelé	</S>
a56	0.0313939	0.0336344	0.0412933	0.0759891	0.120768	0.156546	0.171992	0.12545	0.0635997	0.0414125	0.0529871	0.084934
a34	0.0252921	0.0255009	0.0342108	0.0715751	0.133402	0.178853	0.180214	0.122413	0.0695928	0.0434886	0.0456132	0.0698444
a56	0.0147824	0.0143949	0.0188617	0.0422301	0.100892	0.16445	0.191561	0.134177	0.0788524	0.0580277	0.0705917	0.111179
a75	0.0126747	0.0120721	0.0147925	0.0298361	0.0701395	0.132613	0.182415	0.151232	0.101762	0.0766673	0.0807555	0.13504
a92	0.0104557	0.00912311	0.00971367	0.0142957	0.0256892	0.0538598	0.0945156	0.0952316	0.0854446	0.120699	0.175431	0.305542
a41	0.00938499	0.00862238	0.00939125	0.01518	0.0298788	0.0623032	0.100745	0.0955202	0.0805048	0.1065	0.180464	0.301505
a75	0.00681244	0.0055251	0.00568035	0.00804349	0.013664	0.0357025	0.0759722	0.0969748	0.088889	0.120588	0.204164	0.337984
a92	0.00549434	0.00444203	0.00465743	0.00654386	0.0107936	0.0243953	0.0504943	0.0716961	0.0780326	0.123018	0.201388	0.419044
a98	0.0057877	0.0045526	0.00463759	0.00616363	0.00931709	0.0213246	0.043351	0.0656686	0.0779433	0.126938	0.227044	0.407272
a15	0.006401	0.00507936	0.00558734	0.00800594	0.0128967	0.0326034	0.0577558	0.0789169	0.0941569	0.147574	0.22034	0.330682
a44	0.0057339	0.0045986	0.00503989	0.00689593	0.0102281	0.020976	0.0372055	0.0481734	0.0649108	0.125295	0.244882	0.426062
a11	0.00243398	0.00176502	0.0019147	0.00274436	0.00420844	0.00773074	0.0152804	0.0287427	0.0525242	0.13708	0.275771	0.469804
a31	0.00210579	0.00142893	0.0014337	0.00190245	0.00299739	0.0052923	0.0110364	0.0227364	0.0456853	0.134125	0.293796	0.47746
a88	0.00150885	0.00104438	0.00101306	0.00133119	0.00214258	0.00423199	0.0113615	0.0218589	0.0436102	0.12875	0.33084	0.452308
a11	0.000682043	0.000503972	0.000457449	0.000504299	0.000717878	0.0012418	0.00348795	0.00853208	0.029203	0.144541	0.344748	0.46538
a88	0.00121387	0.000991717	0.000908183	0.000886961	0.00107797	0.00137172	0.0030569	0.00807954	0.03329	0.166336	0.345971	0.436816
a9	0.00304705	0.0021837	0.00185341	0.00162009	0.00180981	0.00232058	0.00453321	0.00999828	0.0347084	0.154594	0.346656	0.436675
a97	0.0220067	0.0114777	0.00796284	0.00580885	0.00560974	0.00707242	0.010152	0.0180676	0.0468069	0.15713	0.290615	0.417291
a87	0.0557861	0.0336666	0.0248823	0.0156871	0.0160642	0.0198792	0.0329451	0.0468511	0.0808654	0.19713	0.220384	0.25586
a57	0.0954882	0.0568475	0.0345745	0.0189877	0.0218225	0.0278372	0.053486	0.0589441	0.0765158	0.137033	0.212919	0.205544
a97	0.0898774	0.0524142	0.0297523	0.0157971	0.0183099	0.0287706	0.0485214	0.0477233	0.0623786	0.100062	0.232399	0.273994
a38	0.071948	0.0466375	0.0313976	0.0212995	0.0300614	0.0459736	0.0694912	0.0588539	0.0641648	0.102328	0.190825	0.26702
a9	0.020434	0.0128527	0.0113569	0.00949583	0.0130263	0.0211479	0.0339521	0.0377873	0.0513365	0.0893406	0.241944	0.457325
a97	0.0455157	0.0288122	0.0222887	0.0173119	0.0262093	0.0415658	0.0579546	0.0517324	0.0576055	0.0926989	0.184898	0.373407
</S>	0.0663608	0.0448391	0.0341252	0.0257008	0.0368575	0.0508015	0.0623219	0.0507761	0.0540544	0.0842457	0.171296	0.318621
