 	j'	ai	loupé	l'	ami	que	je	suis	allé	voir	hier	</S>
a24	0.000750251	0.000854817	0.00203571	0.00374665	0.00619108	0.00937448	0.0158717	0.0253093	0.0746302	0.154271	0.263196	0.443769
a66	0.000691597	0.00078451	0.00178269	0.00319594	0.00511349	0.00769433	0.0123329	0.0193095	0.0606516	0.144442	0.26939	0.474611
a36	0.00197367	0.00216115	0.00338424	0.00673752	0.011869	0.013829	0.0175258	0.0222564	0.0647158	0.131506	0.258521	0.465521
a26	0.000817261	0.000940878	0.00138017	0.00307454	0.0055209	0.00668584	0.0090399	0.0119824	0.0440587	0.116788	0.285371	0.514341
a84	0.00674703	0.0058411	0.00614996	0.0101151	0.0127098	0.0134916	0.0159575	0.022883	0.0649528	0.143768	0.292151	0.405233
a4	0.0196161	0.0140819	0.012291	0.0146038	0.0159719	0.0177706	0.0206642	0.0318766	0.0713504	0.150643	0.272676	0.358455
a58	0.0016474	0.00181239	0.00204537	0.0042283	0.00750801	0.0103442	0.0142846	0.0230615	0.0785001	0.159874	0.293983	0.402711
a84	0.00125285	0.00146032	0.00164995	0.00325035	0.00523181	0.00755019	0.0103423	0.017283	0.0621958	0.15113	0.309047	0.429607
a87	0.0108679	0.00849852	0.00736293	0.00972404	0.0117021	0.0143706	0.0166998	0.0271811	0.0664186	0.149082	0.288929	0.389163
a23	0.155609	0.0924957	0.0577302	0.0510748	0.0502719	0.0536944	0.0517116	0.0544793	0.0579994	0.0878845	0.128147	0.158902
a87	0.0905173	0.0627306	0.0446813	0.0399062	0.0486318	0.0675358	0.0656893	0.0629583	0.072925	0.105726	0.157097	0.181602
a23	0.0374757	0.0301835	0.0234428	0.0255215	0.0342342	0.0581785	0.0690144	0.0667941	0.077672	0.119899	0.196394	0.26119
a87	0.0411612	0.0296584	0.0228151	0.0268023	0.0367032	0.0663012	0.0891354	0.0871664	0.0913386	0.129475	0.178483	0.20096
</S>	0.0362703	0.0311504	0.0249938	0.029623	0.0406771	0.0677943	0.0772912	0.0686068	0.0738364	0.11675	0.190674	0.242333
