 	à	la	tombée	de	la	nuit	tout	le	village	est	dans	l'	obscurité	</S>
a62	0.000711356	0.000539133	0.000693414	0.00115931	0.00205992	0.00410329	0.00852218	0.010985	0.0241885	0.0366537	0.0860572	0.14114	0.230083	0.453104
a0	0.00149342	0.00112297	0.00129266	0.00189822	0.00310064	0.00586957	0.0114863	0.0141278	0.0293631	0.0420566	0.0875256	0.11952	0.195903	0.48524
a75	0.00125154	0.00102914	0.00118044	0.00171355	0.00257294	0.00468998	0.00955197	0.011733	0.0287963	0.0363234	0.0736471	0.10501	0.181162	0.541338
a21	0.000580842	0.000450864	0.000529834	0.000858384	0.00141475	0.00252707	0.00623868	0.00894011	0.0282305	0.0440944	0.112287	0.155632	0.161946	0.47627
a61	0.00120183	0.000964628	0.00102267	0.0014233	0.00204987	0.00347876	0.00728764	0.00980577	0.0238554	0.037232	0.0835244	0.124994	0.178624	0.524536
a18	0.000820002	0.000632723	0.000692657	0.00101422	0.00148049	0.00261129	0.0056318	0.0073008	0.0203257	0.0300594	0.0722266	0.113887	0.177349	0.565968
a70	0.00763028	0.00568701	0.00524285	0.00640671	0.00709332	0.00786137	0.0125159	0.0134276	0.0328732	0.0361162	0.0682639	0.0918009	0.127291	0.577789
a13	0.00691206	0.00542845	0.00535118	0.00685991	0.0082508	0.00973123	0.0156982	0.0158405	0.0370022	0.0379391	0.0675617	0.088472	0.11683	0.578123
a9	0.0140005	0.0106423	0.00988537	0.0119642	0.0135463	0.0148565	0.0208571	0.0199591	0.0404599	0.0395576	0.0648491	0.0841662	0.113697	0.541559
a3	0.0740738	0.0521774	0.0409353	0.0408685	0.0408477	0.0359388	0.0361402	0.0314542	0.0431906	0.042583	0.0567267	0.0706469	0.0990736	0.335343
a97	0.105992	0.0581922	0.0325673	0.027438	0.0251445	0.023848	0.0283324	0.0343903	0.0490342	0.0723911	0.0969217	0.122727	0.141589	0.181432
</S>	0.107673	0.0618023	0.0318567	0.0258351	0.0227024	0.0229032	0.030822	0.0423721	0.0585448	0.0837601	0.101644	0.126978	0.148741	0.134366
