 	pendant	la	période	de	pluies	les	gens	attrapent	des	poissons	dans	les	barrages	à	nasses	</S>
a21	0.0279518	0.0511795	0.169676	0.144673	0.141235	0.117401	0.0902221	0.0642263	0.0478923	0.0280618	0.0193068	0.014929	0.0167972	0.0178976	0.0209667	0.0275838
a18	0.0398558	0.0545562	0.176555	0.141534	0.127833	0.117988	0.0962522	0.0762976	0.0524139	0.0298394	0.0177741	0.0142662	0.0132893	0.0131139	0.0132007	0.0152319
a25	0.025699	0.0350967	0.137192	0.142564	0.165566	0.118492	0.0877252	0.0623888	0.0463033	0.0296728	0.0207743	0.0205904	0.0212209	0.0216013	0.0275977	0.0375163
a38	0.0229033	0.0317841	0.110708	0.10454	0.133526	0.106837	0.0819683	0.0661622	0.0472605	0.0286434	0.0251815	0.0252995	0.0285037	0.0382978	0.0567515	0.0916325
a75	0.0240576	0.0295951	0.0906342	0.0990642	0.140842	0.116713	0.092462	0.07533	0.0495697	0.0291356	0.0237599	0.0233198	0.0241501	0.0358346	0.0565059	0.0890268
a85	0.0237261	0.0217245	0.0695502	0.075266	0.129332	0.118179	0.0921654	0.0732164	0.0432815	0.0299069	0.0362618	0.0349814	0.0417031	0.0548389	0.0646272	0.0912405
a47	0.0260949	0.0238446	0.0589999	0.0703158	0.107749	0.106292	0.0853813	0.0758708	0.0569525	0.0430713	0.0482403	0.0428929	0.0511486	0.0573437	0.0639347	0.0818682
a36	0.053336	0.0459879	0.0807948	0.0851308	0.135166	0.10727	0.0796383	0.060159	0.0386095	0.0260919	0.0282713	0.0272879	0.0326554	0.0389688	0.0583667	0.102266
a57	0.0921166	0.0663084	0.0811766	0.0823234	0.115853	0.0934018	0.0724747	0.0536841	0.0395442	0.0243013	0.0223584	0.0224973	0.0271899	0.0374828	0.0612491	0.108039
a87	0.0497985	0.0418463	0.0677336	0.0695515	0.0906963	0.0738085	0.060391	0.0526879	0.0413018	0.0281498	0.0296046	0.0299305	0.0318061	0.0447669	0.0895685	0.198358
a23	0.0341489	0.0333566	0.0655336	0.0466811	0.0471151	0.0534393	0.062228	0.0645567	0.0754995	0.0659433	0.0692287	0.0541909	0.0558838	0.0518668	0.0800791	0.140249
a54	0.0477243	0.0587151	0.077475	0.0480276	0.0340626	0.0248765	0.0223438	0.0194829	0.0294037	0.0389648	0.0452338	0.0512062	0.0676552	0.0928981	0.133587	0.208344
a6	0.0698459	0.0666625	0.0892669	0.0788994	0.0825331	0.0822207	0.0652367	0.0633902	0.0486311	0.0352884	0.0311612	0.0310225	0.0326262	0.0483157	0.0734396	0.10146
a5	0.0315927	0.0393767	0.0735873	0.0605415	0.0738173	0.0661495	0.0596642	0.0644346	0.0549287	0.0471854	0.0433852	0.0411023	0.0485825	0.0653598	0.092971	0.137321
a66	0.0261149	0.0289904	0.087395	0.0776962	0.0949531	0.0879111	0.0868095	0.0870892	0.0632923	0.0461087	0.0359684	0.0348467	0.0392982	0.0494412	0.0640758	0.0900094
a98	0.0125096	0.0154713	0.0623021	0.0624614	0.0897652	0.0828228	0.0795254	0.080224	0.0609858	0.053351	0.0499995	0.0519762	0.0571815	0.0616209	0.0755262	0.104277
a47	0.00997815	0.0115073	0.0459246	0.0482549	0.0866801	0.0858347	0.0831927	0.0796558	0.0504344	0.0410729	0.0482915	0.0515281	0.0659954	0.0768887	0.0918995	0.122861
a2	0.0171248	0.0156381	0.0440141	0.0459364	0.0902184	0.0878291	0.078427	0.0654134	0.0377895	0.0290345	0.0414365	0.0437036	0.0591566	0.0749357	0.102966	0.166376
a57	0.0160043	0.0192341	0.0433643	0.0435819	0.0540105	0.0523467	0.0485421	0.0520112	0.0458636	0.0354618	0.0508483	0.0525929	0.0647336	0.0810615	0.123771	0.216572
a38	0.0149158	0.0153234	0.0407632	0.039216	0.0487257	0.046486	0.0483748	0.051055	0.0505	0.0454544	0.0679792	0.0697234	0.0813138	0.0853784	0.115489	0.179302
a75	0.00689885	0.0071144	0.0208113	0.0211334	0.0369168	0.0382068	0.0398424	0.0390021	0.0273184	0.0257418	0.042994	0.0481273	0.0677121	0.101604	0.1798	0.296776
a85	0.0118385	0.00968966	0.0198311	0.0247006	0.0517164	0.0505683	0.0477271	0.0459678	0.0312341	0.0284266	0.0466361	0.0551229	0.0775886	0.100133	0.153041	0.245778
a37	0.0161702	0.0133377	0.0208364	0.0258929	0.0533633	0.0535516	0.0498881	0.0479614	0.0298183	0.0252559	0.0424619	0.0519186	0.0756745	0.101406	0.149735	0.242728
a11	0.00521458	0.00463037	0.0103945	0.00991572	0.0203693	0.0192262	0.0187656	0.0177094	0.0119151	0.01258	0.026708	0.0377548	0.0729702	0.149267	0.232707	0.349872
a56	0.00357681	0.00362992	0.00805141	0.00748147	0.0134611	0.0130902	0.0131348	0.0130714	0.0106112	0.0120961	0.0298523	0.0395033	0.0708983	0.136108	0.237704	0.38773
a70	0.00317467	0.00322842	0.00789065	0.00719911	0.0130906	0.0120761	0.0127894	0.0130941	0.0104884	0.0118231	0.0265855	0.0347841	0.0631765	0.140705	0.255768	0.384127
a90	0.00287841	0.0031129	0.00830453	0.00682428	0.0109461	0.00894193	0.00905167	0.00880045	0.00809618	0.00947309	0.0224295	0.0294258	0.0546572	0.121712	0.243644	0.451702
a25	0.00437916	0.00429992	0.0127017	0.0125459	0.0218166	0.0168906	0.016116	0.014612	0.0129298	0.0141729	0.0282777	0.0358368	0.0666003	0.143392	0.24289	0.352539
a96	0.00198788	0.00207746	0.00477992	0.00379586	0.0068288	0.00512261	0.00485312	0.00513796	0.00447707	0.00600552	0.017192	0.0273272	0.0596045	0.139277	0.262675	0.448858
a98	0.00155678	0.00182285	0.00635423	0.00451741	0.0067927	0.00526906	0.00536724	0.00544325	0.00531936	0.00682791	0.0180258	0.0245621	0.0497175	0.114959	0.24315	0.500315
a6	0.00176975	0.00201524	0.00392133	0.0028346	0.00430403	0.00337507	0.00336911	0.00386667	0.00352897	0.00490575	0.01269	0.0211861	0.0439296	0.112913	0.257464	0.517926
a66	0.00211591	0.0025409	0.00535831	0.00383626	0.00576386	0.00406746	0.00402268	0.00461788	0.00421594	0.0060116	0.0154667	0.0262877	0.0534745	0.126009	0.255986	0.480226
a18	0.000770101	0.000951914	0.00204426	0.00147638	0.00212039	0.00189956	0.00186606	0.00212247	0.00216202	0.00296178	0.00990413	0.0176423	0.03786	0.100491	0.265893	0.549834
a9	0.00659645	0.00655283	0.00745571	0.00687574	0.0100271	0.0112572	0.0106157	0.00978033	0.00945697	0.0121734	0.0329777	0.0533736	0.0702668	0.132221	0.232134	0.388235
a87	0.0468699	0.0278129	0.0237549	0.0181588	0.0244196	0.0341007	0.043662	0.0316531	0.0357795	0.0447111	0.0719298	0.103842	0.104859	0.10698	0.121436	0.160031
a23	0.0630092	0.0392252	0.0413921	0.0364437	0.0511277	0.0585977	0.0643181	0.0429014	0.0455516	0.0466787	0.0648707	0.0924103	0.0963691	0.0842903	0.081759	0.0910552
a87	0.0222068	0.0133956	0.0187656	0.0126943	0.0162515	0.0164649	0.0180349	0.0138103	0.0145165	0.0199047	0.0408104	0.0765826	0.125429	0.149797	0.184314	0.257023
</S>	0.0144711	0.0116213	0.024234	0.0137327	0.0159224	0.0172918	0.0178601	0.0127774	0.0153275	0.0205149	0.0407135	0.0667166	0.12202	0.142344	0.189215	0.275238
