 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
a38	0.0150484	0.0127434	0.0139214	0.0176267	0.0453924	0.0894587	0.107516	0.120345	0.140417	0.102303	0.104878	0.0717703	0.0744059	0.0841744
a75	0.0280878	0.0215854	0.0215722	0.0255771	0.0583939	0.0878621	0.103103	0.104782	0.112655	0.0796302	0.0802292	0.0733636	0.0971874	0.105971
a56	0.00991114	0.00751516	0.00983706	0.0130647	0.0277957	0.0402607	0.0526305	0.0529994	0.0674398	0.0607666	0.0893808	0.116568	0.202645	0.249186
a34	0.0292497	0.025029	0.028701	0.0324601	0.0449006	0.0471283	0.0555366	0.0571077	0.0753996	0.0803285	0.101504	0.110973	0.147345	0.164337
a47	0.0231285	0.0198998	0.0231002	0.0284975	0.0433868	0.0477135	0.061318	0.07015	0.0933884	0.0903153	0.105142	0.11374	0.137926	0.142294
a24	0.0252439	0.0219553	0.0237854	0.0279921	0.0431217	0.0490037	0.0561375	0.0654431	0.0893437	0.0962802	0.123435	0.1206	0.127208	0.130449
a32	0.0247133	0.020574	0.0200107	0.0213186	0.0322584	0.0396756	0.0469327	0.0546293	0.0760122	0.0866338	0.11866	0.133444	0.159318	0.165819
a98	0.0164118	0.0133834	0.0133647	0.0150781	0.0262143	0.0416547	0.0547653	0.0598026	0.0762286	0.0903294	0.12816	0.131154	0.155881	0.177572
a73	0.0116372	0.00921558	0.0114176	0.0158427	0.0284938	0.0383321	0.0462169	0.0473331	0.059198	0.0670492	0.112442	0.134948	0.187799	0.230075
a79	0.00309041	0.00244669	0.00338905	0.00522387	0.0124061	0.025517	0.0350637	0.0341233	0.047071	0.0544101	0.104134	0.131234	0.219519	0.322372
a15	0.00340877	0.00273243	0.00388495	0.0059724	0.0147604	0.0327801	0.0429186	0.0387784	0.0499223	0.0493165	0.100592	0.130181	0.22218	0.302571
a73	0.00383746	0.00284215	0.00405259	0.00596763	0.0135928	0.0250661	0.0315521	0.028908	0.0390427	0.0408525	0.081208	0.116948	0.238264	0.367866
a93	0.0042697	0.00344401	0.00451091	0.0061144	0.0135383	0.027536	0.0356256	0.0324834	0.0399707	0.0416598	0.0828783	0.124608	0.240406	0.342955
a15	0.00215205	0.00174655	0.00258838	0.00406813	0.0107857	0.0254836	0.0348245	0.0327584	0.0428847	0.0438981	0.0907379	0.133477	0.236874	0.337721
a73	0.00262791	0.00196503	0.00254411	0.00372821	0.00967042	0.0220485	0.027818	0.0269614	0.0339206	0.0352223	0.0797989	0.125439	0.251983	0.376272
a69	0.00219892	0.00178853	0.00233072	0.00296555	0.0069398	0.014924	0.0199856	0.0182732	0.0225577	0.0229049	0.058136	0.119821	0.283545	0.423629
a15	0.000945809	0.000782893	0.0010297	0.00131075	0.00347853	0.010763	0.0173211	0.0168487	0.0233513	0.0240312	0.0527859	0.103725	0.281782	0.461844
a69	0.00306636	0.00211612	0.00238509	0.00266207	0.00575069	0.0122317	0.0171184	0.0161172	0.021064	0.0213641	0.0501151	0.111804	0.299126	0.435079
a90	0.00067792	0.000515714	0.000676871	0.000853977	0.00215714	0.00612593	0.0101698	0.0106213	0.0159146	0.0169506	0.0376497	0.0850865	0.28896	0.52364
a57	0.00247339	0.00164179	0.00185733	0.00221611	0.00455046	0.00912843	0.0125356	0.0130443	0.0184691	0.0202887	0.0419833	0.0832643	0.269434	0.519113
a38	0.000383042	0.000287087	0.000363537	0.000470172	0.00111365	0.00268727	0.00470013	0.00498174	0.00776962	0.0107906	0.0321841	0.083401	0.292829	0.558039
a11	0.000703294	0.000436292	0.000412364	0.000402529	0.000835279	0.00188878	0.00326415	0.00374358	0.00719636	0.0116346	0.0331686	0.0878542	0.32143	0.52703
a90	0.00137388	0.000762901	0.000635691	0.000561518	0.00105849	0.00211816	0.00361468	0.00379048	0.00753691	0.0131962	0.0379825	0.0978101	0.330411	0.499147
a4	0.00103235	0.000699726	0.000748045	0.000775666	0.00142207	0.00281767	0.00467471	0.00497143	0.00832078	0.0115196	0.0286855	0.0726047	0.283969	0.577759
a90	0.00209816	0.0014109	0.00147767	0.00150582	0.0026553	0.00496248	0.00709848	0.00731399	0.0124381	0.017032	0.038378	0.0861524	0.295108	0.522368
a98	0.00120498	0.00079178	0.000839614	0.000861794	0.00151745	0.00310693	0.0047447	0.00511112	0.00795147	0.0107547	0.0261916	0.0639239	0.261393	0.611607
a73	0.000703605	0.000468608	0.000508991	0.00052362	0.00110865	0.00286951	0.00451403	0.00485009	0.00757686	0.00959684	0.0282564	0.0774819	0.293621	0.56792
a69	0.00104756	0.000723265	0.000882093	0.000964047	0.00236455	0.0052499	0.00774738	0.00715163	0.010179	0.0113444	0.0339511	0.0955665	0.312155	0.510674
a20	0.00108252	0.000752445	0.000954415	0.00108831	0.0022642	0.0048491	0.00730846	0.00725238	0.0109299	0.0120081	0.0268875	0.0645706	0.275583	0.584469
a84	0.00262425	0.0016737	0.0018171	0.0018842	0.00369451	0.00706582	0.0111486	0.0111894	0.0175941	0.0188593	0.0471075	0.1053	0.305486	0.464555
a87	0.00144024	0.000988632	0.00104178	0.000994618	0.00189036	0.00527542	0.0104242	0.0112807	0.0199396	0.0292278	0.0634155	0.133468	0.356693	0.36392
</S>	0.00216506	0.00139803	0.00134488	0.00108661	0.0012995	0.00298867	0.00644435	0.00713416	0.0153172	0.0293963	0.072269	0.143621	0.332388	0.383148
